Straat,Coordinaten
't Klein Eeckhout,"[50.94151128747243, 4.064977231989761]"
't Maegelijnplein,"[""FOUT, geen straat gevonden""]"
't Spieken,"[50.955686968032914, 4.065904256089988]"
't Vestjen,"[50.92432288716738, 4.002118995399142]"
1 Meistraat,"[50.94239551858285, 4.045194087042464]"
Aartstraat,"[50.97804445, 4.0623739]"
Abbeelstraat,"[50.9447548, 4.023592236482907]"
Abdijstraat,"[50.921047123405295, 4.130566669054489]"
Abrahamsweg,"[50.946913479142395, 4.097265591826813]"
Acaciastraat,"[50.932008249999996, 4.04059165]"
Achterbremt,"[50.91902475280894, 3.987733041377426]"
Achtermaal,"[50.9330632, 4.0025545000000005]"
Achterstraat,"[50.945854897357286, 4.12655507520706]"
Achterweg,"[50.946809606151184, 4.076642986563008]"
Achtzaligheden,"[50.951146449999996, 4.0970868]"
Affligemdreef,"[50.93657144066271, 4.077566696973191]"
Afspanningsstraat,"[50.935639800000004, 4.025105]"
Ajuinenstraat,"[50.95238833163059, 4.056936385109159]"
Albert Liénartstraat,"[50.94160729074003, 4.039171539868595]"
Albrechtlaan,"[50.937063699999996, 4.05440045]"
Aldegondisstraat,"[50.97551578966552, 4.038126646202683]"
Alfons De Cockstraat,"[50.97074307129721, 4.064867900376056]"
Alfons Van de Maelestraat,"[50.91795683616045, 4.043360167066458]"
Alfred Keldersstraat,"[50.938901363235445, 4.035252227514792]"
Alfred Nichelsstraat,"[50.934870517645486, 4.0451717824720195]"
Alverenbergbaan,"[50.96373996057582, 4.039141618903981]"
Anjersstraat,"[50.968095830497994, 4.03520366190264]"
Ankerstraat,"[50.92007285757257, 4.005634161734863]"
Anna Snelstraat,"[50.93676385639202, 4.044156049950007]"
Ansmeerweg,"[50.98336732128929, 4.0387466637245755]"
Apostelstraat,"[50.9413165521095, 4.05454861115712]"
Appelstraat,"[50.940954131865844, 4.0521276893226785]"
Arbeidstraat,"[50.93660425183161, 4.030860323689838]"
Arenalaan,"[""FOUT, geen straat gevonden""]"
Arendstraat,"[50.950498727199204, 4.057274576680514]"
Arendsveld,"[50.94830891486255, 4.054941779255195]"
Asserenbosweg,"[50.93709584953786, 4.095965197417189]"
Asserendries,"[50.943671233533, 4.023190890425003]"
Asterstraat,"[50.91647599755681, 4.054118788738218]"
August Marcelstraat,"[50.93138637183356, 4.033802780879276]"
Autosnelweg Oostende-Brussel,"[""FOUT, geen straat gevonden""]"
Autostradelaan,"[50.911332642167885, 4.049835763914332]"
Avaanstraat,"[50.9171448, 4.0600266000000005]"
Avondelsbaan,"[50.91521745, 4.0709126]"
Avouéstraat,"[50.95037799501498, 4.089212392328]"
Baaikensveldweg,"[50.95712878326061, 4.088703180546476]"
Baardegem-Dorp,"[50.954660369445726, 4.141996301470218]"
Baatmeers,"[50.96901286489511, 4.078983670241296]"
Babbelaarstraat,"[50.976078512695246, 4.033204782391575]"
Baron Romain Moyersoen Park,"[50.93651126832472, 4.056182109041573]"
Baron de Meerstraat,"[50.94747196088701, 4.095664921593643]"
Bauwensplein,"[50.94269407033016, 4.03665454370488]"
Bedrijvigheidstraat,"[50.9407068, 4.02454505]"
Beekkant,"[50.96502306476043, 4.064332367031103]"
Beekpad,"[50.9618677803676, 4.0361225940629915]"
Beekstraat,"[50.943575749999994, 4.072620049999999]"
Beekveldstraat,"[50.935267996463196, 4.0317701194422835]"
Beekweeweg,"[50.9622856711886, 4.062873001706371]"
Beekweg,"[50.991335, 4.04535115]"
Begijnhof,"[50.93613718255689, 4.0439986502356335]"
Bergekouter,"[50.93993035, 4.060150350000001]"
Bergemeersenstraat,"[50.9377509, 4.0517526]"
Berggouw,"[50.95136355367021, 4.10924789167682]"
Bergsken,"[50.94411405057156, 4.097974072686969]"
Bergstraat,"[50.910620532479854, 4.070611844490845]"
Bergweg,"[50.95881811615107, 4.0357942615088485]"
Berkenlaan,"[50.985206846899054, 4.061085237697784]"
Berlindisweg,"[50.94911158221183, 4.0984320173351145]"
Bert Van Hoorickstraat,"[50.93965474587976, 4.031843300377632]"
Bertha De Dekenlaan,"[50.919195693277224, 4.073904126291574]"
Beugemstraat,"[50.95194244418276, 4.094277825846485]"
Beukendreef,"[50.93414182710167, 4.062753291299005]"
Beukenlaan,"[50.9144502446598, 4.02851188237428]"
Beukennotenbosstraat,"[50.953554999999994, 4.10565085]"
Bevenhoutenweg,"[50.94894560868625, 4.113046983182313]"
Bevrijdingsstraat,"[50.946943196763996, 4.046527313738635]"
Biekorfstraat,"[50.9458927, 4.0231448499999996]"
Biesebroekweg,"[""FOUT, geen straat gevonden""]"
Bieseweide,"[50.95021686264068, 4.137779553364347]"
Bieststraat,"[50.971330121419044, 4.0360504543444975]"
Binnenstraat,"[50.951481003215086, 4.0576880061176235]"
Bisschopweg,"[50.940939067856675, 4.1391359282097975]"
Blauwenbergstraat,"[50.93129153254341, 3.9977384599606256]"
Bleekveld,"[50.93747855556167, 4.049282493476473]"
Blektestraat,"[50.958214450150585, 4.023524454138143]"
Bloemenveldstraat,"[50.95374491185672, 4.084127453007875]"
Blokveldstraat,"[50.95575612275835, 4.145300711904389]"
Boekhoutweg,"[50.91637216930101, 4.088889280628572]"
Boekveldbaan,"[50.958940409816435, 4.098198538223132]"
Boekweitstraat,"[50.957283314120104, 4.067070029652884]"
Bolleweg,"[50.94387616925267, 4.047281112134007]"
Boomgaardstraat,"[50.952585660579224, 4.046409822840157]"
Boonhofstraat,"[50.917299390356376, 4.067237670552125]"
Borluutstraat,"[50.94305321657193, 4.043056872837014]"
Borreput,"[50.93923065, 4.07356215]"
Bosselingen,"[50.96687539173728, 4.041719030541203]"
