Straat,Coordinaten
Aalsterse Dreef,"[50.92595195, 4.113273749999999]"
Aarhulst,"[50.89575668086046, 4.096772304770155]"
Abdijstraat,"[50.92558855, 4.1134666499999994]"
Achterdaalstraat,"[50.89525954212194, 4.08309800469393]"
Asbroeklos,"[50.89326517338227, 4.128451791347287]"
Asserenweg,"[50.9235957, 4.0972066]"
Assestraat,"[50.90092505, 4.13953955]"
Azalealaan,"[50.89020439867116, 4.094783830414274]"
Balleistraat,"[50.894488844361746, 4.098699870589562]"
Begonialaan,"[50.89094907365951, 4.095364501107484]"
Bellekouter,"[50.89403646617629, 4.111454785078567]"
Bellestraat,"[50.89396440183408, 4.109146843626817]"
Berkenlaan,"[50.891133688149324, 4.105847410687534]"
Blakmeers,"[50.905989958312155, 4.121408425771315]"
Bleregemstraat,"[50.914026926580924, 4.120729247381506]"
Blockweg,"[50.92132095281856, 4.105882682816225]"
Bocht,"[50.893580799999995, 4.14533285]"
Boekhoutstraat,"[50.91550826131576, 4.104523822128499]"
Boonhof,"[50.896280490307994, 4.1419883112120495]"
Bosstraat,"[50.92458075472367, 4.1045185687743455]"
Bredeweg,"[50.89488346734589, 4.093979817748595]"
Bremtstraat,"[""FOUT, geen straat gevonden""]"
Broekstraat,"[50.91873372495463, 4.1287756802902456]"
Broekweg,"[50.91993119999999, 4.116164400000001]"
Brukersebaan,"[50.906648615535644, 4.1331240121082224]"
Brusselbaan,"[50.915474419825195, 4.097345582687405]"
Buikouterbaan,"[50.90457184497164, 4.102956034089384]"
Burg. Wambacqstraat,"[50.89652739206782, 4.143351748182873]"
Calloystraat,"[50.894343973505954, 4.087027528932016]"
Coucklaan,"[50.89110888989833, 4.084756328794655]"
Daalstraat,"[50.89460933951306, 4.089460635081926]"
De Kavee,"[50.90094707868881, 4.078696255214048]"
De Mattein,"[50.9191823, 4.11069965]"
Denderweg,"[50.892096721091754, 4.092108462661134]"
Diepestraat,"[50.90562601120207, 4.109654079450631]"
Dokkenstraat,"[50.89920925, 4.1475249000000005]"
Domentstraat,"[50.9220746514457, 4.125777433798853]"
Domentveldstraat,"[50.918983813431765, 4.134962851360349]"
Donkerstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Driesstraat,"[50.89084720688284, 4.099101400160218]"
Drogeweideweg,"[50.92068220562068, 4.116204189052562]"
Eikenlaan,"[50.890333314891016, 4.105721639210462]"
Eksterenberg,"[50.90594726073432, 4.125476113349165]"
Esdoornlaan,"[50.89066242473034, 4.108175745427161]"
Essene-Kerkplein,"[50.90175935, 4.136844]"
Eugeen Bosteelsstraat,"[""FOUT, geen straat gevonden""]"
Fooststraat,"[50.9051172, 4.1318416]"
Fosselstraat,"[50.90818032216985, 4.108988651604826]"
Geertruidebaan,"[50.89658717178506, 4.11349634193155]"
Geukenshage,"[50.9056126183408, 4.116154762724343]"
Gootberg,"[50.90911120628962, 4.122110437088007]"
Grobbestraat,"[50.913790054530736, 4.100111121853285]"
Groeneweg,"[50.892090424997996, 4.107360771004871]"
Groenstraat,"[50.9072841185028, 4.12140404008308]"
Guchtveld,"[50.914902996234424, 4.110913361389904]"
Guchtweg,"[50.91402476003814, 4.108962482513391]"
Haezenweg,"[50.89971862474276, 4.101902608448323]"
Hauwijkstraat,"[50.889478296518966, 4.143141551740519]"
Heuvel,"[50.91949583552351, 4.099150413504285]"
Hof Terelst,"[""FOUT, geen straat gevonden""]"
Hofveldbaan,"[50.904500042146275, 4.135290732720451]"
Horekenstraat,"[50.8961699236637, 4.146524784218671]"
Hulstbos,"[50.9188138342583, 4.097518437610755]"
J.B. Callebautstraat,"[""FOUT, geen straat gevonden""]"
Kaaistraat,"[50.891007900000005, 4.0880073]"
Kapelleweg,"[50.890656874038555, 4.103079198842162]"
Kapruinweg,"[50.91199850011222, 4.106441173617319]"
Kasteelstraat,"[50.90678497153303, 4.111436776205062]"
Kerkstraat,"[50.91322585077871, 4.105094512583694]"
Kerkweg,"[50.89177586795441, 4.096505928604692]"
Kerlemeers,"[50.90155052735981, 4.13804339204989]"
Klapstraat,"[50.88879813065852, 4.102667466405428]"
Klein Kapelleveld,"[50.89519505, 4.1421413000000005]"
Kleine Groeneweg,"[50.89158557278903, 4.10914981371921]"
Kleine Heideweg,"[50.888333914865285, 4.105943991429546]"
Kleinendries,"[50.886269792641514, 4.102175292694566]"
Kluisdreef,"[50.930609149999995, 4.1008507]"
Kluisterkouterlos,"[50.92520697777472, 4.094366853817054]"
Kluizenweg,"[50.92374945838973, 4.092270213864591]"
Koeweidelos,"[50.922044153222075, 4.121892655197042]"
Kortenbos,"[50.90010602414301, 4.083145950292816]"
Kortestraat,"[50.91111689714084, 4.120873982664516]"
Koudenberg,"[50.91065898753376, 4.129661751022681]"
Kouterweg,"[50.907834506496684, 4.105389798257565]"
Krekelweg,"[50.88751140304406, 4.10427628174855]"
Krokussenlaan,"[50.89001476738586, 4.095978133918965]"
Krommaartweg,"[""FOUT, geen straat gevonden""]"
Kruisstraat,"[50.916846513841136, 4.11255165937996]"
Kruisweg,"[50.90727488361382, 4.1107317024684065]"
Kwezelsweg,"[50.912566655192656, 4.103951275868092]"
Kwikhage,"[50.89291277490626, 4.108777502331285]"
Langestraat,"[50.922524114072615, 4.117496536099629]"
Langeweg,"[50.896335398207164, 4.130969409461576]"
Langhaagstraat,"[50.89383605541937, 4.120289109619825]"
Leenweg,"[50.915026944516065, 4.107667988231214]"
Lombeekstraat,"[50.89006936704064, 4.135889613265719]"
Maaimeersstraat,"[50.89298033614928, 4.088136089860206]"
Marktweg,"[50.89730631980282, 4.092231209285844]"
Mazitsstraat,"[50.920469687321, 4.098014418035272]"
Molenberg,"[50.91291581067618, 4.099431012189576]"
Molenkouterweg,"[50.91585724343538, 4.116056080180118]"
Molenstraat,"[50.90014467849999, 4.124605715382255]"
Molenweg,"[50.91203039646842, 4.102252026268771]"
Mollenhoekstraat,"[50.8919802564538, 4.090681954043642]"
Molleweg,"[50.894011691273235, 4.091201878609212]"
Moortelstraat,"[50.8968595813642, 4.128970924712033]"
Moretteweg,"[50.91632307757808, 4.101194229765922]"
Nieuwe Kassei,"[50.92101685365474, 4.113612079006348]"
Nievelstraat,"[50.92398326450122, 4.12051378674729]"
Noenweideweg,"[50.92129165, 4.0960521000000005]"
Okaaistraat,"[50.88945940711088, 4.1121289643304415]"
Oude Denderweg,"[50.89281999216202, 4.0819470924772725]"
Oude Romeinse Baan,"[50.91376765802167, 4.098071519564604]"
Oudebaan,"[50.909331366837534, 4.134015506240257]"
Paddeputstraat,"[50.89246807425375, 4.138346950123029]"
Parallelweg,"[50.89525377919069, 4.143711129730263]"
Pastorijweg,"[50.908228830889676, 4.109787547612403]"
Petterstraat,"[50.89322185, 4.10606235]"
Populierenlaan,"[50.89037493257788, 4.107085516671659]"
Portugeesstraat,"[50.886315784412226, 4.104497560635341]"
Portugeesweg,"[""FOUT, geen straat gevonden""]"
Postweg,"[""FOUT, geen straat gevonden""]"
Potaardestraat,"[50.892782398339676, 4.102303903597121]"
Potaardeweg,"[50.894577191158554, 4.106342384086392]"
Reusweg,"[50.91640493459859, 4.117196670298805]"
Rozenlaan,"[50.88972646897977, 4.097048734643317]"
Schaapschuur,"[50.91357495, 4.126256334819735]"
Schaapschuurlos,"[50.913435050000004, 4.1265014]"
Solleveld,"[50.8924509418521, 4.109778287036516]"
Sparrenlaan,"[50.89089570332432, 4.11125827549926]"
Spoorweglaan,"[50.890666923750146, 4.090458364423619]"
Stationsstraat,"[50.892385316906214, 4.117245481693651]"
Steenbergstraat,"[50.89004514211741, 4.100600720496325]"
Steenpoelweg,"[50.91900908623109, 4.092396027625514]"
Stuikberg,"[50.894669734440825, 4.134326469610109]"
Tenbos,"[50.90094786223908, 4.0843850389352445]"
Terlindenstraat,"[50.919057703584876, 4.101900211017108]"
Ternatsestraat,"[50.90132194875007, 4.1366824776257785]"
Tragel,"[50.89254411012601, 4.081264737141889]"
Tulpenlaan,"[50.88964381603203, 4.094107253069673]"
Veldekenslos,"[50.91629647092451, 4.119365922709238]"
Verbindingsstraat,"[50.8935070939896, 4.0883452145360355]"
Vogelzangstraat,"[50.895912729253844, 4.092576758959025]"
Weimeersweg,"[50.921608538655086, 4.107734627536424]"
Wijk Pelink,"[50.899611177478945, 4.140188092963716]"
Wilgenlaan,"[50.890382826927194, 4.105223003669722]"
Witteboomstraat,"[50.898348340136465, 4.083192663372684]"
Zegershof,"[50.91450596435896, 4.106644003910319]"
Zetselweg,"[50.907803884018605, 4.115551368022315]"
Zwarteberg,"[50.90881642606079, 4.103120002489849]"
Zwijnweg,"[50.9172062, 4.11987315]"
