Straat,Coordinaten
Aardbruggenstraat,"[50.87687425, 5.29423285]"
Acacialaan,"[50.901682338584145, 5.279583222323535]"
Alkerhoekstraat,"[50.85705376833567, 5.298414260873484]"
Alkerstraat,"[50.86832181549373, 5.3237676593414305]"
Begonialaan,"[50.87866151685142, 5.299492403430837]"
Bellefleur,"[50.87351055462369, 5.316666956854051]"
Beukenlaan,"[50.8969643, 5.27818895]"
Bisschopsweyerstraat,"[50.863646323145694, 5.269721676456741]"
Blekkenbergstraat,"[50.90652118183658, 5.27412327886378]"
Boekhandsveldstraat,"[50.878443480507755, 5.265155486825261]"
Boerenkrijgplaats,"[50.90136687974638, 5.275554934743933]"
Boskoopweg,"[50.8748102, 5.3130878500000005]"
Bosveldstraat,"[50.89805333125742, 5.267822821363765]"
Brabantsestraat,"[50.858721867093, 5.280895639186959]"
Brandepoelstraat,"[50.86897509409545, 5.247724851869952]"
Broosveldstraat,"[50.88260754385622, 5.289403137512163]"
Brouwerssteeg,"[50.87628478959675, 5.308081127171291]"
Bulsstraat,"[50.87482955, 5.34703065]"
Claes d'Erckenteelplein,"[50.89811743998174, 5.2757005983726435]"
Deversveldstraat,"[50.892709499999995, 5.28323665]"
Dieregaertstraat,"[50.875777712411335, 5.303217560388063]"
Doktoorstraat,"[50.87512478293175, 5.301769484263415]"
Dorpsstraat,"[50.87638168236347, 5.307479813176241]"
Eduard Dompasstraat,"[50.871428937474946, 5.275296265597703]"
Eikenbosweg,"[50.862728228839, 5.280094500488319]"
Eikendreef,"[50.89779765, 5.2792996]"
Eksterlaan,"[50.87065599495487, 5.305948896832703]"
Felsterstraat,"[50.89977288462968, 5.26838872971834]"
Grendelweg,"[50.870459177301534, 5.286421398624223]"
Groenmolenstraat,"[50.88401592209851, 5.298049884236654]"
Grootstraat,"[50.882434895716656, 5.347064694095313]"
Grotstraat,"[50.873063050250856, 5.273146009078995]"
Hakkeveldstraat,"[50.88170825, 5.3168664]"
Hameestraat,"[50.87210001213761, 5.3025568321314225]"
Haverenbosstraat,"[50.86539426074991, 5.303361246684531]"
Heiligenbornstraat,"[50.87284764660086, 5.252775233789181]"
Hemelsveldstraat,"[50.872018388312156, 5.279733361226369]"
Hendrikstraat,"[50.872706865956246, 5.282037573395708]"
Hendriksveldstraat,"[50.87314752181554, 5.274974798018998]"
Herkdal,"[50.876642007125774, 5.308638454134156]"
Hoge Hofweg,"[50.883011370998375, 5.292495054984461]"
Hoogbrug,"[50.87683817557271, 5.346972859438715]"
Hoogdorpsstraat,"[50.875167649999995, 5.30605365]"
Hoogsimsestraat,"[50.856522748382986, 5.2975356243649125]"
Hoogstraat,"[50.87561673461596, 5.2577732621938384]"
Hoveniersstraat,"[50.9008535, 5.278333]"
Hulzenstraat,"[50.87682331015879, 5.259637680052589]"
Hulzenveldstraat,"[50.87884006746589, 5.258130123603183]"
Ijsvogellaan,"[50.870804096814304, 5.304399520568075]"
Industrieterrein Kolmen,"[""FOUT, geen straat gevonden""]"
Irislaan,"[50.87815312551495, 5.29818795258625]"
Jardinstraat,"[50.88838881110084, 5.307683083795894]"
Kapelstraat,"[50.894609192987744, 5.269679679342331]"
Kastanjelaan,"[50.89891077311338, 5.2796121495021415]"
Kerkstraat,"[50.872132391016656, 5.274113890372842]"
Keulemanweg,"[50.87354459264749, 5.317282752391093]"
Klameerstraat,"[50.86478364099418, 5.307482236358212]"
Klein Koosterstraat,"[50.9003656305281, 5.274068762205647]"
Klein-Kolmenstraat,"[50.89085448405407, 5.303364025773053]"
Klinkstraat,"[50.88260771132323, 5.332158601067893]"
Klotsveldstraat,"[50.868714309788636, 5.274069948824519]"
Kluisstraat,"[50.85933607911458, 5.254738751374177]"
Knipscheerstraat,"[50.85623522520162, 5.292139827133838]"
Kolmenstraat,"[50.8875395045095, 5.2955705184563815]"
Kompstraat,"[50.87230286357093, 5.289213411660644]"
Koningsveldstraat,"[50.900853297867435, 5.272684475818315]"
Koolmeeslaan,"[50.86974075722226, 5.307897456812315]"
Koosterstraat,"[50.900994656853506, 5.276762561837898]"
Kortestraat,"[50.875752042902974, 5.301535284386991]"
Koutermanstraat,"[50.87618036927301, 5.314213689630899]"
Krokuslaan,"[50.8805828800395, 5.29853699474953]"
Kruisstraat,"[50.85737372670241, 5.268238523221826]"
Laagbulsstraat,"[50.86664766900808, 5.346000122027765]"
Laagdorp,"[50.875664380101625, 5.308522254599667]"
Laagsimsestraat,"[50.86652404641765, 5.290517140374422]"
Lambrechtsplein,"[50.8754589361883, 5.30551901269401]"
Langstraat,"[50.89603649786055, 5.2752953738844255]"
Langveldstraat,"[50.874171369068925, 5.284874786833413]"
Leemkuilstraat,"[50.8740388770271, 5.32388839145377]"
Lijsterlaan,"[50.87139027659671, 5.306966834740611]"
Lindestraat,"[50.903004619818255, 5.256442916786975]"
Lokerstraat,"[50.883740732114596, 5.284384333074635]"
Meerdegatstraat,"[50.89013329220124, 5.306984215100632]"
Meerstraat,"[50.88272383103748, 5.320308165735888]"
Meidoornlaan,"[50.89678344639458, 5.279694293717875]"
Merellaan,"[50.87006186826579, 5.304881602872801]"
Moezelstraat,"[50.88068351068853, 5.313283291185651]"
Moggeweidestraat,"[50.874018627305965, 5.301605084437606]"
Molenstraat,"[50.90098729526434, 5.283023947575942]"
Morpstraat,"[50.885591112172214, 5.287941270323398]"
Motstraat,"[50.87473772848635, 5.308445484473067]"
Musstraat,"[50.85613318068147, 5.2730302692135975]"
Nachtegaalstraat,"[50.89756081217887, 5.251097770757563]"
Nijverheidsstraat,"[50.88988990668787, 5.30153879100635]"
O. L. Vrouwstraat,"[50.8894759, 5.2890119]"
Oftingenstraat,"[50.88658465, 5.31735145]"
Olmenlaan,"[50.89959306338182, 5.28070344559417]"
Oude Baan,"[50.882680351434466, 5.279415358254164]"
Papenakkerstraat,"[50.87240165, 5.30824665]"
Paradijsstraat,"[50.87034285721214, 5.303296206939042]"
Parkstraat,"[50.90114247720022, 5.280626953026915]"
Pastoriestraat,"[50.899862150000004, 5.275631000000001]"
Pickardstraat,"[50.88572389808727, 5.2985652655294375]"
Pioenplein,"[""FOUT, geen straat gevonden""]"
Pleinstraat,"[50.85945510436079, 5.275447191566248]"
Poelgoedstraat,"[50.86413577631606, 5.310762520730423]"
Populierenlaan,"[50.896188651221635, 5.2805335504588715]"
Prof. Asnongstraat,"[50.8954484955291, 5.298702382358943]"
Putsteeg,"[50.87983588273456, 5.260055777957674]"
Rechtstraat,"[50.87375058106162, 5.332442829055512]"
Reigerlaan,"[50.87256095732916, 5.310389440957645]"
Ridderstraat,"[50.874958609117016, 5.3036102552071815]"
Rijdreef,"[50.8722719735055, 5.317477069394464]"
Rode Kruisplein,"[50.868244921664264, 5.308238479315206]"
Rond Punt,"[50.874426211057994, 5.274284268186973]"
Roodborstjesplein,"[50.87016005, 5.3059555]"
Rozenlaan,"[50.88077427801313, 5.29901881305684]"
Ruisenburgstraat,"[50.87047990404435, 5.272496811601635]"
Ruiterstraat,"[50.90112719443243, 5.275195102996465]"
Sassenbroekstraat,"[50.88156173844069, 5.321835872838953]"
Schafferestraat,"[50.880252086582495, 5.314639339253938]"
Schoenbeekstraat,"[50.87037544739533, 5.343502463633005]"
Schoolstraat,"[50.87120952392003, 5.2701798102999735]"
Schuilenstraat,"[50.88420174073907, 5.289843602593358]"
Simsebeekweg,"[50.86700169110616, 5.27682492619213]"
Sint-Hubertusstraat,"[50.8808438979876, 5.315426603069989]"
Sixstraat,"[50.8769404299935, 5.297348317315993]"
Slaapstraat,"[50.855559274075055, 5.2643759442421905]"
Smoutstraat,"[50.87279493520594, 5.329416561598569]"
Snoekstraat,"[50.86499796031813, 5.307718676683368]"
St. Aldegondislaan,"[50.875121, 5.30644395]"
St. Augustijnerstraat,"[""FOUT, geen straat gevonden""]"
St. Jorisstraat,"[50.87289640639639, 5.270323343280674]"
Stapstraat,"[50.875740192461286, 5.294203892570726]"
Stasveldstraat,"[50.87686259091872, 5.303130267899209]"
Stationsplein,"[""50.8867147"", ""5.2925362""]"
Stationsstraat,"[50.88421245, 5.297347650000001]"
Steenweg,"[50.8763515, 5.2671864]"
Sterappelweg,"[50.873574869245516, 5.316115543974374]"
Stoukstraat,"[50.85748660513516, 5.260231405920463]"
Thielestraat,"[50.88119111732355, 5.328433253545829]"
Thoonenstraat,"[50.870988322689584, 5.276933261772012]"
Trepstraat,"[50.894283896809604, 5.261984816658077]"
Tulpenlaan,"[50.880498767738885, 5.300396625544736]"
Valgaersteeg,"[50.88536245086949, 5.265694032113921]"
Valstraat,"[50.869618858260566, 5.2734560919137605]"
Verbindingsstraat,"[50.872411149527046, 5.276173195835456]"
Vinkenlaan,"[50.86902395, 5.307165299999999]"
Vliegstraat,"[50.880272585642636, 5.274064646648733]"
Vrijdaegsstraat,"[50.870602107963514, 5.274991584004053]"
Wetzerstraat,"[50.894423, 5.2976766]"
Weyerstraat,"[50.86033887997221, 5.262902596893451]"
Wilgenlaan,"[50.899214316403125, 5.282011045249731]"
Wolfstraat,"[50.86397206252117, 5.269434164258387]"
Zevenboomkensstraat,"[""FOUT, geen straat gevonden""]"
Zwaluwlaan,"[50.87052956100256, 5.307646418687355]"
