Straat,Coordinaten
Abeelestraat,"[50.91921052637273, 2.668994378339895]"
Alexis Decarneplein,"[50.9405654, 2.6730875]"
Appelstraat,"[51.01124141860808, 2.708653652967512]"
Bampoelstraat,"[50.99316344688471, 2.679605560880763]"
Beauvoordestraat,"[51.001034504436774, 2.655387001041332]"
Bellestraat,"[50.973034071654006, 2.6703981298296884]"
Bergenstraat,"[50.92100403573193, 2.5984980888407025]"
Beverenstraat,"[50.98302319474153, 2.6260734230226253]"
Binneweg,"[50.93858885310793, 2.639646002352368]"
Bromstraat,"[50.91142082853469, 2.6567044596953435]"
Brouwerijstraat,"[50.97817262013608, 2.6885213055763986]"
Burgdreef,"[50.99539375053523, 2.6903953582293916]"
Burgmolenstraat,"[51.003498962384725, 2.7092757193103068]"
Casselstraat,"[50.91955209056052, 2.591913580335576]"
Clepstraat,"[50.96708619742051, 2.694836898459971]"
Colaertshillestraat,"[50.989634256859816, 2.7029785324678293]"
Cyriel Verschaeveplein,"[51.01221953625107, 2.713227583825529]"
Dokter Louis Debaekestraat,"[51.01059333407488, 2.709309903174811]"
Dolfijnstraat,"[51.00597912254653, 2.6960149762974495]"
Dorp,"[51.01243327757258, 2.7101431544639603]"
Eendenkotstraat,"[51.01885241573952, 2.7681314867125506]"
Eikhoek,"[50.983333631776084, 2.6992988643056797]"
Ekestraat,"[50.95881063257425, 2.6611190525734303]"
Elzendammestraat,"[50.9603470007038, 2.6935916482268842]"
Eversamstraat,"[50.94329194696437, 2.7137066203282925]"
Foortstraat,"[50.94993483280918, 2.6497397869218187]"
Fortem,"[51.015567250000004, 2.7279298499999998]"
Gapaard,"[""50.9731667"", ""2.6983894""]"
Gemeneweg,"[50.97260778391451, 2.612487167224028]"
Gijverinkhovestraat,"[50.96794869115406, 2.6692778094670615]"
Grensstraat,"[50.946295693840526, 2.634296325375387]"
Groenedreef,"[51.02310279944461, 2.7265476972651927]"
Groenestraat,"[50.97520680109214, 2.6624294465954894]"
Handstraat,"[50.91514076558847, 2.6697732168763078]"
Hoekjestraat,"[50.9377729147533, 2.677129362431985]"
Hoge Seine,"[50.928297817634636, 2.6169648683692976]"
Hondschootestraat,"[50.93987801951056, 2.6294330733029945]"
Hondspootstraat,"[50.91945385737046, 2.6559304953510448]"
Hoogstadestraat,"[50.991509454590656, 2.68825244946261]"
Hoogstraat,"[51.011447739960744, 2.7202508183436636]"
Hostede,"[50.9772956, 2.6955807167035113]"
Houtemstraat,"[50.9900459, 2.6132438000000002]"
IJzerstraat,"[50.9581370788353, 2.65582734459651]"
Izenbergestraat,"[51.0000665029916, 2.676621651444566]"
Jokweg,"[50.960460862769374, 2.6833032431266743]"
Kaatsspelstraat,"[51.01088807912987, 2.7088032707357694]"
Kallebeekweg,"[50.939496868607755, 2.6417460204664223]"
Kallestraat,"[50.9486016, 2.6399813]"
Kasteeldreef,"[50.97330357278121, 2.6755237711463153]"
Kazernestraat,"[50.987579815650186, 2.6764365754912323]"
Kerkstraat,"[50.978806252024164, 2.693497428386513]"
Kerselaarstraat,"[50.98423008773855, 2.6328554095437764]"
Klarewal,"[51.00192218986876, 2.7195411427510976]"
Kleine St.-Omaarsstraat,"[""FOUT, geen straat gevonden""]"
Kloosterstraat,"[50.97905469033196, 2.6917128652249596]"
Knibbehoek,"[51.011590737044415, 2.7137958889669243]"
Krombekestraat,"[50.938444951110206, 2.669970485635939]"
Kruisestraat,"[51.03843284145314, 2.7397270973123256]"
Kwellemolenstraat,"[51.0151437342342, 2.708546977277002]"
Lampernissesteenweg,"[51.02732601423952, 2.757008417920965]"
Leiseledorp,"[50.98391493687541, 2.620343887086978]"
Lindemolen,"[51.00709068558202, 2.7123125521710785]"
Lindestraat,"[50.95484166918526, 2.700431040464632]"
