Straat,Coordinaten
Aardbeienstraat,"[50.98213017800844, 3.1945223645972107]"
Abrikozenstraat,"[50.98109062359858, 3.193095186465192]"
Alidor Lamotestraat,"[51.00307095948233, 3.213781447018914]"
Ardooisestraat,"[50.99653851042473, 3.2080283284707782]"
Autvijverstraat,"[50.9643670989179, 3.2121390541633335]"
Azaleastraat,"[50.97894957500058, 3.1921683117866086]"
Bavinkhovebosstraat,"[50.956654172040196, 3.209971900724914]"
Begoniastraat,"[50.977712845569386, 3.1937274162359883]"
Bergdoornstraat,"[50.979888, 3.22560125]"
Berlingmolenstraat,"[50.98477851694006, 3.208691299859344]"
Bessenstraat,"[50.980894400000004, 3.19199945]"
Beukenstraat,"[50.96924985805375, 3.2304097659887083]"
Beverensestraat,"[50.97760933196687, 3.178689565556699]"
Biekorfstraat,"[50.98980123676356, 3.2037326836584223]"
Blekerijstraat,"[50.97449334164961, 3.2003790310197493]"
Bloemgatstraat,"[50.948036540459434, 3.2290594755448994]"
Boerderijstraat,"[50.96054843070759, 3.165843183121727]"
Boncquetstraat,"[50.986105708916114, 3.2016800008580586]"
Bosstraat,"[50.958990949589115, 3.219121897911947]"
Boterstraat,"[50.97743908982295, 3.2237972977423173]"
Braambessenstraat,"[51.002406449999995, 3.2067813999999997]"
Brabantstraat,"[50.9797736821438, 3.1935134229937323]"
Bremstraat,"[51.002608699999996, 3.2034183]"
Brugsebaan,"[50.981251400000005, 3.2405781]"
Brugstraat,"[50.97685360565534, 3.1995372040544257]"
Bruinbergstraat,"[50.94766280878915, 3.2084642943403447]"
Burgerleenstraat,"[50.979354919339656, 3.1785207059722347]"
Capucijnestraat,"[51.01106593707001, 3.1911273365438846]"
Cardijnlaan,"[50.97398276175958, 3.19535189781668]"
Cauwestraat,"[50.98459257728787, 3.2014665943589953]"
Cijnsmolenstraat,"[50.95968890017607, 3.204335710860991]"
Cloetbergstraat,"[50.9626488626838, 3.188012183112366]"
Consciencestraat,"[51.00276247234523, 3.2046489114554264]"
Dennenstraat,"[50.962542, 3.2397985]"
Diepestraat,"[50.9898568511906, 3.221107675902022]"
Diksmuidse Boterweg,"[51.004416743698215, 3.2009501139211864]"
Distelstraat,"[51.003082105601706, 3.2036128694495054]"
Doelstokstraat,"[50.97684217505929, 3.2094619562298194]"
Dorpsplein,"[51.00224738637335, 3.208919844728241]"
Drogenbroodstraat,"[51.01509410421296, 3.2131598024643164]"
Druivenstraat,"[50.98184434161017, 3.193248145199293]"
Duivelstraatje,"[50.979389526997686, 3.183872553346681]"
Eekhoutstraat,"[""50.9781491"", ""3.2012566""]"
Egemsestraat,"[51.00587803744262, 3.2198594626922823]"
Eikstraat,"[50.962437800000004, 3.24077845]"
Elf-Julistraat,"[""50.9892197"", ""3.2017834""]"
Elslanderstraat,"[50.99146038257595, 3.1960818294330315]"
Elstapstraat,"[50.958776710630005, 3.17784249271414]"
Engelendreef,"[50.976949793881744, 3.1891340493057507]"
Fabriekstraat,"[50.98834711738063, 3.2010252170242905]"
Frambozenstraat,"[50.982321555232474, 3.1931426117660155]"
Gangske,"[50.9776437, 3.1984872]"
Gapaardstraat,"[""50.965471"", ""3.172662""]"
Gemeentehuisstraat,"[51.002700224415705, 3.2102595198266926]"
Gezellestraat,"[51.00300975812664, 3.205997481443502]"
Groenboomgaardstraat,"[50.98009487545483, 3.2062902419471553]"
Groenestraat,"[""50.9724342"", ""3.2255128""]"
Hazestraat,"[50.98084395907285, 3.232505705115932]"
Hellestraat,"[50.97944675, 3.190246]"
Hemelstraat,"[50.97710691707247, 3.197092185309916]"
Hoflandstraat,"[50.98055148080994, 3.1957081215572796]"
Hogeschuurstraat,"[50.98009192951118, 3.215328481111776]"
Holdestraat,"[51.008360864713076, 3.204628233261474]"
Hondsklinkstraat,"[51.01392747196532, 3.188760241945327]"
Hoog-Wielkestraat,"[51.00377926302918, 3.1791969015619084]"
Hoogakkerstraat,"[51.00800493591809, 3.185490583985024]"
Hoogbeverenstraat,"[50.98496958041319, 3.173371476653784]"
Hooistraat,"[""50.9683076"", ""3.1669054""]"
Izegemsestraat,"[50.971085650000006, 3.1962859000000003]"
Jasmijnenstraat,"[50.977915100000004, 3.1934402000000004]"
Jostraat,"[51.020942319481186, 3.2104128622303016]"
Kaaistraat,"[50.97809892844597, 3.198896092754887]"
Kachtemsestraat,"[50.94507565186662, 3.203767908252571]"
Kanariestraat,"[50.9577040166001, 3.170398783109617]"
Kapellestraat,"[51.010781566101606, 3.220008173886661]"
Kasteelstraat,"[50.96494036940785, 3.2377987739167096]"
Klaverstraat,"[""51.0022849"", ""3.2072795""]"
Kleine Boterweg,"[50.97656692635153, 3.2275628947052493]"
Kloosterstraat,"[51.0019199358969, 3.211645739920018]"
Knijffelingstraat,"[50.9945901047161, 3.1977936692208773]"
Knollingstraat,"[50.95868823403691, 3.1765709718545936]"
Koning Albertstraat,"[50.97801965878603, 3.195055546712987]"
Koornbloemstraat,"[51.0025540233904, 3.208721387646271]"
Kortekeerstraat,"[50.98518844175749, 3.1726862188706715]"
Kortestraat,"[50.98219939208024, 3.200592274165926]"
Kortrijksestraat,"[50.972522549999994, 3.19598565]"
Krommestraat,"[50.95906333715328, 3.1721582441305363]"
Kwadestraat,"[51.0188186643957, 3.206042314560482]"
Laagstraat,"[51.006278300000005, 3.2097962]"
Lampernissestraat,"[50.99204811435707, 3.200710941116195]"
Landsmanstraat,"[""FOUT, geen straat gevonden""]"
Langestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Lavendelstraat,"[51.003153754030436, 3.2024694625866226]"
Leen-ter Hellenstraat,"[50.972212841181175, 3.1796873489110187]"
Leenbosstraat,"[50.951864526511066, 3.221440586977206]"
Leeuwerikenstraat,"[50.95776065383865, 3.167837488541139]"
Legestraat,"[50.98079048544308, 3.220282314983491]"
Lichterveldsestraat,"[51.00317925, 3.1937561499999996]"
Lijsterstraat,"[50.94500574602864, 3.2081149480122684]"
Lindenstraat,"[50.962175290209395, 3.2402101534301133]"
M. Maertensstraat,"[51.00584707360822, 3.206419594653475]"
