Straat,Coordinaten
't Zand,"[51.32886837443183, 5.098976411369697]"
Aartrijtstraat,"[51.32133093625315, 5.068040928228375]"
Agnetendal,"[51.31961565896568, 5.075253823075494]"
Akkerstraat,"[51.310855249999996, 5.0717418]"
Asselbergen,"[51.324618103679306, 5.1099022254283035]"
Averlant,"[51.32179636983836, 5.070283861229325]"
Begijnenhufke,"[""FOUT, geen straat gevonden""]"
Begijnhof,"[51.323211905197624, 5.091497942119809]"
Bellekens,"[51.3233534609873, 5.0955944866315805]"
Berendonk,"[51.30366276341488, 5.111694259762436]"
Bergen,"[51.32056596162993, 5.0697412064523375]"
Biesheuvelstraat,"[51.322636599999996, 5.0746012]"
Biesputten,"[51.330907178418684, 5.077589067869745]"
Bleek,"[51.32243941349381, 5.071322667056228]"
Bocht,"[51.3127587, 5.06894165]"
Bosvelden,"[51.321418254408975, 5.075076179422656]"
Brandstraat,"[51.3264592442623, 5.096776127882923]"
Bremberg,"[51.31920472312837, 5.092949858465691]"
Broekstraat,"[51.305535746930204, 5.072262299876088]"
Broseshufke,"[51.32097555, 5.09128955]"
Celenshufke,"[51.31977501332314, 5.088660510419042]"
De Biezen,"[51.31619668270628, 5.127379979770221]"
De Brulen,"[51.33892807478176, 5.103736778743713]"
De Daries,"[51.31920246800165, 5.079853013169571]"
De Gijpen,"[51.32975294289753, 5.099133409880264]"
De Horeman,"[51.32307681435715, 5.0933853340706285]"
De Kleermakers,"[51.34292274579758, 5.105935580097091]"
De Leggen,"[51.32116654135498, 5.099553671771235]"
De Lusthoven,"[51.36775145, 5.074771800000001]"
De Maalberg,"[51.31901837722941, 5.099695052107759]"
De Maaskens,"[51.32374235, 5.08768125]"
De Muite,"[51.32181196697502, 5.096576980897709]"
De Plaetse,"[51.318973895695656, 5.08811900599557]"
De Rennen,"[51.320842019779896, 5.097405799529805]"
De Valkborch,"[51.3213311217447, 5.098004175029341]"
De Valken,"[51.320060170776976, 5.082537536564066]"
De Vloed,"[51.323833, 5.0863837]"
De Vooruit,"[51.3200878514633, 5.092742391557684]"
De Zeshonderd,"[51.3413002662556, 5.055321118287814]"
Delstraat,"[51.31415571750928, 5.041076218324324]"
Den Tobberd,"[51.31945439682176, 5.066107646395954]"
Deroissart,"[51.32161737420037, 5.0870581497818765]"
Diepenbeemd,"[51.31885248408637, 5.083576231722704]"
Dopheistraat,"[51.32542395384533, 5.065793809132651]"
Driehoek,"[51.319332264131205, 5.106800456077599]"
Duvelsstraat,"[51.31519423962677, 5.097878523793931]"
Espendonk,"[51.31882695, 5.0913883]"
Flierenbos,"[51.33465165, 5.09579645]"
Gagelbroek,"[51.32613287915169, 5.131911814416091]"
Gildestraat,"[51.31868349970796, 5.084779116431768]"
Gorpkenshufke,"[""FOUT, geen straat gevonden""]"
Gouwberg,"[51.32079147807451, 5.076604309517588]"
Grens,"[51.3409953, 5.10550655]"
Grotstraat,"[51.32692819238337, 5.077498090576865]"
Hazegewoud,"[51.33909324621355, 5.0969909107737665]"
Heikant,"[51.33062781620216, 5.07955481606756]"
Heilaar,"[51.318637811344345, 5.069755725637271]"
Heirbaan,"[51.325412259522444, 5.029538106667081]"
Hertevelden,"[51.311856175004245, 5.092306521050251]"
Het Einde,"[51.31425896740823, 5.056998273545442]"
Het Hof,"[51.3337382226851, 5.096837286708845]"
Hoendergaarsen,"[51.3163258, 5.06650565]"
Hoge Mauw,"[51.2997138, 5.105298280075626]"
Hogepedestraat,"[51.31998401609178, 5.054620219343898]"
Hokken,"[51.32764548384578, 5.092031175162666]"
Hoogakkers,"[51.3249984370097, 5.078606123334514]"
