Straat,Coordinaten
Acaciastraat,"[50.99725622368888, 5.567867668461641]"
Ambachtslaan,"[50.99770340078376, 5.5563058987707326]"
André Dumontlaan,"[51.010279012168624, 5.581687784464146]"
Berkenstraat,"[50.995566561008985, 5.574819245901244]"
Beukenstraat,"[50.99945734667882, 5.564721971164919]"
Bevrijdingslaan,"[51.0009466, 5.58073385]"
Biezenstraat,"[51.00254210016595, 5.56192089011781]"
Bijnensstraat,"[51.008701349999996, 5.56055675]"
Bilzerweg,"[50.986952989105774, 5.572213549926782]"
Blessereindstraat,"[50.998098124507145, 5.574764746487248]"
Boshoekstraat,"[51.000294869644144, 5.585361506643095]"
Bosstraat,"[51.005402768008665, 5.591254850396111]"
Breeërweg,"[51.01359004333572, 5.580960058856046]"
Bremstraat,"[51.01180063106864, 5.610730165378921]"
Burgemeester Vindevogellaan,"[51.01037686963172, 5.60395353001485]"
Caelenbergstraat,"[51.0299920085001, 5.612790104838663]"
Caelenhaag,"[""FOUT, geen straat gevonden""]"
Castershoevestraat,"[51.023124434313736, 5.598945261184349]"
Daelstraat,"[51.02421404992823, 5.607817245612033]"
Dennengaerdelaan,"[51.014766514841725, 5.615147088876349]"
Dianastraat,"[51.01143081193621, 5.612280245165881]"
Dorpsstraat,"[51.006977250000006, 5.588478599999999]"
Driebankenstraat,"[51.00499725476469, 5.594464386392091]"
Driesstraat,"[51.0084375580438, 5.571626868148931]"
Duinstraat,"[51.011010810733296, 5.571804961458445]"
Dwarsstraat,"[51.000361572805375, 5.576453241676257]"
Echostraat,"[51.01383156605733, 5.613548046514576]"
Eekhoorntjesweg,"[51.01360458745302, 5.616962323799763]"
Eikenstraat,"[50.99728872215177, 5.5726173846658655]"
Einderheibosstraat,"[51.000466700000004, 5.5614735500000005]"
Eindstraat,"[51.03193216363462, 5.614946758230019]"
Fazantenstraat,"[51.004363086032534, 5.552790662485592]"
Geenstraat,"[51.0257536512927, 5.607554190733472]"
Gilissenstraat,"[51.012921840773764, 5.572677748248624]"
Gommersstraat,"[51.008934749999995, 5.56243905]"
Gribbenstraat,"[51.01198858976937, 5.575693393346822]"
Groenstraat,"[51.01036040238744, 5.574145926541894]"
Grotstraat,"[51.01763513792557, 5.599249460283556]"
Haagdoornstraat,"[50.99850263793583, 5.56566381567655]"
Heiderveldstraat,"[51.01008160915201, 5.560737765753245]"
Heihuizenstraat,"[51.00869145, 5.567478749999999]"
Heiweg,"[51.023420407829285, 5.615896709232912]"
Herengracht,"[51.00212077994019, 5.562565991013593]"
Heulkensstraat,"[51.01849885, 5.61970275]"
Hofstede,"[51.006646452816966, 5.5817614592487805]"
Hoogstraat,"[51.00735899004235, 5.589182140052893]"
Hoven,"[50.99642960359514, 5.58718644080013]"
Hupkensstraat,"[51.0082619, 5.55792645]"
Huvenersstraat,"[51.010061034180495, 5.58344619944132]"
J.F. Kennedystraat,"[""FOUT, straat in foute gemeente gevonden""]"
Jagersdreef,"[51.02554911983914, 5.627164375864739]"
Jeneverbesstraat,"[51.01423029339052, 5.574402930821194]"
John Cockerillstraat,"[51.00066120660545, 5.56247693794392]"
Julius Peeterslaan,"[51.00721064257065, 5.585090936485026]"
Kantonnale Baan,"[51.01314775, 5.5782658000000005]"
Kanunnik Berghsstraat,"[51.01223236387226, 5.610738026493087]"
Kapelstraat,"[51.02174085, 5.6273112]"
Karel Theunissenlaan,"[51.017857899999996, 5.58850445]"
Kastanjedreef,"[50.99678739774387, 5.569743838922121]"
Kempstraat,"[51.01121638135892, 5.591552203763716]"
Kerkhofstraat,"[51.004667780557774, 5.588169626351079]"
Kerkpad,"[51.00824707995396, 5.585705041989039]"
Kerkplein,"[51.00576134122382, 5.583349025471634]"
Kerkstraat,"[51.00573472292627, 5.58591639046771]"
Klaverbergstraat,"[51.015575941131246, 5.540487102283537]"
Kleinsteeg,"[51.00221189479322, 5.578136061970655]"
Kloosterstraat,"[51.00148053441954, 5.580441255651865]"
Koestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Koning Boudewijnplein,"[51.00914433928842, 5.6062723946708175]"
Krimstraat,"[51.01210039421011, 5.601138636983277]"
