Straat,Coordinaten
Abdijstraat,"[50.74711082319561, 3.40986334751003]"
Achterdriesstraat,"[50.78379842306126, 3.4258473427726095]"
Achterhoek,"[50.793617352910665, 3.4838516553897563]"
Albert Decockstraat,"[50.78224830730754, 3.4365627062380253]"
Amelbergastraat,"[50.74700421411214, 3.4072155075434623]"
Assegem,"[50.78075347498859, 3.4333392130071574]"
Baarmstraat,"[50.804542043890265, 3.50038024476001]"
Beekstraat,"[50.76903236376623, 3.447613929064505]"
Beiaarddreef,"[50.75921681625627, 3.431705509179618]"
Bettestraat,"[50.784185842785924, 3.434492127528377]"
Bevrijdingslaan,"[50.779750642655664, 3.4495335322941663]"
Binnenweg,"[50.7756951, 3.4412429500000004]"
Blauwe-Poortstraat,"[50.79136389296872, 3.472278371558862]"
Bleekveld,"[50.7739754, 3.4392719]"
Bosstraat,"[50.78467224984338, 3.4455569280749136]"
Bossuitstraat,"[50.75611620308116, 3.410091664228621]"
Bouvriestraat,"[50.75264921395516, 3.3932812023926586]"
Bruggesteenweg,"[50.79859329110521, 3.5003550182119936]"
Brugstraat,"[50.794273700000005, 3.50440565]"
Burchthof,"[50.77767491068441, 3.4492224734353267]"
Daniël Vermandereplein,"[50.77470805, 3.44799015]"
De Ronde,"[50.772437427579334, 3.4474351497772373]"
Doorniksesteenweg,"[50.77198, 3.4435344]"
Doornstraat,"[50.77003787230522, 3.4399249168958197]"
Dorrestraat,"[50.74999601936504, 3.408901053345532]"
Drieputtenstraat,"[50.77649469500538, 3.4298298101996667]"
Driesstraat,"[50.78181838386684, 3.4343177910531444]"
Etienne Balcaenstraat,"[50.763842842096444, 3.4405624426381243]"
Ettenheimstraat,"[50.77634162985305, 3.4361712886082545]"
Gabriel Herpoelstraat,"[50.77773266823659, 3.443682003431704]"
Ganzenhofstraat,"[50.781472484841295, 3.4438143995604285]"
Gemeenteplein,"[50.775598, 3.4442049]"
Gentweg,"[50.75590482144574, 3.4273563081029854]"
Harent,"[50.77099892569774, 3.4543296115271414]"
Heestertstraat,"[50.76758378237584, 3.420214941170215]"
Heye,"[50.802783176669145, 3.513332277268002]"
Hoogstraat,"[50.77648048378172, 3.4395002182442824]"
Hoogveld,"[50.777167921897004, 3.4333507575288267]"
Hulstraat,"[50.78478703995127, 3.4674317772487018]"
Huttegemstraat,"[50.77066875801906, 3.4393494910723343]"
Kaaistraat,"[50.79647580361382, 3.4983873931984357]"
Kapellekouter,"[50.778636664685294, 3.460640082166954]"
Kapellestraat,"[50.79526228515587, 3.497243818599327]"
Kaphoekstraat,"[50.78865655, 3.4527921499999996]"
Kareelovenstraat,"[50.7747325, 3.45486905]"
Kasteelstraat,"[50.77569667553052, 3.4478419072289133]"
Kerkhofstraat,"[50.77953446376053, 3.445424001261269]"
Kerkstraat,"[50.77563810934946, 3.4462973176984]"
Ketserweg,"[50.752969897111655, 3.409543059566978]"
Kloosterhof,"[""FOUT, geen straat gevonden""]"
Knobbelstraat,"[50.78984908033306, 3.4416612318263686]"
Knokstraat,"[50.780524650000004, 3.4379904000000003]"
Korenstraat,"[50.75993558648483, 3.4296733150538707]"
Korteweg,"[50.77658783629512, 3.441113982262507]"
Kortrijkstraat,"[50.77484216159909, 3.4344871306993476]"
Kouterlosstraat,"[50.77280264005101, 3.434403278724944]"
Kouterstraat,"[50.76506125888239, 3.4339416960363334]"
Krevelstraat,"[50.80064905606463, 3.495433877063359]"
