Straat,Coordinaten
1-Meilaan,"[51.17575607530994, 5.165849998025051]"
17 Esk. Licht Vliegwezenlaan,"[51.18144495, 5.2125407]"
A. Dierckxstraat,"[51.17043547116158, 5.164872285051925]"
Acaciadreef,"[51.188027757799844, 5.2434415759198245]"
Achterdijksepad,"[51.159694164311176, 5.214730915562709]"
Achtersteeg,"[51.171426468071786, 5.2103226666716616]"
Achtervennen,"[51.16796550645343, 5.259382905921408]"
Akkerstraat,"[51.1679450911184, 5.164380817944772]"
Ambachtsstraat,"[51.15767132409977, 5.152277798142314]"
Antverpialaan,"[51.15219680613718, 5.214791427546737]"
Asbeekstraat,"[51.14197056188575, 5.216690830622727]"
Asdonkseweg,"[51.131013749999994, 5.2014594]"
Astridlaan,"[51.171818360589036, 5.179125292401645]"
Balen-Neetlaan,"[51.19582924014307, 5.226869096482188]"
Bankei,"[51.2030756585209, 5.225364235014223]"
Beekstraat,"[51.18712808252808, 5.228571312024067]"
Belgenlaan,"[51.14303529524118, 5.224509551345915]"
Belsebaan,"[51.167667449999996, 5.122188749999999]"
Benoit Belmansstraat,"[51.169729370315125, 5.166855137105083]"
Benoit Jansenstraat,"[51.1634826273201, 5.165288789628122]"
Berg,"[69.5579906, 18.0982574]"
Bergeinde,"[51.170552433251466, 5.153022451955513]"
Bergen,"[51.150667516551295, 5.114217513606409]"
Berkenbos,"[51.19819805710444, 5.1738020663378]"
Berkenlaan,"[51.14163885, 5.1540403999999995]"
Berkensingel,"[51.19884854970074, 5.1815858499036445]"
Berksvennen,"[51.1237234827516, 5.171522370358527]"
Bert Leysenlaan,"[51.17456051769512, 5.16412518811486]"
Beukenbergsveld,"[51.12111101525809, 5.14831355481524]"
Beukenlaan,"[""FOUT, geen straat gevonden""]"
Bevrijdingsstraat,"[51.17052649685847, 5.1639752978884985]"
Biesakker,"[51.17032151566186, 5.177942090127733]"
Biezenveld,"[51.186951300000004, 5.237692]"
Binnenbrokken,"[51.150877180709216, 5.129915534110891]"
Binnenveld,"[51.16913788845741, 5.251760443489904]"
Binnenwouwers,"[51.165209210693135, 5.132242627958629]"
Bloemenstraat,"[51.16492975681853, 5.171195347999241]"
Boekweitstraat,"[51.17240400275732, 5.137625444517247]"
Boogstraat,"[51.16540864398746, 5.167856820609528]"
Boomschorsweg,"[51.19245474860032, 5.247931330940812]"
Booneersels,"[51.187097981130464, 5.175439570040468]"
Boonhof,"[51.15062564002302, 5.115537551240773]"
