Straat,Coordinaten
Aarschotsebaan,"[51.088733646392974, 4.635563466936855]"
Achterhoek,"[51.12518739835137, 4.666287114959929]"
Alflaar,"[51.10273091501515, 4.662733261958901]"
Alpenroosstraat,"[51.11793385073578, 4.652107316419598]"
Anjerstraat,"[51.112921799999995, 4.635184]"
Azaleastraat,"[51.114378694103664, 4.637997202602599]"
Ballaarweg,"[51.118845477858066, 4.660300587905867]"
Bastijnstraat,"[51.11912649321878, 4.6252955491662195]"
Berglaag,"[51.11814131660701, 4.646718063317689]"
Berkenstraat,"[51.08249018215089, 4.6676357737218295]"
Bijenhof,"[51.113327560665404, 4.636568511599596]"
Bolweg,"[51.11261000221744, 4.651522578558667]"
Bossen,"[51.11221769143325, 4.632758581758085]"
Bosstraat,"[51.09988075, 4.67476865]"
Brandestraat,"[51.099938300000005, 4.63531345]"
Brassoi,"[51.115376095043025, 4.656809755061584]"
Bremstraat,"[51.11649924397678, 4.645286424545057]"
Brigandweg,"[51.126427071431586, 4.661822517761991]"
Broekweg,"[51.096947381691514, 4.684156093207246]"
Burgemeester Lambrechtsstraat,"[51.11448142762391, 4.667230888184493]"
Constant Verhulststraat,"[51.115755071491336, 4.668913083493686]"
Daalstraat,"[51.120459779419356, 4.654644822527693]"
De Beerslaan,"[51.1196478, 4.6711337]"
Dennenweg,"[51.09605212650493, 4.675411965028401]"
Diamantstraat,"[51.11382743077074, 4.645137389548806]"
Doelstraat,"[51.11303400685619, 4.639816191374743]"
Doelvelden,"[51.10735715, 4.6447693]"
Dokter Van Hoofstraat,"[51.11343901017745, 4.665020858026055]"
Dokter Van der Borghtstraat,"[51.11977323351651, 4.658046505934313]"
Dorpsstraat,"[51.11704564292411, 4.650869617838469]"
Dreef,"[51.12580074554955, 4.659801959289877]"
Ebroek,"[51.113552299999995, 4.6581657]"
Ernest van Dyckstraat,"[51.115449965021, 4.663142636954662]"
Ezenhoek,"[51.106549847804295, 4.69349284970999]"
F.J. Houbenstraat,"[51.1150759, 4.651233449999999]"
Fertlarelei,"[51.1202678, 4.6441438]"
Gangelberg,"[51.086323007318846, 4.642916255847166]"
Gasbakstraat,"[51.1157973826278, 4.650697664806718]"
Gestelhof,"[51.1302663, 4.661362595481927]"
Havikstraat,"[51.109423150471585, 4.648281215493936]"
Hazendonk,"[51.09772390656802, 4.633325794298856]"
Heestenweg,"[51.093799749999995, 4.67338495]"
Heideroosstraat,"[51.082987080145706, 4.670258211898954]"
Heidestraat,"[51.08627655, 4.658216100000001]"
Heikanthof,"[51.08300982174392, 4.657465605373615]"
Heikneuterhof,"[51.08174126595076, 4.658905425601858]"
Heimolenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Heistraat,"[""FOUT, straat in foute gemeente gevonden""]"
