Straat,Coordinaten
A. Devriesestraat,"[50.850718846543955, 4.58464157372157]"
A.E. Verbiststraat,"[50.867407119772054, 4.628102634283608]"
Alsemberglaan,"[50.86964025510695, 4.636709151264162]"
Armenlosweg,"[50.876632350627965, 4.639327645456776]"
Baanakkerweg,"[50.85986691416087, 4.606528368448234]"
Bankblokstraat,"[50.8565990711091, 4.599480062386966]"
Beekstraat,"[50.83699941272656, 4.6385052518402]"
Begijnenstraat,"[50.863424085845494, 4.625041037668445]"
Begijnhof,"[50.83210852481003, 4.62616510284012]"
Berkelareveld,"[50.868681800000005, 4.6322671]"
Berkendreef,"[50.84996696009974, 4.574437165961645]"
Bertemse Heideweg,"[50.870986607318116, 4.642629855570178]"
Bertemseweg,"[50.84753406170352, 4.6379703018774645]"
Biereikenveld,"[50.85174337976411, 4.587144543822428]"
Blankaart,"[50.84558035, 4.581365200231712]"
Blijenberg,"[""FOUT, geen straat gevonden""]"
Blokkenstraat,"[50.8594226, 4.62049305]"
Borsstraat,"[50.866432977815414, 4.6463221325187005]"
Boskee,"[50.84978905, 4.593375]"
Bosstraat,"[50.88975679306781, 4.623627263542104]"
Broekstraat,"[50.846055340148574, 4.584297743724396]"
Bronstraat,"[50.841838996882494, 4.5828515564719465]"
Coige-steenweg,"[50.85158781003396, 4.553497478545506]"
Corbielaan,"[50.86070610906431, 4.625575346932333]"
Dalemstraat,"[50.86579886265773, 4.641306052329884]"
Dam,"[50.84252555278054, 4.643971426245922]"
De Herk,"[50.8640045, 4.6333939268124285]"
Delle,"[50.85033715, 4.62652335]"
Diepestraat,"[""50.8558758"", ""4.5670943""]"
Diepeweg,"[50.859702046437505, 4.569007559799852]"
Dokter Tielemansstraat,"[50.85027710854224, 4.591110890540064]"
Dorpsplein,"[50.847230983754194, 4.591425592212782]"
Dorpstraat,"[50.86438666154832, 4.645912243215569]"
Dreefstraat,"[50.86582961753039, 4.62704452823872]"
Drielindenveld,"[50.870210243425966, 4.63164357163655]"
Egenhovenstraat,"[50.86258343423827, 4.64015889906959]"
Eikendreef,"[50.85016147895168, 4.586149643354747]"
Eksterenberg,"[50.84445953633569, 4.586058655028412]"
Elzenstraat,"[50.8548994516977, 4.60162816743441]"
Everbergsesteenweg,"[50.86013541154659, 4.58203001311388]"
Ferd. Vanlaerstraat,"[""FOUT, geen straat gevonden""]"
Foksweg,"[50.853089927768664, 4.586447313445875]"
Fr. Dottermansstraat,"[50.86290805, 4.62950325]"
Friesenhof,"[50.86407816497886, 4.6405979732361216]"
Gasthuishof,"[50.86501417562521, 4.634380633706379]"
Gbrs. Jourandstraat,"[""FOUT, geen straat gevonden""]"
Geen-straat,"[50.867503762824, 4.636563899106531]"
Gemeenteplein,"[50.86320078220214, 4.6298289624836615]"
Gerzenstraat,"[50.86573322322106, 4.6352953603925195]"
Gloriantlaan,"[50.86050464312505, 4.6238779101511955]"
Grauwe Steenberg,"[50.87286215783842, 4.625117595724689]"
Grensstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Groenendaal,"[""50.8620122"", ""4.6274818""]"
Haanselberg,"[50.84388585141461, 4.587238196495381]"
Halewijnlaan,"[50.86046345, 4.62750125]"
Hallegat,"[""FOUT, geen straat gevonden""]"
Hammeveld,"[50.84886555047987, 4.5714260676883445]"
Heggestraat,"[50.83654124941497, 4.5740563851523275]"
Hertog van Brabantstraat,"[50.8688957, 4.63686675]"
Hertwinkel,"[50.8442826, 4.592237830713599]"
Herweg,"[50.85101868801482, 4.5853471081324315]"
Het Bies,"[50.85693510725553, 4.597974316475925]"
Het Blok,"[50.86401393685261, 4.630235874563194]"
Het Moeleke,"[50.872663286282354, 4.626857216625738]"
Hoefweg,"[50.8622883, 4.6407618]"
Hofakker,"[50.85255748799648, 4.586617292630291]"
Hollestraat,"[50.838815017968685, 4.6363567140594]"
Hoogveldbaan,"[50.87325983572439, 4.61178480129193]"
Hulsterberg,"[50.84505936821626, 4.58659985021277]"
Irislaan,"[50.8442815, 4.59246745]"
John Vanhaerenstraat,"[50.868137749454625, 4.634045968035298]"
Jozef Ginisstraat,"[50.86636037183108, 4.640670084813288]"
Jules Vanlaerstraat,"[50.86901305, 4.6424641]"
Kapellestraat,"[50.85676472907145, 4.609941489279782]"
Keistraat,"[50.8398087, 4.592306814764498]"
Kerkhofstraat,"[50.84395307861491, 4.5949339508361495]"
Kerkring,"[50.84787184549465, 4.590590875098753]"
Kerkstraat,"[50.86196011707315, 4.629475628175042]"
Kerstraat,"[50.854733217945515, 4.609795420396762]"
Kleine Hollestraat,"[50.83881753537918, 4.637470601478242]"
Kleine Kerkstraat,"[50.84759697584075, 4.589857100730983]"
