Straat,Coordinaten
's Herenwilg,"[51.21399421066722, 4.225817202053668]"
's Wolfsdam,"[51.22482099178471, 4.195190878774106]"
't Leutig pleintje,"[51.213160599999995, 4.263252946962188]"
11 Geniestraat,"[51.206004135951, 4.348193940676948]"
Aardbeienlaan,"[51.214090377402634, 4.279914905810914]"
Abelenlaan,"[51.2927382235668, 4.181612704387987]"
Acacialaan,"[51.28881960001564, 4.177755545201287]"
Achter den Berg,"[""FOUT, geen straat gevonden""]"
Achterhoek,"[51.22849908272344, 4.23777327378199]"
Adhemar Borinstraat,"[51.215942404197165, 4.3226029502746925]"
Adolf Daensstraat,"[51.16527685, 4.3041614500000005]"
Adolf Roelenslaan,"[51.132362054731814, 4.27993049695101]"
Adolf Van Bourgondiëlaan,"[51.213606049999996, 4.2499994]"
Adrien Van Roeyenstraat,"[51.21813059103306, 4.325462085011694]"
Akkerstraat,"[51.17840984032778, 4.308635252565853]"
Albert Panisstraat,"[51.20719002660437, 4.244236223873157]"
Albrecht Rodenbachlaan,"[51.22705467595789, 4.281781489958379]"
Albrecht Rodenbachstraat,"[51.21395673930845, 4.3382416403285005]"
Alexander Farnèselaan,"[51.22388419692783, 4.273122226838911]"
Alfons Van Puymbroecklaan,"[51.230080799999996, 4.27912185]"
Alfred Elewautstraat,"[51.17986751587449, 4.241527417879534]"
Alfred Oststraat,"[51.217596034781096, 4.3398759805360365]"
Alice Nahonlaan,"[51.213618464601716, 4.33249878766128]"
Alixhof,"[51.21864928575103, 4.257077346177861]"
Alois Roelandtslaan,"[51.13049785, 4.28362425]"
Ambachtstraat,"[51.17223816314634, 4.311696027890107]"
Amedee Verbruggenstraat,"[51.16545361705308, 4.30507634954947]"
André Lardonstraat,"[51.1745548497184, 4.299870690226712]"
Andrée Perdieusstraat,"[51.1513533548642, 4.297786730854008]"
Anemonenstraat,"[51.2270223, 4.2594838500000005]"
Anjelierenstraat,"[51.225411601217225, 4.262545838428522]"
Ankerstraat,"[51.12716707079597, 4.292369202062856]"
Anna Piersdreef,"[51.2081999, 4.249985]"
Anne Frankstraat,"[51.168561421716646, 4.30540318992272]"
Annekensstraat,"[51.1607075510218, 4.300469490214137]"
Anneliese Andriessenstraat,"[51.165734976984936, 4.310520674543478]"
Anton Van Wilderodestraat,"[51.16730992493145, 4.306149758101755]"
Antwerpsesteenweg,"[51.203006438069025, 4.349507857845584]"
Appelstraat,"[51.21170873905188, 4.281189956837871]"
Armand Preud'hommestraat,"[51.20919052268829, 4.2285461138939215]"
Arthur De Bruynestraat,"[51.175388996141415, 4.299975180606596]"
Arthur Jansenstraat,"[51.16614594049307, 4.3040392903654885]"
August De Boeckstraat,"[51.2081872061513, 4.230213173347895]"
August Vermeylenstraat,"[51.20627285, 4.24551095]"
Aven Ackers,"[51.2506010427544, 4.191902658265185]"
Azalealaan,"[51.2225955173989, 4.259779828237153]"
Baarbeek,"[51.2136846141993, 4.345974628558348]"
Baljuwstraat,"[51.210235130129696, 4.261677643021916]"
Bankstraat,"[51.1755097, 4.2219171499999995]"
Bankwegel,"[51.217645633600796, 4.254749245813755]"
Bankwegelhof,"[51.219411761818606, 4.25258947996557]"
Barbierstraat,"[51.15601497438534, 4.292642636357987]"
Bareelstraat,"[51.215220249330386, 4.339989867276123]"
Baukelandhof,"[""FOUT, geen straat gevonden""]"
Bazelstraat,"[51.15731298076897, 4.3021854989752315]"
Beekdam,"[51.147964203854826, 4.3048446868496875]"
Beekmolenstraat,"[51.20740694331478, 4.2889085780639125]"
Beekstraat,"[51.2161126, 4.1883052]"
Begoniastraat,"[51.2235465, 4.2602568]"
Belgische Dreef,"[51.3249141, 4.2093826]"
Bembdt,"[51.2291489, 4.3115281]"
Berghoekwegel,"[51.2255339, 4.2789476]"
Bergmolenstraat,"[51.2305763, 4.278326]"
Bergmolenwegel,"[51.2301187, 4.2827561]"
Bergstraat,"[51.1683232, 4.2394446]"
Berkenboomstraat,"[51.2569566, 4.1825886]"
Berkenhof,"[51.2230583, 4.2455139]"
