Straat,Coordinaten
A. Pauwelslaan,"[51.315750699999995, 3.1405638500000004]"
A. Rodenbachstraat,"[""51.30840737712818"", ""3.1238082866766255""]"
A. Ruzettelaan,"[""51.321095729326025"", ""3.154533285833931""]"
A. Stroobandtstraat,"[51.30865555229922, 3.147561555463525]"
Ach Van Ackersquare,"[""FOUT, geen straat gevonden""]"
Adriaan Brouwerlaan,"[51.31047716510714, 3.147835556910283]"
Akkerstraat,"[51.307689972679405, 3.127981279941082]"
Albert Schweitzerlaan,"[51.31309106673362, 3.1520931551797644]"
Albertstraat,"[51.31570027889669, 3.1311406801631185]"
Alkenlaan,"[51.308232398006076, 3.1480692847473577]"
Ambachtstraat,"[51.297346904192985, 3.1525309700647615]"
Antoinette De Vosstraat,"[51.30403053555796, 3.150540821817665]"
Artanhelling,"[51.317251549999995, 3.1337714500000002]"
Astridlaan,"[51.31543359540211, 3.1411215966839574]"
B. Vandammestraat,"[51.30511112082669, 3.1402813985322577]"
Badersstraat,"[51.3144216, 3.1233293]"
Bakkersstraat,"[""51.3154056"", ""3.1271529""]"
Barcadère,"[51.31229364611592, 3.115854029930277]"
Bevrijdingsplein,"[51.30991049583159, 3.1143036379742206]"
Bijsterveldstraat,"[51.30438494840101, 3.1333126780867953]"
Bikschotestraat,"[51.30671171090945, 3.1233473067456643]"
Blankenbergse Dijk,"[51.30345349256261, 3.139337612195264]"
Boezingepad,"[51.30655144034393, 3.1218514278765364]"
Bosstraat,"[51.29320880879207, 3.167960602598134]"
Boutslaan,"[51.31274528462337, 3.147267190661968]"
Breeweg,"[51.31060988025514, 3.159076334611696]"
Bremwijk,"[51.3090695077749, 3.1142308132089647]"
Breughellaan,"[51.310448413911764, 3.1445080469390074]"
Breydelstraat,"[51.31520250404491, 3.1261386845073926]"
Brugse Steenweg,"[51.29266594820018, 3.1557739171240375]"
Casinoplein,"[51.31591283919414, 3.1288860226503266]"
Casinostraat,"[51.316295499999995, 3.13149345]"
Charles Huysstraat,"[51.304327316813, 3.1402107649575766]"
Charlierhelling,"[51.31659575261431, 3.131411204557275]"
Colombus,"[51.30909259284543, 3.1459732870221053]"
Consciencestraat,"[51.31341912393285, 3.1240933426547524]"
Constant Permekepad,"[51.31140804210429, 3.1460497215118695]"
Cyrille Maenhoutstraat,"[51.305219159367795, 3.1385458639432047]"
Dahliastraat,"[51.302962166937434, 3.1338035989476447]"
De Langheplein,"[51.309541595601274, 3.1245626009465663]"
De Saedeleerhelling,"[51.31847875, 3.13890755]"
De Wandelaar,"[51.314606550846754, 3.1450846142378817]"
Descampsplein,"[51.31548455, 3.133175202763959]"
Descampsstraat,"[51.314994022284296, 3.1321423108412922]"
Diksmuidestraat,"[51.30847287281985, 3.1215304055553954]"
Doornhaagstraat,"[51.31808334584154, 3.174274718850324]"
Dr Fr. Verhaeghestraat,"[""FOUT, geen straat gevonden""]"
Drijfstraat,"[51.29504442696625, 3.113368570767116]"
Duindistellaan,"[51.303441896398866, 3.133070709093563]"
Dulleweg,"[51.29160613603511, 3.1661764579342]"
Dumonstraat,"[51.30837555601216, 3.13636816326152]"
