Straat,Coordinaten
's Herenbaan,"[51.105966048397704, 4.364373235491402]"
Acacialaan,"[51.10261259768847, 4.3716197151967435]"
Advokaatstraat,"[51.08920817680242, 4.369138215891108]"
Albrecht Rodenbachstraat,"[51.0978417178704, 4.369434967778999]"
André Gretrystraat,"[51.09859483542929, 4.375481246795702]"
Anjerstraat,"[51.09949013966691, 4.382871871081639]"
Antwerpsestraat,"[51.094341650000004, 4.36614225]"
August Sniedersstraat,"[""FOUT, geen straat gevonden""]"
Bassinstraat,"[51.08457547658205, 4.368328103747971]"
Begoniastraat,"[51.10006746493483, 4.381754083967302]"
Berkenstraat,"[51.104654685288956, 4.370681720692575]"
Beukenlaan,"[51.099260815768915, 4.370839945146928]"
Biezenbos,"[51.094204988021744, 4.376294109028893]"
Blauwe Pan,"[51.096458294698586, 4.348852319498821]"
Blauwstraat,"[51.08668930929368, 4.368497125278941]"
Bomenstraat,"[51.0895468, 4.374192600000001]"
Bossen,"[51.09803685, 4.37810175]"
Bosstraat,"[""51.0845665"", ""4.385161""]"
Brandstraat,"[51.08819841752861, 4.368825393127486]"
Broekweg,"[51.089995349999995, 4.3567157000000005]"
Brouwerslei,"[51.08450632325805, 4.373642183274161]"
Bruidssluiersteegje,"[""FOUT, geen straat gevonden""]"
Bunder,"[51.0946768, 4.37699795]"
Burtonlei,"[51.08453935, 4.3715467]"
Colibrilei,"[51.0851677, 4.37120575]"
Colonel Silvertopstraat,"[51.085976333965725, 4.3628243603473535]"
Conscienceplein,"[51.09724769323081, 4.373141616454014]"
De Laas,"[51.09009762583801, 4.357150100756605]"
Diepestraat,"[51.09067896011429, 4.358703325622291]"
Dijleweg,"[51.096506329090964, 4.355141519902762]"
Dirkputstraat,"[51.09212611992922, 4.393761301867169]"
Driehoek,"[51.09068379262586, 4.376147463639725]"
Edgard Tinelstraat,"[51.095912069632234, 4.374739594726114]"
Eikenstraat,"[51.099612949999994, 4.36793195]"
Elshage,"[51.09096951588464, 4.3775136839451445]"
Elzenstraat,"[51.10406443212671, 4.371232728319251]"
Emile Van Reethstraat,"[51.10022735, 4.36742255]"
Emile Vanderveldestraat,"[51.08692103807472, 4.361345463730603]"
Emile Verhaerenstraat,"[51.099161274042004, 4.3747510038006725]"
Esperantostraat,"[51.090504800000005, 4.36667085]"
Europastraat,"[51.10037624568523, 4.3795373983681545]"
Frans De Schutterlaan,"[51.08791912474672, 4.363187921285163]"
Frans Verelststraat,"[51.0999019, 4.36577965]"
Gamsterstraat,"[51.08341565, 4.3850634]"
Gasstraat,"[51.08855692430147, 4.368135277366547]"
Gauwberg,"[51.091610082777244, 4.378268054893569]"
Gendarmerielaan,"[51.0986628, 4.36569905]"
Gevaertlaan,"[51.09430935705606, 4.373264102888738]"
Glazenstraat,"[51.095240980517275, 4.364759797371788]"
Groene Hofstraat,"[51.085336049999995, 4.364392049999999]"
Grote Markt,"[""51.0860503"", ""4.3637582""]"
Guido Gezellestraat,"[51.09467261474985, 4.3727142778171]"
