Straat,Coordinaten
12DE Liniehof,"[50.840117779980055, 4.835203714321672]"
Aarschotsebaan,"[50.850623848512896, 4.8219883589178965]"
Assenweg,"[50.84458471585032, 4.856206702616957]"
Bareelhuis,"[50.840361562153966, 4.833888351569462]"
Begijnenbosstraat,"[50.87165235471996, 4.874033949063907]"
Bergstraat,"[50.8588935, 4.8735611500000005]"
Bevekomsestraat,"[50.798775802335896, 4.816367952836248]"
Bijvoordestraat,"[50.848666739641054, 4.888632020294536]"
Binkomsestraat,"[50.85719066359198, 4.879368584657932]"
Binnenhof,"[50.84267659239467, 4.8338387069544355]"
Bloemenstraat,"[50.85135835820383, 4.82262564416916]"
Bosduifweg,"[50.844418645179395, 4.834933822225357]"
Boskouterstraat,"[50.86698676427679, 4.869193153717222]"
Bost,"[50.849359335432, 4.811966388718301]"
Boststraat,"[50.841165169450726, 4.8152198068436265]"
Breisemsestraat,"[50.83375229049617, 4.8720049483187085]"
Broekstraat,"[50.803676160214884, 4.849958993932231]"
Brugstraat,"[50.836382150000006, 4.83154485]"
Camerveld,"[50.8345015, 4.83252025]"
Capuyenberg,"[50.84051685, 4.83025655]"
Chankelaarstraat,"[50.867581013575894, 4.86787658165921]"
Dalemstraat,"[50.82393102543886, 4.816144893319249]"
Domstraat,"[50.8091591, 4.8412632]"
Doornstraat,"[50.79944426327861, 4.825030307793879]"
Dorpsstraat,"[50.83960784616549, 4.832334431176684]"
Dreefstraat,"[50.829503990579404, 4.829880674072044]"
Driesstraat,"[50.86798803535864, 4.8584970147876225]"
Droge Vijvers,"[50.842150156081296, 4.849483643253098]"
Drogenhof,"[50.83854602048232, 4.824976825602237]"
Eksterstraat,"[50.83976306893449, 4.829787585028213]"
Elzestraat,"[50.83892326427475, 4.832809915277105]"
Eyckeveld,"[50.8432142259333, 4.8375195600335275]"
Geestelijkenhoek,"[50.8103665, 4.8385026]"
Gr. Konijnestraat,"[""FOUT, geen straat gevonden""]"
Groenstraat,"[50.83645571052392, 4.853624021479697]"
Haarbeekweg,"[50.86732226176423, 4.863392642116585]"
Hazenbosstraat,"[50.866700478918574, 4.873522955671969]"
Heidestraat,"[50.848154841451915, 4.827219462842462]"
Heilige Geesthofstraat,"[50.861468300515604, 4.865152847052977]"
Hertbosstraat,"[50.85852732471776, 4.839710739636427]"
Hertbosweg,"[""50.860547439808634"", ""4.84464995800289""]"
Hertenstraat,"[50.81801985, 4.849351]"
Heulingenstraat,"[50.82894153098852, 4.866936979951006]"
Heurebeekstraat,"[50.870056320378424, 4.8709128372444725]"
Hoegaardsestraat,"[50.833000301050156, 4.847493303684377]"
Hoeksken,"[50.8149416, 4.8430354]"
Honsemsestraat,"[50.828736250000006, 4.83242025]"
Jordaanstraat,"[50.80020594242375, 4.823097344567435]"
Kapelstraat,"[50.844212323493906, 4.853002335743508]"
Kasteelstraat,"[50.83511814835566, 4.866415050397707]"
Katspoelstraat,"[50.8290738, 4.8034865]"
Keizerstraat,"[50.8352718444315, 4.817638827881177]"
Kerkeveld,"[50.821750449999996, 4.81232245]"
Kerkhofstraat,"[50.83045977653489, 4.835212510865184]"
Kerkomsesteenweg,"[50.85909395488671, 4.881144053877041]"
Kerkomsestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Kerkstraat,"[50.85137195321, 4.874469016115705]"
Kerkweg,"[50.83007202811321, 4.833920363364969]"
Klaproos,"[50.8372072924917, 4.858972994206418]"
