Straat,Coordinaten
't Serclaeslei,"[51.3251148910536, 4.529762130769531]"
4 St.-Job-in-'t-Goor,"[""FOUT, geen straat gevonden""]"
Acacialei,"[51.26957376812172, 4.462000157987922]"
Aerdenlei,"[51.29333649868088, 4.494833772464936]"
Alfredlei,"[51.288311687115794, 4.453976132381182]"
Annadreef,"[51.293100842739335, 4.447500241403444]"
Antoinettalei,"[51.28730089591477, 4.449586850093176]"
Antwerpenlei,"[51.330228125400936, 4.5185368219352515]"
Armand Reusensplein,"[51.290161488577596, 4.494050289229309]"
Augustijnslei,"[51.297525750000005, 4.48847115]"
Azalealaan,"[51.28693701882699, 4.491143428252676]"
Baillet-Latourlei,"[51.276291423009326, 4.466306316749841]"
Beekstraat,"[51.29308675, 4.482962799999999]"
Beemdenstraat,"[51.290430400000005, 4.50470375]"
Bergsebaan,"[51.32210379275942, 4.54464646728813]"
Bergstraat,"[51.3056333, 4.48641735]"
Berrélei,"[51.32201109002595, 4.526397379965397]"
Bethaniëlei,"[51.31724678539269, 4.507717374043864]"
Beukenbosdreef,"[""FOUT, geen straat gevonden""]"
Beukendreef,"[51.27760253038221, 4.483972849360087]"
Bevrijdingslei,"[51.318811623725274, 4.526732106061666]"
Bierwertslei,"[51.327467994342605, 4.519945925528934]"
Bijsterveld,"[51.32903729313716, 4.505026091998407]"
Binnenhof,"[51.287491363993524, 4.4575797616293915]"
Bisschoppenhoflei,"[51.28358057281679, 4.453713506067345]"
Bloemaard,"[51.32062058905871, 4.4980816597421205]"
Bloemenlei,"[51.294137407970254, 4.497387406567294]"
Bondgenotenlei,"[51.3319012480139, 4.503380065347959]"
Bosaard,"[51.30262533616571, 4.5112710583167575]"
Bosaardplein,"[""FOUT, geen straat gevonden""]"
Boskapellei,"[51.29576520678478, 4.4442453976288885]"
Bossaersstraat,"[51.3210343, 4.52443995]"
Bosuildreef,"[51.34212201448646, 4.521456513205426]"
Braam,"[51.29139622317295, 4.512905119305365]"
Brechtsebaan,"[51.327693731678764, 4.535840186616414]"
Bredabaan,"[51.28479539997351, 4.4833878500281195]"
Bredestraat,"[51.30784025, 4.47269105]"
Broomansakker,"[51.28845145, 4.4894155]"
Carolinalei,"[51.293383733883495, 4.444466919682722]"
Castel del Vinolei,"[51.2972831611236, 4.460499138140074]"
Charleslei,"[51.29134345023718, 4.474998900474101]"
Charlottalei,"[51.29959147656191, 4.451841650872904]"
Claesstraat,"[51.31700585, 4.5251968]"
Cocxbunder,"[51.290351296144856, 4.51026653929135]"
De Aard,"[51.2968405, 4.50370885]"
De Dries,"[51.294335765550635, 4.476594622418006]"
