Straat,Coordinaten
's-Gravenhof,"[51.22002865, 3.22933455]"
's-Gravenstraat,"[51.22024978792969, 3.228821608459179]"
's-Heer Boudewijnsburg,"[51.18774596131421, 3.2452612471879347]"
't Groeneveld,"[51.1777046359999, 3.2160408584227684]"
't Groenhof,"[51.17716383229181, 3.220056507629376]"
't Hoge,"[51.186129300000005, 3.1873919532388966]"
't Kloosterhof,"[51.17879826794533, 3.2199157072559137]"
't Leitje,"[51.18798382243176, 3.271729666207287]"
't Pand,"[51.20661015, 3.22942765]"
't Speelhof,"[51.19204212394999, 3.2057093880427554]"
't Veld,"[51.211487277509065, 3.255595591782259]"
't Zand,"[51.206074009084006, 3.2177600347060316]"
't Zweerd,"[51.2072136940906, 3.2328993115718627]"
18-Oktoberstraat,"[51.20241420528698, 3.2091755271249025]"
A. J. Witteryckstraat,"[51.18745303189966, 3.237164929472334]"
Aanborgersstraat,"[51.190923947390196, 3.274332828500462]"
Aandenkooi,"[51.167717920336, 3.185473948117767]"
Aardenburgseweg,"[51.218414104119354, 3.2582607952358558]"
Abdijbekepark,"[51.19424471712935, 3.200187041522677]"
Abdijbekestraat,"[51.1990433, 3.20575585]"
Abelendreef,"[51.170407594184226, 3.188387469353085]"
Acaciapad,"[51.21061135, 3.26409165]"
Academiestraat,"[51.211352413844985, 3.22472067720708]"
Achiel Van Ackerplein,"[51.21348345, 3.2183169523830006]"
Acht Zaligheden,"[51.20621371949839, 3.2048723002936335]"
Admiraal Keyesplein,"[51.332259266734184, 3.2116258917205363]"
Adriaan Willaertstraat,"[51.21064015, 3.22322755]"
Adriaan de Gerlachestraat,"[51.32932183243639, 3.181647370305309]"
Akkerstraat,"[51.212563165277935, 3.2569629666887008]"
Albert Dyserynckpark,"[51.1959088, 3.2024409551036443]"
Albert Dyserynckstraat,"[51.19591227426331, 3.200883688847998]"
Albert II-laan,"[51.337718949999996, 3.17957625]"
Albert Serreynstraat,"[51.198889430610464, 3.1811518906489717]"
Albertakaai,"[51.229418956964935, 3.223240972055697]"
Albrecht Rodenbachstraat,"[51.213253949999995, 3.2357778]"
Alfons De Baeckestraat,"[51.18325472296307, 3.213708122580783]"
Alfons Stynsstraat,"[51.295521926819795, 3.196145615834483]"
Alfons Wybolaan,"[51.1959437, 3.19469535]"
Alfred Ronsestraat,"[51.31161935, 3.24179875]"
Altebijstraat,"[51.209555562354495, 3.2428846860459215]"
Altenastraat,"[51.21222307848239, 3.255321144405502]"
Amaat Vynckestraat,"[51.2746783453952, 3.2286802948632536]"
Amazonedreef,"[51.18555160486667, 3.200357905107643]"
Amazonestraat,"[51.18621910254059, 3.2040556084865686]"
Andreas Wydtsstraat,"[51.20248305, 3.2314286]"
André Goossensstraat,"[51.23339600115359, 3.232552161365778]"
André Van Wassenhovestraat,"[51.19253364068391, 3.243308028139761]"
Anjerstraat,"[51.196319319421214, 3.240596324971685]"
Annuntiatenstraat,"[51.21595851017164, 3.2256302647461617]"
Anselm de Boodtstraat,"[51.19025025, 3.26590655]"
Antoinette Grosséstraat,"[51.22824695, 3.2436331]"
