Straat,Coordinaten
't Schepenwegeltje,"[50.97708429594948, 3.4708576827516473]"
Aaltersesteenweg,"[50.990324204680434, 3.5075509704250223]"
Aarseleweg,"[51.008301450000005, 3.47489285]"
Achiel Berthstraat,"[51.0789233292201, 3.5732729128057956]"
Achiel Cassimanstraat,"[51.016696280546604, 3.5811070918887244]"
Achiel Van Eechautestraat,"[50.9789793400181, 3.5330573911669583]"
Achterstraat,"[50.98545539705546, 3.563936174063391]"
Achtmeersstraat,"[50.96910142602481, 3.551146601773872]"
Adolf Lootensstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Adolf de Brabanderpad,"[51.03218537623302, 3.5560198482511414]"
Albert Saveryslaan,"[50.98891045899724, 3.572202738542497]"
Albijn Van Den Abeelestraat,"[51.01751271136028, 3.5809733273630053]"
Alfons Mervilliestraat,"[51.00577997055174, 3.5268295156612126]"
Alfons Van Zandyckestraat,"[51.01587790103131, 3.539689776157936]"
Alsemweg,"[51.07012801412467, 3.604776045469999]"
Amakers,"[51.01007344413208, 3.5829339497029915]"
Amakersstraat,"[51.01028315462825, 3.58608164468327]"
Antoon Van Paryspad,"[50.97742724352624, 3.5253540403180286]"
Ardense Jagersstraat-Gottem,"[50.964509450166055, 3.4625283037416446]"
Astene Dreef,"[50.97852023813524, 3.5539431098951755]"
Astene-Lindenstraat,"[50.982766369467186, 3.588426189930759]"
Astenemolenstraat,"[50.98706111141796, 3.572046824678852]"
August Pienstraat,"[50.992301049999995, 3.50149495]"
Azalealaan,"[50.97098815, 3.5325789]"
Baarlekouterweg,"[51.05034298701718, 3.604230327233365]"
Baarlestraat,"[51.05138550678957, 3.600203214739564]"
Baarsstraat,"[50.98763950765883, 3.5636491345463086]"
Bachtekerkstraat,"[50.999687449999996, 3.54909665]"
Bachtekouter,"[51.00204944454573, 3.549607073668335]"
Bagattestraat,"[51.00907349262762, 3.5761653212506883]"
Basiel De Craenestraat,"[51.00922566863786, 3.582074868010999]"
Basketstraat,"[50.96905605, 3.52619385]"
Beekkant,"[51.02059251240032, 3.47801085465502]"
Beekmeersstraat,"[50.97612015, 3.45823925]"
Beekstraat,"[50.98815334133885, 3.5901560930256076]"
Beekweg,"[51.03450932516769, 3.5487371344259864]"
Beentjesstraat,"[51.04324250210498, 3.5214307822329665]"
Begijnhoflaan,"[51.07666361688514, 3.5367130582379036]"
Begijnhofstraat,"[50.98339264642883, 3.5800747200285765]"
Begonialaan,"[50.969674052245836, 3.533769778014113]"
Bekaertswegel,"[50.9974482004272, 3.501924781645282]"
Bekstraat,"[51.06365861008923, 3.5790255418381807]"
Berg,"[51.021409504397226, 3.5319637898249194]"
Berkenlaan,"[50.9691639011567, 3.530284493398654]"
Berten De Kimpestraat,"[50.98094387142881, 3.535072003112157]"
Biebuyckstraat,"[51.054257900090924, 3.528297934947755]"
Biesbulckstraat,"[50.99017355453539, 3.521436670930621]"
Biezen,"[50.98893284483511, 3.602788400807162]"
Biezestraat,"[51.07488953170268, 3.594975139024009]"
Bijlkenstraat,"[51.03956990665017, 3.526456690699569]"
Binnenhof,"[50.97797732013067, 3.4393712887390278]"
Bisschop Calewaertlaan,"[50.983893838435854, 3.540246931817503]"
Bisschopstraat,"[50.97874807389889, 3.5291329943807406]"
Blasiusdriesstraat,"[51.02972972550082, 3.553555284197704]"
Blauwpoortstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Blekerij,"[50.99621824576514, 3.4943000145863685]"
Bliekstraat,"[50.98604954110458, 3.5613057312944214]"
Bloemistenstraat,"[51.079935378412166, 3.5786837570350816]"
Blommestraat,"[51.07162044077766, 3.550821073025283]"
Boekweithof,"[50.96535287906189, 3.5240280740706345]"
Boerestraat,"[51.070287541641626, 3.5183017847669866]"
Bomboarestraat,"[51.07071585798688, 3.5399679356326277]"
Bomboaretunnel,"[51.0732470299372, 3.5357675279010548]"
Boomstraat,"[50.97133053026987, 3.5389482250453175]"
Borgstraatje,"[51.04503490801787, 3.554263138244263]"
Borluutlaan,"[51.07313553020023, 3.531285829684911]"
Borrewal,"[51.03800535606955, 3.545198706256912]"
Bosstraat,"[51.049677137700165, 3.5428238999190445]"
Boswachtersdreef,"[50.97702179083247, 3.556347188695677]"
Bovenstraat,"[51.05534020497646, 3.575954358036886]"
Braamdonk,"[51.04324250210498, 3.5214307822329665]"
Brandweerstraat,"[51.03656856031333, 3.5521027258443825]"
Bredestraat,"[50.9617635, 3.53081215]"
Bredeweg,"[51.039614251173695, 3.509062549627347]"
Breemeerswegel,"[51.0862313019802, 3.569190328819683]"
Breeschoot,"[50.98215956657311, 3.569939019173711]"
Bremkouter,"[50.985681353374325, 3.586805878447376]"
Brielpoortbrug,"[50.980426843244445, 3.526240138005008]"
Brielstraat,"[50.98216165032615, 3.524041075904558]"
Broeklos,"[50.99634139543026, 3.492220399017847]"
Broekstraat,"[51.06596785, 3.5999656]"
Brouwerijstraat,"[51.056809099999995, 3.57181205]"
Bruggenhoofdstraat,"[50.98379705246941, 3.5743741864396354]"
Brugseheirweg,"[51.07060469082692, 3.5386186791906384]"
Brugstraat,"[50.973517436780654, 3.470549979898631]"
Brunshaag,"[""FOUT, geen straat gevonden""]"
Buiskouter,"[50.98545354260185, 3.5844637876610133]"
Bulkenhof,"[50.96480768806287, 3.5270594735069136]"
Bullenstraat,"[50.9776612, 3.52937645]"
Burg. van Crombrugghelaan,"[51.013180448504706, 3.5845285558373057]"
Burgemeester Van De Wielepad,"[50.982138933418945, 3.5226112621189225]"
Camiel De Waegenaereplein,"[50.96437185, 3.4614670751022496]"
Camille Van der Cruyssenstraat,"[51.03340068527599, 3.5494404980721495]"
Canteclaerplein,"[50.99111016179971, 3.521077521573183]"
Cardijnlaan,"[51.069230325297156, 3.5409241241199716]"
Casselrylaan,"[50.9869469, 3.5835749999999997]"
Cederlaan,"[50.97671932034999, 3.563885641181625]"
Cederpad,"[50.978485993812306, 3.5628241160202734]"
Centrumlaan,"[50.9734045, 3.5292217499999996]"
Clemence Dosschestraat,"[50.98712043075134, 3.515630382898708]"
Cluysekerkweg,"[51.075948729110955, 3.5373127956271575]"
Cobbestraat,"[50.99020553432185, 3.522799385294818]"
Cromekestraat,"[51.0698336109393, 3.5046640111550325]"
Cyriel Buyssestraat,"[51.03267965157147, 3.5493705128014805]"
Dalestraat,"[51.06144393057047, 3.529914919244007]"
Damstraat,"[51.01457094922634, 3.5822559710046984]"
De Akker,"[51.036420496223634, 3.5509171304490366]"
De Kogge,"[51.00150362778801, 3.555485220989088]"
De Oogst,"[50.965416934588475, 3.5286127227542656]"
De Pruime,"[50.95832235, 3.4482146]"
De Tonne,"[50.9684193844513, 3.5167605419037598]"
De Vlaschaard,"[50.96647281780962, 3.5256389239463206]"
