Straat,Coordinaten
A. De Brabanterstraat,"[50.87603155232633, 4.075527682247517]"
A. De Cockstraat,"[50.88207025907404, 4.079112169286575]"
A. Rodenbachstraat,"[50.89722149698141, 4.063480197845421]"
Abeelstraat,"[50.89410055031546, 4.042941994201873]"
Acacialaan,"[50.891471260072734, 4.059072525190815]"
Anjelierenlaan,"[50.88871909203813, 4.064673087248014]"
Arendsveld,"[50.89792942751722, 4.069452602872329]"
Aststraat,"[50.87383765, 4.0431915]"
Azalealaan,"[50.89237039472182, 4.059860047677425]"
B. de Saedeleerstraat,"[50.87454104241795, 4.073769018511588]"
Bakergemsmolenstraatje,"[50.87251748288284, 4.0570971249166545]"
Bakergemveldbaan,"[50.872123986812014, 4.056038079616619]"
Beekstraat,"[50.90041671291954, 4.041950229373372]"
Beerweg,"[50.90029706761729, 4.05737089706403]"
Bergstraat,"[50.88063987392006, 4.077271953921788]"
Berkenlaan,"[50.89794276164586, 4.071317278660376]"
Beukel,"[50.88573116612108, 4.0576178007122135]"
Beukenlaan,"[50.89503411929903, 4.055889404809628]"
Biestbaan,"[50.874202385551534, 4.0409693289444]"
Bloemendaal,"[50.891220911420056, 4.065102686871777]"
Bloemlandstraat,"[50.889229511295376, 4.069116333435916]"
Bontebeek,"[""FOUT, geen straat gevonden""]"
Booglaan,"[50.894600641177924, 4.054349530064726]"
Boomgaardstraat,"[50.88531612248424, 4.0780894524058775]"
Bordeleenstraat,"[50.8982313, 4.0688143]"
Boriaustraat,"[50.877069576784514, 4.0689189681308005]"
Bosstraat,"[50.896618777055416, 4.070797540094457]"
Bouchtstraat,"[50.883525169321565, 4.079672781537396]"
Braamlandstraat,"[50.8783656, 4.051243749866934]"
Brandweerstraat,"[50.881625144502145, 4.077382200897085]"
Broekstraat,"[50.90221409437005, 4.045085350425587]"
Burg. Benedikt 'T Kintlaan,"[50.89159435, 4.0531527]"
Burg. De Dierlaan,"[50.89342575, 4.053533]"
Burg. Rollierstraat,"[50.88616653772034, 4.073614132742517]"
Burg. Romain Eemanlaan,"[""FOUT, geen straat gevonden""]"
Collegestraat,"[50.88124343740174, 4.072538878154171]"
Coupurestraat,"[50.885373698754826, 4.0731702620977055]"
