Straat,Coordinaten
't Lammeken,"[51.04710188793648, 4.0937082565058125]"
A. Van Stappenstraat,"[51.03349804252267, 4.083295805292684]"
Acacialaan,"[51.016140109528045, 4.114447752783217]"
Achilles Moortgatstraat,"[51.02366781519328, 4.128832564806123]"
Achthoek,"[51.01635176797281, 4.106160608493891]"
Akkerlaan,"[51.04881032777263, 4.094430898547553]"
Azalealaan,"[51.0148301, 4.112792799999999]"
Baasrodestraat,"[51.038979661622335, 4.1466167394104785]"
Bakkerstraat,"[51.04373077795619, 4.103050604950812]"
Baleunisstraat,"[51.02392229022909, 4.111463448950748]"
Bankveldstraat,"[51.05524436408993, 4.118368661363869]"
Bareelstraat,"[51.02228116759726, 4.114208539720622]"
Basiel De Cockplein,"[51.01579623041818, 4.1100715855781385]"
Beekakkerstraat,"[51.01788159658365, 4.089868660122413]"
Beekstraat,"[51.014147888890356, 4.124436703612222]"
Beekweidestraat,"[51.02038990508799, 4.097815789633358]"
Begijnhof,"[51.0277558, 4.099455600000001]"
Begijnhoflaan,"[51.02693829718633, 4.096113566153653]"
Begonialaan,"[51.01422875475945, 4.111636947286517]"
Benedenstraat,"[50.99534923236289, 4.068200255983687]"
Berkenlaan,"[51.015508586984886, 4.113480431120952]"
Berkestraat,"[51.01657204273054, 4.058238356826349]"
Bertbaan,"[51.02497185, 4.133317]"
Beukenlaan,"[51.03140594239964, 4.115865346465498]"
Beurzestraat,"[51.031258000992736, 4.095004066961365]"
Bevrijdingslaan,"[51.02837182552529, 4.064019787377591]"
Bijlokestraat,"[51.0368270198828, 4.082344214650948]"
Bijvang,"[51.02586021284848, 4.100558817875242]"
Binnestraat,"[51.017894735637064, 4.10712418964159]"
Blauwe Steenstraat,"[51.03236095208067, 4.117846230888632]"
Bleienpark,"[51.00937045831578, 4.056381416560772]"
Bloemstestraat,"[51.0469588056203, 4.097705653879366]"
Boerderijstraat,"[51.0289478634641, 4.15073618357467]"
Bogaerdstraat,"[51.03134761514562, 4.102560006468169]"
Bookmolenstraat,"[51.030967000000004, 4.1527750999999995]"
Boonstoppelsveld,"[51.02279599968661, 4.125513802390574]"
Boonwijkstraat,"[51.01861065, 4.09441795]"
Bosstraat,"[51.00752350835359, 4.050757074712438]"
Bosveld,"[51.02972914666489, 4.126156994460531]"
Botermelkstraat,"[51.018910135845736, 4.087319627956142]"
Breestraat,"[51.017051888453665, 4.110876179303311]"
Briel,"[51.03160215, 4.18118685]"
Broekkantstraat,"[51.03888156601967, 4.159007474193813]"
Broekkouter,"[51.038888748137, 4.154879258454165]"
Broekstraat,"[51.03958155, 4.137775550000001]"
Brugstraat,"[51.0043634, 4.012866900000001]"
Brukkelen,"[50.996038642105624, 3.9999256964734182]"
Brusselsestraat,"[51.028446486970445, 4.098823131065778]"
Buisstraat,"[51.02076017779213, 4.120873460705419]"
Burgem. Paul Hendrickxplein,"[""FOUT, geen straat gevonden""]"
Burgemeester Portmanslaan,"[51.02358702655765, 4.0968965868490255]"
Burgemeester Potiaulaan,"[51.020096800000005, 4.11191]"
Camille Marchantplein,"[51.0170718, 4.106742466562567]"
Clement Leybaertstraat,"[51.033232299999995, 4.1160093]"
Cleophas Heyvaertstraat,"[51.02191761608156, 4.108806781736722]"
Coensbroekwegel,"[51.0088231354131, 4.103317290458551]"
Constabelstraat,"[51.00782802161545, 4.022859363433273]"
Cooremannekens,"[51.02503908007753, 4.151046577588644]"
Cyriel De Baerestraat,"[51.038842250874715, 4.160502977293523]"
Dalialaan,"[51.013548081777856, 4.1108400700478125]"
Damhof,"[51.035935828831356, 4.085494402309897]"
De Bruynlaan,"[51.03355469532644, 4.100340452183757]"
De Dammenlaan,"[51.03401274708468, 4.080136034529002]"
De Leksstraat,"[51.03030155132537, 4.169454060314948]"
Denderbellestraat,"[51.01307442275233, 4.09466014853055]"
Denderstraat,"[51.025907046469015, 4.067048532188264]"
Dennenlaan,"[51.03102126688542, 4.117155998195518]"
Denstraat,"[51.06144695719553, 4.128818079502699]"
Diepestraat,"[51.020861758970455, 4.090346175645804]"
Dijkstraat,"[51.03051897549411, 4.101053112368968]"
Distelstraat,"[51.03649637465516, 4.141916613600812]"
Dokter De Witteplein,"[51.01540225, 4.112193184391494]"
Dokter Haekstraat,"[51.05405281043665, 4.1062324516124225]"
Donaustraat,"[51.01310243537166, 4.097284211193772]"
Donckstraat,"[51.03435878448833, 4.087448933482559]"
Dorpsplein,"[51.03595595, 4.163565671322203]"
Dr Frans De Hovrestraat,"[51.01074517774474, 4.064103874302588]"
Dreefstraat,"[51.0294870923329, 4.122350593393476]"
Driebek,"[51.0219743834251, 4.134904415970629]"
Driehuizen,"[51.0343234464794, 4.170752867897547]"
Dries,"[51.002586, 4.1057506]"
Duivenstraat,"[51.018491003223566, 4.096289244782151]"
Dwarslaan,"[51.04846375255335, 4.093081627590157]"
Echostraat,"[51.02627576003173, 4.064055414309511]"
Eegene,"[51.008344234581564, 4.0341028450062595]"
Eikelstraat,"[51.02352129568371, 4.084400109565775]"
Eilandstraat,"[51.019870442786555, 4.130479805670018]"
Eksterstraat,"[51.01474749488831, 4.1272233001461265]"
Elsbosstraat,"[51.02515188562327, 4.119144008935047]"
Emanuel Hielstraat,"[51.020371911301886, 4.106030930949605]"
Emiel Van Winckellaan,"[51.029960785518654, 4.097188043648281]"
Fabriekstraat,"[51.03167413540462, 4.173996621765548]"
Fernand Khnopffstraat,"[51.06054862135943, 4.109424739376018]"
Fortstraat,"[51.01141104723424, 4.11999714253993]"
Frans Bonduelstraat,"[51.03984544918918, 4.151401692819634]"
Frans Van Schoorstraat,"[51.01862180242097, 4.1103151720878435]"
Frans Vertongenstraat,"[51.01473005, 4.061339800000001]"
Franz Courtensstraat,"[51.03209852038775, 4.100846016771824]"
Galeidestraat,"[51.02523064551376, 4.086551047701723]"
Ganzegavers,"[51.05541131420455, 4.107090693782714]"
Gasthuisstraat,"[51.02177334948455, 4.088748217585458]"
Gaverstraat,"[51.05693170774314, 4.10680796713337]"
Geerstraat,"[51.026368877973745, 4.148016283824268]"
Geldroplaan,"[51.02543793663068, 4.101671403529124]"
Gentsesteenweg,"[51.031225899999995, 4.07695995]"
Gildenhof,"[51.02841792718232, 4.097176294311416]"
Gravenhuisstraat,"[51.05884240921301, 4.111827227447885]"
Greffelinck,"[51.029460125329635, 4.097007230654935]"
Groeneweg,"[51.05798402843941, 4.103720110849124]"
