Straat,Coordinaten
Abbeloos,"[50.9621483, 3.4224288]"
Adamstraat,"[50.9574635, 3.3750899]"
Ankelaarstraat,"[50.9775422, 3.3863734]"
Antoon Van Bourgondiëlaan,"[50.931891, 3.4002204]"
Apolloniastraat,"[50.9365088, 3.4315335]"
Baliekouter,"[50.9366984, 3.3926163]"
Baljuwstraat,"[50.964858, 3.4219235]"
Bamstraat,"[50.9718187, 3.4020432]"
Bergstraat,"[50.9260395, 3.4134992]"
Boerderijstraat,"[50.9425202, 3.4097687]"
Boulevard,"[50.9638877, 3.4144065]"
Brouwerijstraat,"[50.9458933, 3.3989784]"
Brugstraat,"[50.9338311, 3.4336744]"
Bulmolenweg,"[50.9469249, 3.3994576]"
Bunderswijk,"[50.964171, 3.4095235]"
Burgemeester Couckestraat,"[50.9682922, 3.4102499]"
Burgemeester Nachtergaelestraat,"[50.9650022, 3.4200982]"
Burgemeester Opsomerstraat,"[50.9672999, 3.41065]"
Burgemeester Verstaenlaan,"[50.9356977, 3.3973476]"
Camiel Cluysestraat,"[50.9270663, 3.4088621]"
Catharinastraat,"[50.9358901, 3.4305062]"
Deinzestraat,"[50.93511311119791, 3.432007267648412]"
Dentergemstraat,"[50.9493831, 3.4026499]"
Diepestraat,"[50.9376899, 3.4005838]"
Dreve,"[50.9613261, 3.4080719]"
Dujardinstraat,"[50.9518277, 3.3816013]"
Eugeen Van Maldeghemstraat,"[50.9637776, 3.4134068]"
Fonteynestraat,"[50.976055, 3.4108786]"
Galgestraat,"[50.9298497, 3.4189195]"
Goedlevenstraat,"[50.9764819, 3.3948744]"
Gottemstraat,"[50.9623595, 3.4246629]"
Groeneweg,"[50.976493, 3.4155689]"
Groenhove,"[50.9282058, 3.4102638]"
Hallebedevaartstraat,"[50.9266312, 3.4098119]"
Hekkenstraat,"[50.9357931, 3.4000688]"
Herpelplas,"[50.9766003, 3.4225597]"
Heuvelhoekstraat,"[50.9398626, 3.4343023]"
Houtstraat,"[50.9464976, 3.4338067]"
Hugo Verrieststraat,"[50.9318424, 3.3970356]"
Joris Van Severenlaan,"[50.9357289, 3.4009941]"
Kapellestraat,"[50.9353361, 3.3911468]"
Kapittelstraat,"[50.968144, 3.4401752]"
Kasteeldreef,"[50.9308865, 3.3991985]"
Katteknok,"[50.9706899, 3.3844214]"
Kerkplein,"[50.934596, 3.431748]"
Kerkstraat,"[50.9638511, 3.4195825]"
Kervijn de Lettenhovedreef,"[50.9287271, 3.4040572]"
Ketserstraat,"[50.9307739, 3.4219026]"
Kloosterhof,"[50.9305749, 3.3970043]"
Kluizebosstraat,"[50.9327736, 3.4120634]"
Korteweg,"[50.9279968, 3.4069191]"
Kouterweg,"[50.9531638, 3.4164966]"
Kraaistraat,"[50.9304397, 3.4046584]"
Kruiskenstraat,"[50.9383769, 3.4302395]"
Kruisstraat,"[50.9548847, 3.4129737]"
Lammersbrugjestraat,"[50.9688771, 3.4181193]"
Leie Linkeroever,"[50.9437381, 3.4503756]"
Leie Rechteroever,"[50.9448379, 3.4539561]"
Lindestraat,"[50.9286807, 3.4154846]"
Mandelstraat,"[50.9284942, 3.3976849]"
Mandelvijver,"[50.929329, 3.4139819]"
Marialoopstraat,"[50.9806576, 3.3798899]"
Markegemsesteenweg,"[50.9560013, 3.4025971]"
Markegemstraat,"[50.9393483, 3.3953913]"
Meulebekesteenweg,"[50.9673507, 3.3918131]"
Meulebekestraat,"[50.9590272, 3.3956824]"
Meuledreve,"[50.9385186, 3.4334728]"
Mirrepadde,"[50.9331596, 3.3940633]"
Molenhove,"[50.9264305, 3.4116558]"
Molenstraat,"[50.9259876, 3.4089274]"
Moststraat,"[50.9481495, 3.3730716]"
Neerhoek,"[50.9426485, 3.4526427]"
Nellekenshof,"[50.9654374, 3.414282]"
Nieuwe Veldstraat,"[50.9685725, 3.3676229]"
Nieuwenwalle,"[50.963282518388375, 3.4084367135762705]"
Nieuwstraat,"[""50.9327878"", ""3.3957922500000004""]"
Oeselgemstraat,"[50.92949706343888, 3.410364192915001]"
Olsenesteenweg,"[50.94264725586382, 3.4542151074071574]"
Ommegangstraat,"[50.93643518148669, 3.389854350329955]"
Oostdreef,"[50.9336110744867, 3.4029890201087407]"
Oosthoekstraat,"[50.934956766268, 3.4077205860095923]"
Oostrozebekestraat,"[50.953656261948346, 3.3917414943473605]"
Palingstraat,"[50.93852325, 3.4317005279697623]"
Papegaaistraat,"[""50.9480503626216"", ""3.417739617219969""]"
Peerdebruggestraat,"[50.96630265, 3.42319005]"
Pontbrouckstraat,"[50.97754160942428, 3.406541175180493]"
Pontstraat,"[50.951178920631826, 3.4420369468333507]"
Puymoortelstraat,"[50.977615582721384, 3.4243673504047147]"
Rivaweg,"[50.96813436143529, 3.4184215929363044]"
Rogier de Kerchovestraat,"[50.96096522176965, 3.4104611630902997]"
Rosalie 't Feltplein,"[50.934067781177305, 3.433245344576347]"
Roterijstraat,"[50.93098225, 3.39504305]"
Sanderusplein,"[50.930898566930274, 3.396260188520822]"
Sint Amandstraat,"[50.9510500536133, 3.372185154953917]"
Sint Antoniusstraat,"[50.931466650000004, 3.39417965]"
Sint-Hubertusstraat,"[50.94661248008774, 3.4034861338453974]"
Sint-Sebastiaanslaan,"[50.92789269588321, 3.4086726925813786]"
Speibeekstraat,"[50.96567165789485, 3.416811065659124]"
Staatsbaan,"[50.94849533256668, 3.4397571247385472]"
Statiestraat,"[50.96460158252687, 3.4173960462401998]"
Sterrehoek,"[50.941296576962245, 3.42003482864068]"
Ter Plancken,"[50.935789150000005, 3.394871]"
Tieltseweg,"[50.97720520409887, 3.368488544555535]"
Tieltstraat,"[50.9542435025407, 3.3730347188163603]"
Tijputstraat,"[50.96358365056553, 3.408670736820066]"
Vaerenhove,"[50.937370599999994, 3.4277463]"
Vaerestraat,"[50.94278917029422, 3.4322840564412695]"
Vandaelenstraat,"[50.94163365, 3.3932997499999997]"
Veldstraat,"[50.96954456429434, 3.3802263875879657]"
Vennebosstraat,"[50.93699569441942, 3.4201367964782454]"
Vennestraat,"[50.93431102313191, 3.4175604384630653]"
Vijvestraat,"[50.92249794019811, 3.413873581765722]"
Vlassenhove,"[50.93639560631944, 3.429671883925812]"
Volderstraat,"[50.93585046308355, 3.428659688417793]"
Wakkensesteenweg,"[50.93452084579204, 3.431017252949828]"
Wakkenstraat,"[50.94429280000001, 3.4021212999999997]"
Walstraat,"[""50.934739672116436"", ""3.3993752808615625""]"
Wapenplaats,"[50.93040642663096, 3.3980167096128215]"
Waterweg,"[50.93081821847419, 3.4198984824067606]"
Wontergemstraat,"[50.96753655641244, 3.4304900558973688]"
Wullaertstraat,"[50.92996527879231, 3.406139038287653]"
Zandstraat,"[50.929657453577626, 3.4072178220345517]"
Zuster Adriennestraat,"[50.9680717380347, 3.4166615445534267]"
