Straat,Coordinaten
Acaciahof,"[50.97851174097501, 5.0632727856652835]"
Acacialaan,"[50.99041763744244, 5.08281332261825]"
Acaciastraat,"[50.97736325871022, 5.064990951744309]"
Allerheiligenberg,"[50.9838485, 5.049034649999999]"
Ambachtenlaan,"[51.011395899330765, 5.015592219904001]"
Anjerstraat,"[50.97499137860322, 5.0528601465563066]"
Antwerpsestraat,"[50.99093304244708, 5.05251642284115]"
Arthur Van Ooststraat,"[50.979827016794815, 5.053922009366132]"
Asdonkstraat,"[51.019683100688546, 5.0478266068010065]"
Asterstraat,"[50.97390554296857, 5.048058446014535]"
Azalealaan,"[50.994483951526504, 5.073812664318751]"
Baanhuisstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Badstraat,"[50.97914570911975, 5.069005729108978]"
Barenbergseweg,"[50.99315154875874, 5.095318147885005]"
Bastionstraat,"[50.98094325, 5.03973055]"
Beemdenweg,"[51.00456267074146, 5.011257442008859]"
Beemptstraat,"[50.95591107014713, 5.033736891884038]"
Begijnenstraat,"[50.987490550000004, 5.0566159]"
Begoniastraat,"[50.97838096659571, 5.05047291607908]"
Bergbosstraat,"[51.04075641278621, 5.1076183232826144]"
Bergstraat,"[51.02674170561209, 5.119884045163673]"
Bergveld,"[50.97311110665858, 5.058415878423924]"
Beringenbaan,"[51.02604634458449, 5.15056783428501]"
Berkenhof,"[50.98952269881938, 5.04851098666102]"
Berkstraat,"[51.00203881110198, 5.086228324384952]"
Beukenlaan,"[50.97658674815843, 5.061990185325215]"
Beukenplein,"[50.977125088393414, 5.062424783085547]"
Beverpoortstraat,"[50.97882306402838, 5.060613037809709]"
Bevrijdingsstraat,"[50.977992977486814, 5.056310818330884]"
Blaasberg,"[50.99764738827674, 5.022888333135715]"
Blakenbergstraat,"[50.95979484917228, 5.058665225886658]"
Blanklaerstraat,"[51.009463511494694, 5.115920946824916]"
Bloemenlaan,"[50.97760681667135, 5.049963471652171]"
Bloempotgang,"[50.98632791538277, 5.0527935239800135]"
Bogaardenstraat,"[50.98872885, 5.0580133]"
Boonhof,"[51.0023394, 5.0102079]"
Bosmansstraat,"[51.0104546, 5.0179352]"
Bosstraat,"[50.996770025544166, 5.01792606058889]"
Bosterestraat,"[50.970741430104596, 5.037425139346627]"
Botermarkt,"[50.9832569728565, 5.052236117035089]"
Boudewijnvest,"[50.989692408084416, 5.05007445611473]"
Boven Molenstede,"[50.994889317566944, 5.023562466396885]"
Bredastraat,"[50.97027683973547, 5.03741107174735]"
Bredestraat,"[50.97692004504728, 5.030271766985229]"
Bremstraat,"[50.97494177944713, 5.050614339332196]"
Broekstraat,"[50.9960087164008, 5.019730665294302]"
Bronweg,"[50.99472098390684, 5.018749477358373]"
Brouwerijstraat,"[50.985688233623556, 5.050327683178772]"
Bruidstraat,"[50.98655405907114, 5.056909229980785]"
Burchtstraat,"[51.00258176029743, 5.079084562311253]"
Cabaretstraat,"[50.984299082035, 5.051298172029508]"
Calenberg,"[50.99546952985848, 5.022331901194355]"
Cauwberg,"[51.00106260679515, 5.044822418761844]"
Citadel,"[50.982973259228906, 5.0467612532316615]"
Citadellaan,"[50.980311650000004, 5.04264915]"
Cleynaertsstraat,"[50.98512897166107, 5.050880491551068]"
Commissaris Neyskenslaan,"[50.9794826219372, 5.050958604714996]"
Cornélisgang,"[""FOUT, geen straat gevonden""]"
Crauwelsbos,"[50.995675809824185, 5.0247057892705085]"
Crispijnstraat,"[50.98911939879276, 5.057086894509767]"
De Bleek,"[50.9846794, 5.04798105]"
Delphine Alenuslaan,"[50.98006035, 5.04385735]"
Demerstraat,"[50.98747065694363, 5.048547085548116]"
