Straat,Coordinaten
't Hofveld,"[""50.87106303138458"", ""4.273914669333179""]"
A. Waucquezlaan,"[50.847702321393854, 4.281572915047704]"
Aardbeienstraat,"[50.84313850994323, 4.267839614446434]"
Abdijmolen,"[50.87212079831143, 4.246234317921692]"
Acaciadreef,"[50.8508578, 4.2341952]"
Achter d'Abdij,"[50.87206922974047, 4.241092262054573]"
Akkerstraat,"[50.83160288725369, 4.2137504252333295]"
Albert I-straat,"[50.8363913, 4.19533655]"
Alenaborre,"[50.8419344211821, 4.2759882887371905]"
Alfons Gossetlaan,"[50.87248246996372, 4.274314357799039]"
Anemonengaarde,"[50.84847275, 4.237475900000001]"
Appelmansstraat,"[50.83230545, 4.1887578]"
Armveldweg,"[50.8239158, 4.2335937999999995]"
Assestraat,"[50.88299235191697, 4.218913252863645]"
Astridlaan,"[50.85044512742733, 4.26570135670915]"
August De Smedtstraat,"[50.86601992853317, 4.278961628906468]"
Baron R. de Vironlaan,"[""FOUT, geen straat gevonden""]"
Beeldhouwkunstlaan,"[50.84209875, 4.2796579]"
Beersbrugstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Begijnenborrestraat,"[50.845645703592886, 4.233687153516343]"
Bekkerzeelstraat,"[50.88070889621374, 4.239169291732631]"
Bekkerzeelweg,"[50.8796531, 4.24693155]"
Berchemstraat,"[50.846021185369445, 4.267849721391276]"
Berghaagstraat,"[50.85808272516572, 4.27133571410793]"
Bergring,"[50.85434700141674, 4.282217463499062]"
Berkendreef,"[50.85428405980057, 4.234923543155829]"
Bessenlaan,"[50.842118242636694, 4.256548317111713]"
Bettendrieslaan,"[""FOUT, geen straat gevonden""]"
Beukenbos,"[50.833542030574044, 4.222371200945315]"
Beukendreef,"[50.8519381, 4.2339343]"
Bezenberg,"[50.844627996613944, 4.236221797217499]"
Biesbeekstraat,"[50.83400447157699, 4.21141478614937]"
Bigardisweg,"[50.86912367103925, 4.26285531289257]"
Bijgaardenplein,"[50.8711852, 4.2657133163328425]"
Blekerijstraat,"[50.848119271010844, 4.22482468912724]"
Bloemendal,"[50.85241424777104, 4.268242782678513]"
Bloemenlaan,"[50.871419450000005, 4.254079150000001]"
Bloesem,"[50.87418597756493, 4.256448216253459]"
Bodegemstraat,"[50.86127190661077, 4.2145093260085025]"
Boerkozenstraat,"[50.8716580918318, 4.252999909444024]"
Boomgaard,"[50.86409948641224, 4.255004303024005]"
