Straat,Coordinaten
1 Meilaan,"[51.02266145335281, 5.701549737898689]"
A. Rodenbachstraat,"[51.04116286643472, 5.715334087714115]"
Allemansweg,"[51.051867743254114, 5.732892393042562]"
Arnold-Sauwenlaan,"[51.01887346044357, 5.732486746624363]"
Bakkershoefstraat,"[51.038638664040334, 5.7099980560798125]"
Baron de Rosenweg,"[51.03694668033106, 5.73169098961787]"
Bautshoefstraat,"[51.02355849570005, 5.704662595621097]"
Bekaertlaan,"[51.0098627665136, 5.714355952151892]"
Bellikstraat,"[51.017347400000006, 5.7232775]"
Belzerstraat,"[51.02165308231313, 5.744989773923555]"
Bergerkampstraat,"[51.06538175, 5.7580843999999995]"
Berkenlaan,"[51.01480227843716, 5.649108455764206]"
Bessenstraat,"[51.049535173906676, 5.704322013822966]"
Beukenstraat,"[51.00899449398682, 5.660251857411468]"
Biesestraat,"[51.05606481247674, 5.71783672954605]"
Bloemendaal,"[51.03384376693544, 5.728695743450244]"
Boekweitstraat,"[51.03510747560565, 5.7128048497143915]"
Bonekamp,"[51.00745007674025, 5.720053424588308]"
Borreshoefstraat,"[51.033924943438414, 5.728066315363081]"
Boslaan,"[51.01837417739822, 5.704469333193438]"
Botermarkt,"[51.0210198541029, 5.744813438134919]"
Boyen,"[51.03413, 5.7540893]"
Boyerweg,"[51.02703676418651, 5.75044747019461]"
Brammert,"[51.01963600085693, 5.7413523037335095]"
Brammertstraatje,"[51.01291015224809, 5.740089353183412]"
Breemstraat,"[51.07153960880665, 5.757771221021592]"
Bresilstraat,"[51.01046367220758, 5.719739444241966]"
Broekhofstraat,"[51.02376812120799, 5.721142285216756]"
Brugstraat,"[51.0533671, 5.6872605]"
Brugwachterskade,"[51.02037715, 5.7194026000000004]"
Burg. Henrylaan,"[51.055467716899905, 5.733180276465555]"
Burg. Prevotlaan,"[51.023504098011735, 5.748166633705249]"
Concertplein,"[51.01700325, 5.729722949999999]"
Daalderdijk,"[51.01506203661226, 5.747915393118167]"
Daalweg,"[51.070762777700494, 5.779754650751424]"
Damiaan,"[51.06126977351683, 5.795840880509569]"
De Wachterstraat,"[51.039839278422455, 5.720197416840987]"
De Wieke Tuin,"[51.00368754839338, 5.72358399452928]"
Dijkweg,"[51.035875577936054, 5.70381566050727]"
Donkelstraat,"[51.07049521960712, 5.74243903354098]"
Dopheidestraat,"[51.01074225923005, 5.649672225954965]"
Dorpsstraat,"[51.02005775, 5.71952175]"
Dr. Lenstralaan,"[51.02127850656677, 5.70474714410673]"
