Straat,Coordinaten
Aaigembergstraat,"[50.87842793439032, 3.9341914571759036]"
Aaigemdorp,"[50.88955117633237, 3.9367442675198103]"
Aaigemdries,"[50.891221090625635, 3.9473938999404194]"
Achterstraat,"[50.91529001801436, 3.9600053432992963]"
Akkerstraat,"[50.9138638640342, 3.915783721085796]"
Albertstraat,"[50.906936680910256, 3.9283488329846175]"
Allemansbos,"[50.943990853264715, 3.9888296055310097]"
Appelsakker,"[50.90991335, 3.9740983500000002]"
Ashage,"[50.89535705230896, 3.926290515544821]"
Azaleastraat,"[50.94086325, 3.9586130500000003]"
Baardegemstraat,"[50.905449371785245, 3.9357112494314404]"
Bambruggedorp,"[50.92027353716969, 3.9296237166119568]"
Bavokouter,"[50.92420875521713, 3.96038558764271]"
Beekkantstraat,"[50.9189333084142, 3.9586957477795215]"
Beekstraat,"[50.9170955, 3.9591989]"
Bergstraat,"[50.923119432920224, 3.9688141741434704]"
Berkenweg,"[50.90924978252939, 3.91953563495929]"
Biekenshof,"[""FOUT, geen straat gevonden""]"
Biezenstraat,"[50.90866093774591, 3.9181592498025366]"
Biezeputstraat,"[50.912873724352636, 3.9627105561059164]"
Binnenstraat,"[50.945314322363316, 3.947446163687053]"
Binnenweg,"[50.9249218, 3.9631494]"
Blauwbos,"[50.90878291805083, 3.9637305055163687]"
Bloemenstraat,"[50.94681008161821, 3.9487579718421624]"
Blokmanstraat,"[50.919147556686816, 3.9580112145172603]"
Bocht,"[50.91966395, 3.97029495]"
Boskouterstraat,"[50.94597218423853, 3.972110223449784]"
Boskouterstraatje,"[50.94549026572933, 3.974367766720551]"
Bossestraat,"[50.94745744391819, 3.9820307709362233]"
Bosstraat,"[50.9224841994617, 3.9681121816809277]"
Botermelkstraat,"[50.93874125, 3.98230685]"
Bovenweg,"[50.94135167482744, 3.9570790807155363]"
Broekkouter,"[50.92077051935974, 3.933495826572393]"
Broekstraat,"[50.91309379499545, 3.960494498681571]"
Broekveldstraat,"[50.91214561942701, 3.9686222709392522]"
Burstdorp,"[50.91393439274693, 3.9202592445916893]"
Cauwenbergstraat,"[50.92002083673914, 3.9671090131493405]"
D'Hoeve,"[50.88511976541473, 3.938743365129027]"
Daalbroek,"[50.91883680166843, 3.9811000135844163]"
Daalstraat,"[50.92028030537814, 3.974221594688875]"
Delestraat,"[50.879721841291975, 3.934113194238351]"
Diepestraat,"[50.914965719678484, 3.963316724722662]"
Dikkelindestraat,"[50.898323283510514, 3.9353591031058173]"
Dokkestraat,"[50.936769890710174, 3.9524139800560043]"
Dokter Germaan De Vosstraat,"[50.94540836978093, 3.9738838468394637]"
Doorsteekstraat,"[50.912769350000005, 3.95966175]"
Dorenhof,"[50.90673119208908, 3.924047356243832]"
Dorent,"[50.91317848647342, 3.920148163849779]"
Dorpsstraat,"[50.93983735280022, 3.9886280891964736]"
Dreef,"[50.92096342974285, 3.9703765504461237]"
Driepikkel,"[50.88133759307855, 3.938221521785955]"
Dries,"[50.91304735243378, 3.9332525394420017]"
Duinaartweg,"[50.9327312824733, 3.9797261180569685]"
Duivelshoek,"[50.909235092980275, 3.9660179998235194]"
Edestraat,"[50.91270196560842, 3.979488623446718]"
Ediksveldestraat,"[50.92259290021226, 3.9821325615339673]"
Eegdeken,"[50.94110534219243, 3.995652923262126]"
Eekhout,"[50.879434822341715, 3.93043012271905]"
Eenhoornweg,"[50.94507860924641, 3.967420473126489]"
Eetsvelde,"[50.90663442548156, 3.9426107155670964]"
Egemstraat,"[50.93051638547198, 3.9392860780267696]"
Eksterberg,"[50.941412738098286, 3.955354582044945]"
Engelsmolen,"[50.88891675, 3.9501758639259172]"
Eremietstraat,"[50.904011225465986, 3.9230025720867703]"
Erondegemdorp,"[50.94052119666023, 3.955640813812592]"
Erondegemkouterweg,"[50.939831049999995, 3.9686096500000003]"
Erpedorp,"[50.933645283289955, 3.9757018331224137]"
Evenbroekveld,"[50.927503276698914, 3.9674115741863862]"
Everdal,"[50.92514778058865, 3.938516976015601]"
Fierensveld,"[50.91303242251319, 3.9131171872589143]"
Frankrot,"[50.88824434800544, 3.9418021858036765]"
Ganzendries,"[50.9460768, 3.9496588]"
Gentsesteenweg,"[50.94486171462335, 3.972255391985421]"
Gentsestraat,"[50.9137043, 3.91973215]"
Glazentorenweg,"[50.91928624793757, 3.966530895576759]"
Gootstraat,"[50.906419529869225, 3.9709078693137854]"
Gotegemstraat,"[50.90249247281713, 3.963375074487514]"
Gotegemveld,"[50.903666846753374, 3.967481787540365]"
Griet,"[50.88836069840392, 3.9232869710088054]"
Grobbestraat,"[50.90513709854255, 3.926083838104437]"
Groendal,"[50.922844258837365, 3.9776642349610265]"
Groeneweg,"[50.91856924996895, 3.979778603609966]"
Groenstraat,"[50.953091022293755, 3.9839274854085303]"
Grote Gentweg,"[50.94033677760971, 3.975018147329893]"
Grote Zadelweg,"[50.93483941887417, 3.980124350598983]"
Hagenstraat,"[50.918764254798155, 3.9686970591601143]"
Halfbunder,"[50.9481322627807, 3.9615077329459307]"
Halleweg,"[50.89172167662071, 3.9448789873481096]"
Hammersweg,"[50.938678697338574, 3.9713775621151366]"
Haverstraat,"[50.90552426729564, 3.926542649810028]"
Hazelbeek,"[50.905196573285664, 3.9530900546984378]"
Heerbaan,"[50.915012338692584, 3.9157633794845217]"
Hemelvelddreef,"[50.94631516116593, 3.950772143615041]"
Hersinkstraat,"[50.94967540399239, 4.004406216366247]"
Het Leen,"[50.94563355370624, 3.9987937367223254]"
Hoefijzerstraat,"[50.90556098367981, 3.924761315893991]"
Hoeksken,"[50.95157247129623, 3.982038525815659]"
Hoekstraat,"[50.94567431385209, 3.939554084601058]"
Hofkensweg,"[50.92324341218206, 3.9592024106253234]"
Hofveldweg,"[50.885294621052246, 3.9330150047381673]"
Hollandstraat,"[50.92102456390795, 3.9531021284562673]"
Hollestraat,"[50.89032486054794, 3.943462384418885]"
Honegemmeersweg,"[50.95056324318047, 4.00426601996162]"
Honegemstraat,"[50.947258399999996, 3.99944045]"
Hoogkouterweg,"[50.9270268, 3.9777248000000003]"
Hoogstraat,"[50.9397531646803, 3.956444966473989]"
Hoolstraat,"[50.91164064527694, 3.9422313310207304]"
Impestraat,"[50.94866711328118, 3.9478255730590326]"
Industrieweg,"[50.93086360847691, 3.959641613252825]"
Jagerspad,"[50.90595162547993, 3.926015777061282]"
Jeruzalemstraat,"[50.9143262054801, 3.976398424893642]"
Joseph Cardijnstraat,"[50.93470412971365, 3.9542312377011997]"
Jozef De Somerlaan,"[50.93993621644804, 3.971634033830572]"
Kammelandstraat,"[50.9403405, 3.9728860499999996]"
Kantstraat,"[50.9465534, 3.99855785]"
Kapelhofstraat,"[50.93854254793326, 3.9536409693291583]"
Kapelleveldstraat,"[50.915911212119134, 3.969996669130831]"
Kapittelstraat,"[50.90831024111727, 3.976019206179773]"
Katstraat,"[50.92193455, 3.92872025]"
Kattelinnestraat,"[50.943855732295084, 3.99441596332171]"
Katteweg,"[50.93494385515287, 3.9792439312140138]"
Keerstraat,"[50.93049254270488, 3.9558349551225294]"
Keizersveld,"[50.9297642, 3.9688642]"
Kerkhofstraat,"[50.91606061200981, 3.9720141782375133]"
Kerkstraat,"[50.915290854521395, 3.9189778300583877]"
Kerkveldstraat,"[50.92087810219992, 3.9716310444993237]"
Kleine Gentweg,"[""FOUT, geen straat gevonden""]"
Kleine Kruiskouter,"[50.91032834356641, 3.970896661049872]"
Kleine Ommegangweg,"[50.93238772604312, 3.9774063400347686]"
Kleine Steenstraat,"[50.921832263265465, 3.9698777282213613]"
Kleine Steenweg,"[50.94674355, 3.98384555]"
Kloosterstraat,"[50.92480058965336, 3.977600462032904]"
Koebrugstraat,"[50.9366215, 3.97619235]"
Koekhamerstraatje,"[50.93118205, 3.97738185]"
Kokelaar,"[50.94491445, 3.94147965]"
Koningsdries,"[50.93943038250733, 3.940521362831895]"
Korte Nieuwstraat,"[50.942457050449015, 3.9579537979917663]"
Kortemunt,"[50.89888728139334, 3.9415999117296163]"
Kortestraat,"[50.9170302, 3.96154855]"
Korteveldstraat,"[50.910465911728195, 3.923591140237065]"
Kosterweg,"[50.88705205676459, 3.9376190018812993]"
Kouterbosstraat,"[50.94408571454643, 3.9715716834444073]"
Koutergatstraat,"[50.919478023151406, 3.954299611593595]"
Kouterstraat,"[50.939676229179796, 3.959137166896125]"
Kraaineststraat,"[50.93342016709434, 3.970684976488138]"
Krevelhoek,"[50.9513008474246, 3.9755797051611155]"
Krielhoek,"[50.909791999560625, 3.9188807436079944]"
Kromgrachtstraat,"[50.95083396460266, 3.9728881723927]"
Kruiskensstraat,"[50.93804962598476, 3.9660699927406213]"
Kruiskouterstraat,"[50.91764988469403, 3.9653852711860225]"
Kruisstraat,"[50.91971689598147, 3.9683749197139777]"
Kuilstraat,"[50.94072011861736, 3.9540061987994024]"
Kwakkel,"[50.89717490013997, 3.92729928444867]"
Kwalestraat,"[50.915005868316456, 3.932929759260866]"
Lammersweg,"[50.8830298, 3.92444615]"
Landries,"[50.89420355, 3.9579335999999996]"
Landsheerstraat,"[50.92005257862506, 3.925131533019502]"
Lange Nieuwstraat,"[50.9429455016729, 3.9590810188685754]"
Lange Ommegangstraat,"[50.92988485, 3.98072135]"
Langemunt,"[50.90289473319751, 3.937302041225145]"
Langestraat,"[50.91738242000858, 3.9600875446872394]"
Langeveldstraat,"[50.91034260095974, 3.925511068554668]"
Laputstraat,"[50.929668250000006, 3.95394805]"
Ledeweg,"[50.94713958793828, 3.9636600880168125]"
Leedsesteenweg,"[50.94385580862418, 3.9910217564954675]"
Leirekensweg,"[50.94763624348405, 3.9598346788102785]"
Leliestraat,"[50.9406826, 3.9589605]"
Leverstraat,"[50.89609687998043, 3.9357016246107617]"
Lindekouter,"[50.91738567674018, 3.9433318701315443]"
Lindestraat,"[50.946123754060025, 3.9448399259502835]"
Loofstraat,"[50.91105961768536, 3.9758170153862142]"
Loskadestraat,"[50.929759806873555, 3.9633385100257943]"
Lusstraat,"[50.904788873567554, 3.9234343566235323]"
Magerstraat,"[50.92256669796631, 3.9620170379764876]"
Martelaarsweg,"[50.947270899988666, 3.9613913073608478]"
Meiboomweg,"[50.94788587283317, 4.000639303516741]"
Meiweg,"[50.93553278963675, 3.932071174982433]"
Melkerijstraat,"[50.921146921026654, 3.9648637928447594]"
Meredorp,"[50.92295845, 3.97185375]"
Merelputstraat,"[50.916475410581576, 3.9735053920030357]"
Merestraat,"[50.92891215237749, 3.989552293830005]"
Molenstraat,"[50.945789384075105, 3.9920073703690804]"
Molenveld,"[50.91214775784785, 3.9248421750316336]"
Molenweg,"[50.928613909011595, 3.9427514117339704]"
Neerveldstraat,"[""50.94597202467554"", ""4.002747001824788""]"
Nerenbroekstraat,"[50.94369435388325, 3.973594911410229]"
Nesteveldstraat,"[50.925449623768536, 3.9647125703423685]"
Nieuwenbos,"[50.90591250866696, 3.928449076015339]"
Nieuwstraat,"[50.92262636318385, 3.969277794111715]"
Nijverheidsstraat,"[50.91734121963436, 3.9621481803780463]"
Ninovestraat,"[50.903177330766454, 3.9371195457571595]"
Ommegangstraat,"[50.91854337266948, 3.9680663903558173]"
Oostdorpstraat,"[50.90782839909235, 3.96737551925687]"
Oosterveldstraat,"[50.906167663645576, 3.9742287307819164]"
Opaaigem,"[50.89419291028032, 3.934051231622865]"
Ottergemdorp,"[50.93632234246963, 3.9508876744952506]"
Ottergemstraat,"[50.9272364096965, 3.9551403782613925]"
Oude Broekstraat,"[50.91446144182493, 3.961604723389833]"
Oude Heerbaan,"[50.94051869618296, 3.9902514336349872]"
Oudebaan,"[50.91714032474998, 3.933397754296087]"
Oudenaardsesteenweg,"[50.92171385, 3.9458386]"
