Straat,Coordinaten
Achterstehoevestraat,"[51.424494499999994, 4.4158043]"
Achterstraat,"[51.430036179591035, 4.456964330199261]"
Akkerstraat,"[51.428504, 4.46326515]"
Albert Yssackersstraat,"[51.460890449999994, 4.46026215]"
Alfons Tirelirenstraat,"[51.4603955425127, 4.4612397689289365]"
Alfons Van Ginderenstraat,"[51.45781864432528, 4.456258902422477]"
Amberboomlaan,"[51.454795999999995, 4.44835145]"
Antwerpsesteenweg,"[51.42795422012266, 4.485044999856445]"
Baertshoek,"[51.42629336579431, 4.459220319697727]"
Beekstraat,"[51.424550463200866, 4.46709992521456]"
Begonialaan,"[51.4323799, 4.4488769]"
Beliestraat,"[51.46251000816885, 4.468401492019056]"
Bergenvenstraat,"[51.44509889400886, 4.448337471603027]"
Bergsebaan,"[51.453439057457736, 4.403055989803965]"
Berkenlaan,"[51.463440842667616, 4.528047091674513]"
Beukendreef,"[51.4573841, 4.44034055]"
Beyleboske,"[51.43766372860825, 4.467351336352315]"
Beylestraat,"[51.428590138459484, 4.468836022775887]"
Blakveld,"[51.435975669402104, 4.495489798624701]"
Bloemenlaan,"[51.43530046406695, 4.441688544557577]"
Bontstraat,"[51.44575899113638, 4.454521475692484]"
Boomkleverpad,"[51.458454579357436, 4.527776460652982]"
Bosbessenlaan,"[51.43164034929076, 4.4294186821298185]"
Bosdreef,"[51.46316830000001, 4.5252841]"
Boterpotlaan,"[51.433651299999994, 4.43083665]"
Braambeslaan,"[""FOUT, geen straat gevonden""]"
Bredestraat,"[51.4507788, 4.4916371999999996]"
Bremakker,"[51.451558318144116, 4.470735118961349]"
Bremlaan,"[51.4627175, 4.5220841499999995]"
Buntweg,"[51.42716, 4.438542399999999]"
Burgem. Dierckxsensstraat,"[""FOUT, geen straat gevonden""]"
Burgemeester Kenisstraat,"[51.46538549783785, 4.465727482388594]"
Cardijnstraat,"[51.42674350153192, 4.464950654866022]"
Collegelaan,"[51.43460997011752, 4.433162414230245]"
