Straat,Coordinaten
't Klien schoolkeswegel,"[""FOUT, geen straat gevonden""]"
Aalbroekstraat,"[50.937643073120924, 3.6603965487107195]"
Acaciastraat,"[50.93706097979421, 3.63379379517784]"
Akkerlos,"[50.95370649773852, 3.6810915047203316]"
Albert Moreelsstraat,"[50.935076605012284, 3.6392750823718174]"
André de Rouckstraat,"[50.9213446928455, 3.6875452433550198]"
Arboretumstraat,"[50.93515369182481, 3.6319992011195863]"
Baaigemstraat,"[50.93259435990895, 3.7320040691358787]"
Bareelstraat,"[""50.9086543"", ""3.6995958""]"
Beekstraat,"[50.916386256344126, 3.6855054563056426]"
Berggatstraat,"[50.941398073802354, 3.659851787132365]"
Bernstraat,"[50.93712595996881, 3.6387105957990236]"
Biesstraat,"[50.91273144433852, 3.6503127538724467]"
Biestjeslos,"[50.94365055900623, 3.6784761062153013]"
Blokstraat,"[50.91350899942646, 3.75102630922456]"
Boechoutestraat,"[50.906408567656506, 3.7352920594624486]"
Boentweg,"[50.93948192410501, 3.666445120561199]"
Boomstraat,"[50.91890326295486, 3.7142962945298725]"
Borgwalstraat,"[50.95250076327994, 3.6857123673214165]"
Borrestraat,"[50.93768427237765, 3.659218927594099]"
Bossemstraat,"[50.92015623407341, 3.688307380896479]"
Bosstraat,"[50.93074602203831, 3.7388560799484285]"
Brandweerstraat,"[50.93096525035322, 3.6551564671384638]"
Broeckstraat,"[50.93070653146235, 3.658367955817865]"
Bronnenweelde,"[50.919858872842624, 3.6846473565058613]"
Bukkestraat,"[50.945336889942, 3.6910026784959653]"
Burchtweg,"[50.92949736720904, 3.656175046198086]"
Burgemeester P. Ceuterickstraat,"[50.91076987115598, 3.649729480578023]"
Carlos Dierickxplein,"[50.91607469702381, 3.650706467876971]"
De Wieleman,"[50.91859645, 3.68261675]"
Diepestraat,"[50.91791486263924, 3.6840548194679807]"
Donkstraat,"[50.925215200000004, 3.6488386]"
Dorpstraat,"[50.9427906220933, 3.6638304649918467]"
Driesstraat,"[50.91361536119653, 3.6504406004048215]"
Duffelstraat,"[50.9457440844604, 3.6691104188520725]"
Eeckhoutstraat,"[50.930904092999086, 3.6700870128008978]"
Egmontpark,"[""FOUT, geen straat gevonden""]"
Eikstraat,"[50.91462764946589, 3.6887855568215158]"
Ellevestraat,"[50.922925891237405, 3.7235512161179547]"
Evenakkerstraat,"[50.940800219626844, 3.704665685350688]"
Fonteinstraat,"[50.943753817487455, 3.664211642058829]"
Galgenstraat,"[50.924059837859524, 3.628402380131546]"
Ganzendam,"[50.950030252022884, 3.687596354369743]"
Gemeentehuisstraat,"[50.918375746807996, 3.6905769555890355]"
Gentsebaan,"[50.92889666712739, 3.6270895688170097]"
Gentweg,"[50.93074750477196, 3.6851921284722597]"
Graaf L. de Lichterveldestraat,"[""FOUT, geen straat gevonden""]"
Grenadierslaan,"[50.94672845, 3.6690544]"
Grintweg,"[50.931781497021134, 3.722402777806703]"
Groenstraat,"[50.94592897122061, 3.6958981406735414]"
Grotenbroekstraat,"[50.937520938010245, 3.657324709201452]"
Haagstraat,"[50.91167793556904, 3.662055280015361]"
Halsberg,"[50.92206117928731, 3.670153507800172]"
Heedstraat,"[50.93121055716505, 3.6354155950201363]"
Heilige Donatusstraat,"[50.914531970870094, 3.712323333155373]"
Heulestraat,"[50.91410375894482, 3.6450815413756845]"
Hofkouterstraat,"[50.922219, 3.68401245]"
Hofvijverstraat,"[50.94456934131378, 3.658304610293786]"
Hoogstraat,"[50.91870961954203, 3.683331748184837]"
Hukkelgemstraat,"[50.92551582388359, 3.6856536938105484]"
Hullestraat,"[50.93722153743948, 3.693542041779628]"
Hulstraat,"[50.91498792562387, 3.6558943781992412]"
Hundelgemsesteenweg,"[50.93298008975288, 3.7329842150979724]"
IJzerenweg,"[50.91972189373623, 3.6437572315397766]"
Jolleveld,"[50.91677853200629, 3.653240048658584]"
Kapellestraat,"[50.92324640616495, 3.6411619572410716]"
Kasteeldreef,"[50.92835839999999, 3.65899175]"
Kasteelstraat,"[50.92164542466518, 3.6972141310761844]"
Kerkhofstraat,"[50.91217239950891, 3.6553286993912257]"
Kerkstraat,"[50.916720755461476, 3.6928566330215156]"
Kerkwegel,"[50.91242190269378, 3.6506194736016293]"
Kerselarestraat,"[50.92948600848001, 3.671437673342663]"
Ketsestraat,"[50.91817976890298, 3.726972531285172]"
Klaverveld,"[50.9285646, 3.6688434]"
Kleinhulle,"[50.935926447289056, 3.7025433306701574]"
Kleinveld,"[50.92081299968641, 3.6475728809341343]"
Klikhoutestraat,"[50.91355835900622, 3.6944840585395387]"
Klonkeveldstraat,"[50.9298534180706, 3.644473831343397]"
Kloosterstraat,"[50.928530364235655, 3.661540859144722]"
Koedreef,"[50.94859006796384, 3.6906467948349397]"
Korenwind,"[50.9233927, 3.6397261]"
Kouterstraat,"[50.9056344617247, 3.7298253999979663]"
Kriephoekstraat,"[50.9484748078935, 3.6735250540509705]"
Krijgslaan,"[50.924291908296304, 3.6692945031427975]"
Kruishoutemsesteenweg,"[""FOUT, geen straat gevonden""]"
Landdijk,"[50.91861605269733, 3.655790311939126]"
Leebeeklaan,"[50.932032695882334, 3.630522577538668]"
Leegstraat,"[50.92165569421955, 3.647704032957572]"
Leenstraat,"[50.94732224980774, 3.6798562896495897]"
Legen Heirweg,"[50.9325109541387, 3.643536838990789]"
Liefkenswegel,"[50.93101953342982, 3.661887037490335]"
Lielareweg,"[50.9325090266888, 3.673772681568486]"
Lindeboomstraat,"[50.941658287640344, 3.673268623196551]"
Lindestraat,"[50.92390535742136, 3.721172416932963]"
Louis De Meesterstraat,"[50.94937586585527, 3.662516612963943]"
Luxemburgstraat,"[50.93043016742426, 3.6336827502361726]"
Markt,"[""50.9283099"", ""3.6599518""]"
Meersbloemstraat,"[50.93820510080537, 3.65855976059019]"
Meersstraat,"[50.92938279009735, 3.7278187781109273]"
Middelwijk,"[50.92842610595958, 3.667991036955257]"
Molenstraat,"[50.9275825, 3.66569115]"
Munkbosstraat,"[50.911985111291834, 3.7503848582563406]"
Muntekouter,"[50.93485405366824, 3.726114330615221]"
Muziekweg,"[50.944741008519365, 3.6652648014456473]"
Nieuwlandstraat,"[50.93496656803606, 3.6364028668746773]"
Nieuwstraat,"[50.929240572746664, 3.6590539688623243]"
Nijverheidsstraat,"[50.918659793805006, 3.6884811572084097]"
Ommegangstraat,"[50.915539845714115, 3.653034498555368]"
Onderstraat,"[50.9304041630832, 3.658662154970554]"
Openveldstraat,"[50.9253863198038, 3.6853233615823435]"
Opperweg,"[50.94456827452091, 3.6678021821448388]"
Oude Pastorijstraat,"[50.94957843566387, 3.6822974777977207]"
Ouden Herreweg,"[50.92348075372643, 3.647581060807891]"
Oudstrijdersstraat,"[50.92509279017452, 3.6987862663732898]"
Palmstraat,"[50.94677143364613, 3.669265055937131]"
Parklaan,"[50.9226462, 3.6795871375435767]"
Peperstraat,"[50.95207161231218, 3.6850085037870253]"
Perrikweg,"[50.94710678285455, 3.6983335013013026]"
Pontweg,"[50.930401575418124, 3.6434828855137638]"
Populierenhof,"[50.931377775896465, 3.630677550380386]"
Populierenstraat,"[50.92169810025783, 3.7192756947192884]"
Populierkensweg,"[50.94146738120839, 3.68937348909965]"
Prinsenmolenstraat,"[50.93566854154305, 3.718224253623231]"
Prosper Heysestraat,"[50.93074228772477, 3.6397779310173903]"
