Straat,Coordinaten
Aalvoort,"[51.1141096924748, 4.965522270097273]"
Aardseweg,"[51.210063439527566, 4.9945084565500535]"
Acaciastraat,"[51.12117940746989, 5.01256751973855]"
Achterpad,"[51.164763811014666, 4.991021850632914]"
Albert Westerlinckstraat,"[51.16617764195025, 5.000241298475704]"
Amandus-De-Vosstraat,"[51.1642306007045, 4.999703477196288]"
Amerikalaan,"[51.19188148531614, 5.034942038990021]"
Amocolaan,"[51.11724788327746, 4.982558147890445]"
Anemoonstraat,"[51.158396838023044, 4.98416713768041]"
Antwerpsedries,"[51.1676434680553, 4.999614394389694]"
Antwerpseweg,"[51.14151572163161, 4.945029508622258]"
Armand Preud'hommestraat,"[51.16696113718366, 5.0019030652739565]"
Asterstraat,"[51.155957531301624, 4.981200673027047]"
Azaleastraat,"[51.1664542920703, 4.98249954718924]"
Baantveld,"[51.161329100975415, 4.980655496372129]"
Badgeefstersstraat,"[51.17583435347288, 4.992879500651328]"
Badhuis,"[51.12272163969478, 4.979061248787819]"
Badstraat,"[51.18143373109763, 4.987674691882671]"
Bakkersstraat,"[51.15430078420308, 4.9773527140756855]"
Baron Coppensdreef,"[51.22074425546277, 5.0152650734993625]"
Beekhoek,"[51.2100365624905, 4.984953664004676]"
Bel,"[51.16296366159799, 5.070761096161382]"
Belgiëlaan,"[51.19277128138301, 5.030749796837668]"
Bell-Telephonelaan,"[51.12545866972434, 4.957380867840333]"
Belsehei,"[51.16307292122863, 5.044989354969885]"
Bergstraat,"[51.09504470873091, 4.9487176667006025]"
Berkenstraat,"[51.1238043573769, 5.001662799491186]"
Berkven,"[51.1871770648892, 5.015709166579129]"
Berkvensedijk,"[51.19183095619938, 5.011355528943608]"
Berthoutsdreef,"[51.10730272523111, 4.980387849668077]"
Binnenblok,"[51.184008871759886, 5.014816814447091]"
Binnenbroek,"[51.09931201675338, 4.953345246018288]"
Binneneinde,"[51.16409720462243, 4.94877083054616]"
Binnenhoeven,"[51.18149838170045, 4.964509132647042]"
Bisschopshoeven,"[51.20556065, 4.9787113000000005]"
Blokstraat,"[51.2152642, 5.01493395]"
Boekweitstraat,"[51.170356460267676, 5.002141608473428]"
Boerenkrijgstraat,"[51.162786037678224, 4.984446623351948]"
Borgeleien,"[51.192709317895755, 4.91408205546822]"
Borgerhoutse voetweg,"[51.168247268581325, 5.000093782890588]"
Borgstad,"[51.15526356042357, 4.998822317658441]"
Bosakker,"[51.17247628834344, 4.99049827694813]"
Bosheide,"[51.23836626526759, 5.017838954165625]"
Bottenhoef,"[51.18411055752764, 4.947855359068257]"
Brabantsblok,"[51.1741998, 4.9820396]"
Brandemolenstraat,"[51.13131288380701, 4.980864935937128]"
Breerijt,"[51.096483745583086, 4.939984724568813]"
Breevensedijk,"[51.212014424174406, 4.984963495195112]"
Bremstraat,"[51.121382249999996, 5.0107741]"
Brigandshof,"[51.16228722257925, 4.985861407920873]"
Brijloopsedijk,"[51.21695876792388, 5.037885772004708]"
Broekstraat,"[51.211434939926775, 4.992255865510634]"
Bruggenhoofdweg,"[51.132644268397286, 4.9612596111414655]"
Brugweg,"[51.20003706730641, 4.9831752447408135]"
Brukel,"[51.15127336928808, 4.992351935525012]"
Brulendries,"[51.17548824429918, 4.992564231952286]"
Brunosdijk,"[51.191687985723256, 4.9693537163703025]"
Bruul,"[51.1666815, 5.066556650000001]"
Buitenblokken,"[51.17695382463616, 5.014611065425258]"
Buitensteinde,"[51.16750224892679, 4.934141808422337]"
