Straat,Coordinaten
Araanstraat,"[50.9118617, 5.1276809]"
Baanstok,"[""FOUT, geen straat gevonden""]"
Bergeneindestraat,"[50.9056894, 5.1756504]"
Bergenstraat,"[50.8932941, 5.0786875]"
Biesemstraat,"[50.9072837, 5.1583403]"
Borgloonstraat,"[50.9033176, 5.1218263]"
Boterweg,"[50.9038431, 5.0921953]"
Broekstraat,"[50.8691867, 5.1187729]"
Bronckaertsstraat,"[50.8713963, 5.13719]"
Brugskensweg,"[50.8805806, 5.1103383]"
Bruinenveldweg,"[50.9013274, 5.1613554]"
Dennenbosstraat,"[50.8886645, 5.0760487]"
Diepenpoelstraat,"[50.9120615, 5.1591745]"
Donkstraat,"[50.8692235, 5.1212439]"
Dorpsstraat,"[50.8849847, 5.1217208]"
Drinkteilstraat,"[50.8941789, 5.1121456]"
Dullaerstraat,"[50.8895336, 5.182575]"
Galgestraat,"[50.8689225, 5.1397185]"
Ganzenweg,"[50.896582, 5.1076118]"
Getestraat,"[50.8834956, 5.1156019]"
Glabbeekseweydestraat,"[""FOUT, geen straat gevonden""]"
Glabbeekstraat,"[50.8738734, 5.0881143]"
Grootveldweg,"[50.8902413, 5.1145858]"
Grote Baan,"[50.8866668, 5.163474]"
Grote Steenweg,"[50.8902494, 5.1803466]"
Halstraat,"[50.8820842, 5.0736836]"
Heffelstraat,"[50.8843284, 5.1613439]"
Heirbaan,"[50.8934043, 5.0997367]"
Hettelbergweg,"[50.8936729, 5.1012854]"
Hogenstraat,"[50.8820842, 5.0736836]"
Hulsbeekstraat,"[50.9079877, 5.1017824]"
Ijzerwegstraat,"[50.8926654, 5.1115181]"
Kapelstraat,"[50.8885678, 5.1666904]"
Kasteellaan,"[50.9011013, 5.1217222]"
Kattesteeg,"[50.9032341, 5.116555]"
Kerselant,"[""FOUT, geen straat gevonden""]"
Ketelstraat,"[50.8942949, 5.1595635]"
Kinkenstraat,"[50.8758371, 5.1294173]"
Kolkstraat,"[50.8972323, 5.1033318]"
Kraaistraat,"[50.8903889, 5.1739945]"
Kwadestraat,"[50.8981255, 5.1142508]"
Langveld,"[50.9017292, 5.1245215]"
Leeuwbeekstraat,"[50.9045535, 5.1547417]"
Lutzestraat,"[50.8725145, 5.1428894]"
Molenstraat,"[50.8900846, 5.1180744]"
Nieuwdorpstraat,"[50.9056431, 5.0981141]"
Oppenstraat,"[50.8878855, 5.1568465]"
Orsmaelstraat,"[50.8723468, 5.1335091]"
Oudestraat,"[50.8911116, 5.1195422]"
Overbeekstraat,"[50.8855269, 5.111971]"
Pastorijweg,"[50.8939936, 5.1637532]"
Persoonstraat,"[50.895204, 5.1720712]"
Rhodestraat,"[50.8873028, 5.0939061]"
Romerstraat,"[50.8777924, 5.1490708]"
Schelfstraat,"[50.8845465, 5.171129]"
Singel,"[50.8893445, 5.1152803]"
Smolderstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Spoorwegstraat,"[""50.893000659374565"", ""5.111678879165576""]"
Spreeuwsteeg,"[""FOUT, geen straat gevonden""]"
Steenstraat,"[50.8941672, 5.1128449]"
Stwg op Kortenaken,"[50.895604, 5.1067108]"
Tappestraat,"[50.8847406, 5.151364]"
Timmerstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Titerveldweg,"[50.9070565, 5.1615026]"
Tuinwijkstraat,"[50.8976296, 5.1100067]"
Verdaelstraat,"[50.876193, 5.1295026]"
Vijverstraat,"[50.8733056, 5.1286472]"
Warande,"[50.8922264, 5.159235]"
Weg op Halen,"[50.9147393, 5.1253033]"
Wolfhaagweg,"[50.8996189, 5.0843951]"
Zavelkuil,"[50.8886733, 5.1738796]"
