Straat,Coordinaten
Abdijstraat,"[50.7016461, 5.1400524]"
Albert Moyaertsstraat,"[50.7360943, 5.2063728]"
Altenastraat,"[""FOUT, straat in foute gemeente gevonden""]"
Ambachtsweg,"[50.7362909, 5.1284259]"
Beekstraat,"[50.7210893, 5.13098]"
Beemdwijk,"[50.753354, 5.2158514]"
Bergstraat,"[50.7421785, 5.1812242]"
Bloemenstraat,"[50.7352719, 5.2095701]"
Boekhoutstraat,"[50.7465117, 5.2332048]"
Borgwormsesteenweg,"[50.7537472, 5.2106951]"
Borlostraat,"[50.7535539, 5.2098215]"
Bosschellestraat,"[50.716172, 5.1317911]"
Bosstraat,"[50.7629902, 5.1802716]"
Bredenakkerstraat,"[50.7598282, 5.21956]"
Broeksteeg,"[50.7289493, 5.2089009]"
Broekstraat,"[50.7261079, 5.2097496]"
Bronstraat,"[50.7503751, 5.2125566]"
Brouwerijstraat,"[50.7040379, 5.1714366]"
Brugstraat,"[50.7209383, 5.1295077]"
Buvingenstraat,"[50.7408262, 5.146058]"
Cicindriastraat,"[50.7346464, 5.2063246]"
Daalstraat,"[50.7617091, 5.2137565]"
Den Kulter,"[50.7459463, 5.1334007]"
Diepe Steeg,"[50.7591072, 5.2100328]"
Dorpskouter,"[50.7526674, 5.139032]"
Dorpsplein,"[50.7424005, 5.1817737]"
Dr. Kempeneersstraat,"[50.719852, 5.1435153]"
Drie Tombenstraat,"[50.7041441, 5.1681608]"
Driehoekstraat,"[50.7497702, 5.1722518]"
Driesstraat,"[50.7041901, 5.1477921]"
Duivenstraat,"[50.7125728, 5.1399159]"
Egmonthof,"[50.7393433, 5.1389753]"
Emile Beauduinstraat,"[50.7195239, 5.1886329]"
Extendael,"[50.7573571, 5.2048805]"
Fonteinstraat,"[50.7380242, 5.1439872]"
Gemeentestraat,"[50.7343987, 5.1399719]"
Germaine Goyenslaan,"[50.7225451, 5.1379055]"
Gezusters Dehasquestraat,"[50.7235799, 5.1310505]"
Goede Kinderenstraat,"[50.7217397, 5.1344308]"
Gravelostraat,"[50.7484389, 5.1818536]"
Groenhof,"[50.7375657, 5.2116405]"
Groenplaats,"[50.7188033, 5.1466347]"
Grotebosweg,"[50.7300398, 5.1460835]"
Haagstraat,"[50.7283658, 5.1522873]"
Hallenstraat,"[50.7207493, 5.1322102]"
Hannuitstraat,"[50.7138334, 5.1258342]"
Hasselbroekstraat,"[50.7234586, 5.2110156]"
Heilig Hartstraat,"[50.7468056, 5.2314738]"
Heiseltstraat,"[50.7330883, 5.2295334]"
Hekberg,"[50.7386893, 5.1383319]"
Hekstraat,"[50.6987613, 5.1558929]"
Hellebronstraat,"[50.7194335, 5.1274207]"
Hemelrijkstraat,"[50.7337109, 5.1764542]"
Henri Stassensstraat,"[50.7273436, 5.2158464]"
Hoefsmidstraat,"[""FOUT, geen straat gevonden""]"
Homsemstraat,"[50.7428989, 5.18001]"
Hoogstraat,"[50.7046367, 5.1714984]"
Houtstraat,"[50.7335085, 5.2094142]"
Hundelingenstraat,"[50.7408439, 5.2062468]"
Ijzerenwegstraat,"[50.7204464, 5.1651138]"
Jean-Louis Vrankenstraat,"[50.7232065, 5.2262749]"
Jeuksestraat,"[50.7420594, 5.1777935]"
Joseph Retrostraat,"[50.7414278, 5.1830229]"
Joseph van Hamontstraat,"[50.7005557, 5.1610473]"
Julien Guilliamsstraat,"[50.7264885, 5.2053382]"
Kamerijckstraat,"[50.7581432, 5.1386665]"
Kaneelstraat,"[50.7594552, 5.1803304]"
Kasteelstraat,"[50.7228582, 5.1946393]"
Katseistraat,"[50.7488803, 5.1294485]"
Keibergstraat,"[50.7507892, 5.1429569]"
Kerkomstraat,"[50.7641635, 5.1975896]"
Kerkstraat,"[50.7584614, 5.2148953]"
Klein-Jeukstraat,"[50.7233006, 5.1801341]"
Kortijsstraat,"[50.7154482, 5.1464472]"
Kriekelstraat,"[50.7519858, 5.1399128]"
Kruisstraat,"[50.7597267, 5.1770702]"
Kulterstraat,"[50.7460088, 5.1313689]"
Kusterstraat,"[50.7443615, 5.1812381]"
Kustrijkstraat,"[50.7234299, 5.1884006]"
Lagestraat,"[50.6985649, 5.1694316]"
Landenstraat,"[50.7479868, 5.1121464]"
Langstraat,"[50.7221795, 5.1363043]"
Leeuwerstraat,"[50.7575881, 5.1274019]"
Lindestraat,"[50.7474083, 5.2275381]"
Logebeekstraat,"[50.7581147, 5.2141342]"
Mariastraat,"[50.7547435, 5.2164016]"
Marktplaats,"[50.7212308, 5.1268387]"
Mechelsestraat,"[50.7458237, 5.2310155]"
Meerplaats,"[50.7184237, 5.1278689]"
Mgr. Keesenstraat,"[50.7520348, 5.1358278]"
Mielenstraat,"[50.7532917, 5.1788199]"
Molenhof,"[50.7195752, 5.1399466]"
Molenstraat,"[50.7424641, 5.1827922]"
Montenakenstraat,"[50.7260515, 5.1265115]"
Mottestraat,"[50.7403814, 5.1411348]"
Muizenstraat,"[50.7553809, 5.1791912]"
Naamsestraat,"[50.7404055, 5.1352278]"
Nachtegaalstraat,"[50.752226, 5.213156]"
Nielstraat,"[50.7459144, 5.1359157]"
Nieuwstraat,"[50.751464, 5.1933852]"
Ommegangstraat,"[50.7417257, 5.1398816]"
Opheimstraat,"[50.7571825, 5.1110736]"
Oppemveldstraat,"[50.7447122, 5.1847164]"
Oude Katsei,"[50.7446342, 5.133501]"
Oude Tramstraat,"[50.7159239, 5.1380092]"
Pastorijstraat,"[50.7073947, 5.1506061]"
Pater Gillardstraat,"[50.7496389, 5.135088]"
Paul Snyersstraat,"[50.7114476, 5.1493475]"
Peremplaats,"[50.7221837, 5.1309741]"
Populierenstraat,"[50.7550367, 5.1668987]"
Processiestraat,"[50.755409, 5.216209]"
Rampariestraat,"[50.7308864, 5.1946149]"
Regentwijk,"[50.7483121, 5.1304099]"
Reitstraat,"[50.7070513, 5.1714651]"
René Houbeystraat,"[50.752226, 5.213156]"
Riddersstraat,"[50.7234273, 5.1372054]"
Robijnsstraat,"[50.7545174, 5.2142935]"
Roland Snyersstraat,"[50.737489, 5.2092719]"
Rood-Kruisstraat,"[50.7533917, 5.1325717]"
Rozenstraat,"[50.7538877, 5.2179843]"
