Straat,Coordinaten
Abdijstraat,"[51.1533175, 2.9439919]"
Abelenlaan,"[51.1595417, 2.960259]"
Acacialaan,"[51.158896, 2.9625937]"
Acht Zalighedenstraat,"[51.1518677, 2.940499]"
Alfons Vanheestraat,"[51.1200584, 2.9555079]"
Amazonepad,"[51.1547496, 2.9464938]"
Anjerlaan,"[51.1613104, 2.9705491]"
Antonius Verleyestraat,"[51.1518618, 2.9530484]"
Assepoesterstraat,"[51.1771443, 2.9369174]"
August Peelstraat,"[51.1586029, 2.9772891]"
Baan op Zande,"[51.1315042, 2.9124049]"
Bazelaar,"[51.1413173, 2.8767082]"
Beekstraat,"[51.1110835, 2.9436221]"
Bergschuurstraat,"[51.1713151, 2.9337265]"
Berkenlaan,"[51.1589572, 2.9582187]"
Beukenlaan,"[51.1576046, 2.9644225]"
Bloemensteeg,"[51.1584722, 2.958561]"
Boomgaardstraat,"[""51.15468810384656"", ""2.9770420688158272""]"
Bosdreef,"[51.1554697, 2.9737343]"
Boterbloemstraat,"[51.1584308, 2.980533]"
Brandenburgweg,"[51.1342554, 2.9717352]"
Brittenlaan,"[51.1563201, 2.9604667]"
Brouwerijstraat,"[51.1552312, 2.9760162]"
Brugse baan,"[51.1578966, 2.9867154]"
Bruidstraat,"[51.1574684, 2.9701944]"
Burg.A.Ronselaan,"[51.1623801, 2.979501]"
Callaertswalledreef,"[51.1535905, 2.966833]"
Camiel Adriaensstraat,"[51.1511436, 2.9552376]"
Canadalaan,"[51.1578305, 2.9602648]"
Catryssevoetweg,"[51.1573639, 2.9923703]"
Christinestraat,"[51.1390247, 2.9831086]"
Claventweg,"[51.1477505, 2.9438404]"
Congolaan,"[51.1544257, 2.9607146]"
Delphin Depuydtstraat,"[51.1529251, 2.9539248]"
Dennenlaan,"[51.1597466, 2.9616733]"
Doornhoek,"[51.164819, 2.9813665]"
Dorpsstraat,"[51.1780117, 2.9381206]"
Dr. E. Van Oyelaan,"[51.1632338, 2.9770125]"
Dullaertweg,"[51.1553881, 2.981789]"
Dwarsstraat,"[51.1725796, 2.9378288]"
Dwergenstraat,"[51.1767384, 2.9338847]"
Eigen-Haardstraat,"[51.1569943, 2.954024]"
Eikenlaan,"[51.1573423, 2.9623008]"
Ellestraat,"[51.1572697, 2.9730517]"
Elzenlaan,"[51.1586314, 2.9635245]"
Emiel Vanhevelstraat,"[51.157835, 2.9766497]"
Engelshofstraat,"[51.1526778, 2.9743633]"
Esdoornlaan,"[51.1575821, 2.9632539]"
Essenlaan,"[51.1594894, 2.9588215]"
Galgestraat,"[51.1626025, 2.9802897]"
Gebroeders Tavernierstraat,"[51.1553738, 2.9504574]"
Geleedstraat,"[51.152047, 2.9507211]"
Gerstestraat,"[51.1739991, 2.9392075]"
Godelieveplein,"[51.1551408, 2.9700281]"
Gravenbos,"[51.1607484, 2.9696493]"
Groene Dreef,"[51.1644539, 2.977117]"
Groenestraat,"[""51.147325800000004"", ""2.98057775""]"
Haelinckstraat,"[51.1299942, 2.9159555]"
Haenebrouckstraat,"[51.1576127, 2.9659727]"
Hallestraat,"[""51.1561323"", ""2.96566985""]"
Halve Maanstraat,"[51.1555895, 2.964588]"
Halve Stepsteenweg,"[51.1428284, 2.9511063]"
Haverstraat,"[51.1732728, 2.9390893]"
Heyvaertlaan,"[51.1556075, 2.9603078]"
Hoepelstraat,"[51.1522902, 2.9651849]"
Hogenbilk,"[51.1595875, 2.9745853]"
Hoogstraat,"[""51.15618197057517"", ""2.9647428001999327""]"
Hoogwegel,"[51.1555615, 2.955179]"
Hovenierslaan,"[51.1516759, 2.9636995]"
Hyacintlaan,"[51.1613427, 2.9728463]"
Ijzerwegstraat,"[51.1781383, 2.9432262]"
Irislaan,"[51.162359, 2.9735496]"
Kaaistraat,"[51.1588207, 2.968567]"
Kabouterstraat,"[51.1776513, 2.9359446]"
Kalsijdebrug,"[51.1740305, 2.911964]"
Kanaalstraat,"[51.1772996, 2.9311703]"
Kastanjelaan,"[51.1585145, 2.9624301]"
Kasteelstraat,"[51.1578844, 2.9678159]"
Keiweg,"[""51.18061443799943"", ""2.957341809788216""]"
Kerkstraat,"[51.1575696, 2.9667226]"
Kievitweg,"[51.131122, 2.9396319]"
Klaverstraat,"[""51.15963967281369"", ""2.9811806211730043""]"
Kleine Groenedreef,"[51.164406, 2.9768175]"
Kleine Konijnenboslaan,"[51.1481787, 2.9491161]"
Kleine Tempelierstraat,"[51.154679, 2.9590881]"
Kleine Warande,"[51.1597668, 2.9764231]"
Klemskerkestraat,"[""51.192714489045265"", ""2.9189118240007983""]"
Klinkaartstraat,"[51.1558506, 2.948244]"
Kloosterbrugstraat,"[51.1441346, 2.9261304]"
Komvaartplein,"[""FOUT, geen straat gevonden""]"
Konijnenboslaan,"[51.1494666, 2.9489919]"
Koolaerdstraat,"[51.1557224, 2.9599222]"
Kortestraat,"[51.1864171, 2.9058288]"
Kraaienlaan,"[51.1554607, 2.977041]"
