Straat,Coordinaten
Attenrodestraat,"[50.874529828943466, 4.941442044911139]"
Baakstraat,"[50.8491361599882, 4.989656032490356]"
Baekveldstraat,"[50.846819342828674, 4.949756603538172]"
Bergeveldstraat,"[50.884775453762735, 4.957431791829736]"
Bergstraat,"[50.878394079580936, 4.973359350167133]"
Berkendreef,"[50.83939672862927, 4.947402434679945]"
Binnenveld,"[50.876317284703504, 4.926247306363124]"
Boeslinter,"[50.8492045, 4.9593002]"
Broekjesweg,"[50.859183894185286, 4.957828782718971]"
Broekstraat,"[50.84590718841748, 4.935202704776814]"
Bronstraat,"[50.87331086402829, 4.9724000756478945]"
Bunsbeekdorp,"[50.841934300000005, 4.9425743]"
Butschovestraat,"[50.866068090868126, 4.9153001845579185]"
Craenenbroekstraat,"[50.86830779065926, 4.953526761871115]"
Doelaagstraat,"[50.87856315307131, 4.921778049329893]"
Doemstraat,"[50.86026638225124, 4.920123361476843]"
Dorpsstraat,"[50.89234662172485, 4.974996431170547]"
Dries,"[50.87273300390361, 4.952620316785535]"
Driespad,"[50.859155755340225, 4.927879965953229]"
Grensstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Groenstraat,"[50.89443578097196, 4.972941826144413]"
Grotestraat,"[50.869653221180755, 4.9568153446373575]"
Halensestraat,"[50.85935420545623, 4.93515937697931]"
Heideblokstraat,"[50.84857058108953, 4.953306888361055]"
Heinkensbergstraat,"[50.86546274668306, 4.9298421389924005]"
Heirbaan,"[50.86500181592334, 4.920457309889678]"
Hoefstraat,"[50.882204796377856, 4.91811689021939]"
Hoeledensesteenweg,"[50.8619872, 4.9778077]"
Hoeledenstraat,"[50.872410149108, 4.976381904562624]"
Houtemsesteenweg,"[50.83892514979464, 4.94820903957941]"
Hulsbos,"[50.866969526484446, 4.922271167914316]"
Hulststraat,"[50.888510961182426, 4.974881849449309]"
Kaalveldstraat,"[50.863759360843645, 4.9571282984939495]"
Kapellenstraat,"[50.88086022144498, 4.942345159267971]"
Kapelstraat,"[50.848250504109586, 4.95964135138051]"
Kasseiweg,"[50.87139415270012, 4.957571630198735]"
Keibergstraat,"[50.87948247583462, 4.935913011131938]"
Kerkstraat,"[50.88583665832836, 4.958852758192285]"
Koningstraat,"[""FOUT, geen straat gevonden""]"
Kromstraat,"[50.889697238655515, 4.939881484827513]"
Kwadeplasstraat,"[50.87862593383657, 4.9129513232086675]"
Langstraat,"[50.87315057236627, 4.919555542076389]"
Langveldstraat,"[50.841354114403416, 4.952818813942479]"
Lentedreef,"[50.887299148441194, 4.9588467589585745]"
Lindestraat,"[50.8370751378581, 4.943227285957387]"
Meenselbeekstraat,"[50.85894406374603, 4.956272253218925]"
Meenselsevoetweg,"[50.87832919398753, 4.924304862087121]"
Meidoornstraat,"[50.87352033434055, 4.948145610619044]"
Molenweg,"[50.851206295452975, 4.955934117215624]"
Moutsbornstraat,"[50.83852558541862, 4.937959278937903]"
Nieuwstraat,"[50.87338195528995, 4.949671386350136]"
Oosterbaerdstraat,"[50.875578446708474, 4.909321220144032]"
Oplintersesteenweg,"[50.84767705, 4.9596644]"
Oude Diestsestraat,"[50.85362112027184, 4.957998806711575]"
Oudebronstraat,"[""FOUT, geen straat gevonden""]"
Ovenweg,"[""FOUT, geen straat gevonden""]"
Pamelenstraat,"[50.86313879756864, 4.94590497705765]"
Papenveld,"[50.84000575, 4.94707115]"
Peerdsbosweg,"[50.872255562848295, 4.913535816638202]"
Pepinusfortstraat,"[50.85652574064804, 4.957235778566209]"
Rode,"[50.8808089, 4.9416969]"
Ruekenbosstraat,"[50.85080430985824, 4.975379351916208]"
Ruiterij,"[50.86572035074261, 4.9706041007220305]"
Schaffelbergstraat,"[50.853115922169216, 4.970927181092123]"
Schoolstraat,"[50.84593741348604, 4.954575024176041]"
Sint Katarinastraat,"[50.89413648386883, 4.9628299873429125]"
Sint-Quirinusstraat,"[50.84201884623428, 4.945916808688539]"
Smisveld,"[50.87102165, 4.9534854500000005]"
Solveldweg,"[50.85849151579465, 4.925621772398419]"
Stationsstraat,"[50.8729083, 4.95573085]"
Steenbergestraat,"[50.8644291338348, 4.93897667184975]"
Streekstraat,"[50.85889191031597, 4.932453919515802]"
Tafelbosstraat,"[50.88214284490083, 4.94757593449474]"
Tiensesteenweg,"[50.86664367380529, 4.9579147073338055]"
Torenstraat,"[50.85591601203302, 4.92183418191096]"
Tramstraat,"[50.890001104303906, 4.937441551961913]"
Uilekotstraat,"[50.85458029289226, 4.919921428065871]"
Uitweg,"[50.879855400000004, 4.9234614]"
Varenbergstraat,"[50.88270470589099, 4.967985509556732]"
Varentstraat,"[50.8666232, 4.937170999999999]"
Veldstraat,"[50.844993099999996, 4.9597754]"
Vissenakensesteenweg,"[50.84179735163561, 4.9400831000164285]"
Vlaasstraat,"[50.843402754700044, 4.953434652714701]"
Walmersumstraat,"[50.842812204096084, 4.944012623093702]"
Wolvendreef,"[50.876974360966734, 4.949815077459094]"
Zandstraat,"[50.88020728324497, 4.95495195278993]"
Zuurbemde,"[50.8741701, 4.9729601]"
