Straat,Coordinaten
's Gravenmolenstraat,"[50.93310546680064, 4.358732639756116]"
't Voorstraat,"[50.91691154454373, 4.362277166287819]"
2de Jagers te Voetweg,"[50.96620771044039, 4.377189150656946]"
5de Linieweg,"[50.971706801295326, 4.38580659014513]"
7 Grimbergen,"[50.932458, 4.3717863]"
Abdijstraat,"[50.9353811, 4.3676551]"
Abelenlaan,"[50.964216512987335, 4.3751348487953825]"
Acacialaan,"[50.9060847634313, 4.349105410169074]"
Achtbundersstraat,"[50.91615329737587, 4.363973356297863]"
Achterstraat,"[50.965735557912396, 4.376652146803908]"
Adriaan Walraevensstraat,"[50.92750891051191, 4.408490942234208]"
Adriaan Willaertlaan,"[50.944566699999996, 4.36583275]"
Albrecht Rodenbachlaan,"[50.931607341875846, 4.367647790740793]"
Alfred Hardylaan,"[""FOUT, geen straat gevonden""]"
Antwerpselaan,"[50.91762126294899, 4.342074486717529]"
Armand Preud'hommelaan,"[50.943617950000004, 4.3674037000000006]"
Azalealaan,"[50.9787644035634, 4.39376078848003]"
Baalhoek,"[50.905423136249254, 4.352132815831161]"
Bakkerstraat,"[50.93299417065159, 4.368530933399362]"
Baron Domislaan,"[50.955394734859645, 4.375486422705764]"
Baron Rene Lundenlaan,"[50.9736561, 4.3848753]"
Beatrijslaan,"[50.9416294, 4.37443555]"
Beekveldweg,"[""50.96892362429713"", ""4.373209897934573""]"
Beekweg,"[50.935097727863294, 4.364316034217638]"
Beemdenstraat,"[50.95394299594592, 4.3587932862217285]"
Begonialaan,"[50.91158898538011, 4.364580592256934]"
Beiaardlaan,"[50.93391182698891, 4.366893959187575]"
Beigemsesteenweg,"[50.93947722008124, 4.361062868740277]"
Benedestraat,"[50.96973612039613, 4.392809140253089]"
Bergdal,"[50.90243016607486, 4.353659591954398]"
Bergenshof,"[50.91459105082247, 4.35090867063383]"
Bergmansbeekweg,"[50.91384468495917, 4.362932279085032]"
Bergstraat,"[50.97477692445282, 4.400002917314512]"
Berkenlaan,"[50.91918485, 4.381953299999999]"
Beukendreef,"[50.93861071758371, 4.373475814985591]"
Beverlindestraat,"[50.90829324152741, 4.342990806070441]"
Beverstraat,"[50.912755145139485, 4.345476357850428]"
Bieststraat,"[50.93656573089103, 4.356131988049612]"
Binnenhof,"[50.903971766910956, 4.342589950200832]"
Bintjeshof,"[50.975336986053165, 4.390654207269713]"
Bloemendallaan,"[50.90449575735125, 4.357152648371682]"
Bloemenhof,"[50.913321193623396, 4.3497206976663465]"
Bloemkerslaan,"[50.961640464310676, 4.37566828865267]"
Boechoutlaan,"[50.909547202748264, 4.342505980512867]"
Bokspoel,"[50.93245591700427, 4.378453154659491]"
Borgtstraat,"[50.93038150648511, 4.382910866673725]"
Borrekensveld,"[50.9115019, 4.3459515]"
Borrestraat,"[50.9368257, 4.3730899]"
Bosstraat,"[50.965772574595825, 4.3520364790785155]"
Boterbloemstraat,"[50.93063338420418, 4.388929186036807]"
Brassershof,"[50.97236507682104, 4.387191813927203]"
Broekstraat,"[50.947929190055234, 4.414555838662797]"
