Straat,Coordinaten
'tSas,"[""FOUT, geen straat gevonden""]"
'tVen,"[51.188718550000004, 4.70073995]"
'tVlot,"[51.18462507843912, 4.709573427634569]"
'tWithof,"[51.192110709192946, 4.7021434961294215]"
Acacialaan,"[51.17077020622704, 4.713592592068282]"
Achterheide,"[51.166624245745886, 4.758039162230756]"
Albertkanaalstraat,"[51.17941156082673, 4.7435737748497075]"
Antoon Van Dyckstraat,"[51.19028025, 4.74402475]"
Astridplein,"[51.19254149201664, 4.737854530448922]"
Bannerlaan,"[51.164968200000004, 4.7756307]"
Beemdenstraat,"[51.18746570034077, 4.737896226730701]"
Berdenweg,"[51.1699441, 4.74361845]"
Berg en Dal,"[51.1638802864183, 4.728248460101817]"
Bergen,"[40.61924946938775, -73.90062440816327]"
Bergstraat,"[51.19327323685122, 4.737272252206558]"
Berkendreef,"[51.16612147829511, 4.740499908739401]"
Beukenlaan,"[51.19694322020507, 4.743533135798361]"
Bevrijdingsstraat,"[51.1799692, 4.744904900000001]"
Biezenhoek,"[51.19008275987097, 4.720293453397161]"
Binnenheide,"[51.16185479933315, 4.72118920866185]"
Binnenweg,"[51.16190230189744, 4.749334386832168]"
Bistenberg,"[51.18397834758868, 4.7420916393916395]"
Blauwbessenweg,"[51.20166424056961, 4.735628171627049]"
Bloktstraat,"[""FOUT, geen straat gevonden""]"
Bosduifstraat,"[51.173913077983045, 4.780177791746244]"
Boshoven,"[51.20633757223423, 4.733798051300852]"
Bosschaert de Bouwellaan,"[51.171268369185846, 4.739551648327506]"
Bosweg,"[51.20052945253818, 4.732311502013307]"
Boudewijnstraat,"[51.189220607081644, 4.738551045765949]"
Bouwelheide,"[51.1725879027012, 4.709028517075136]"
Bouwelse steenweg,"[51.17766375, 4.7441543500000005]"
Bouwelven,"[51.166044834714036, 4.780034895491989]"
Bovenpad,"[51.191776341352714, 4.731823102353356]"
Braambessenweg,"[51.20319637189633, 4.733598343708723]"
Brandenberg,"[51.16623180766253, 4.731084501342947]"
Brede Gang,"[51.19127803472064, 4.740053070621034]"
Bremlaan,"[51.171123550000004, 4.71404655]"
Capuynestraat,"[51.16418664698254, 4.765451557068495]"
Cardijnlaan,"[51.16952703898972, 4.739564406329296]"
Cogelsdreef,"[51.16781073105702, 4.734340317376361]"
Dammersberg,"[51.168499499999996, 4.732744500000001]"
De Dellekens,"[51.168796566467705, 4.731720403217]"
De Heide,"[51.167059553263826, 4.720318248728825]"
De Vriesstraat,"[51.192947607434185, 4.741594408257665]"
De Wip,"[51.17107455, 4.74296305]"
Del,"[51.18775198895819, 4.713648670955087]"
Dennenlaan,"[51.1762253, 4.7428963]"
Derde Sas,"[51.175335474796974, 4.712385856828271]"
Dijkstraat,"[51.1660478, 4.75589875]"
Dobbelhoefweg,"[51.18940173143864, 4.72715487169897]"
Dorp,"[51.1661395, 4.7441051000000005]"
Dries,"[51.161520580582206, 4.759619207693607]"
Droomland,"[51.16816231527856, 4.723494637969913]"
Echelpoel,"[51.16383184103094, 4.726769404330974]"
Eekhoornbrood,"[51.20333604813405, 4.72557423813751]"
Eekhoornweg,"[51.16762095, 4.7143847999999995]"
Eekhoutstraat,"[51.19311439035931, 4.717176430364642]"
Eikenlei,"[51.188943241701494, 4.710173806107054]"
Eikenschrans,"[51.20581564509165, 4.742137361921382]"
Eisterlee,"[51.192722843941496, 4.711751849767361]"
Eksterdreef,"[51.175766800000005, 4.7788813999999995]"
Elzenbos,"[51.19368750494517, 4.7264232148189205]"
Essenweg,"[51.193186901674515, 4.7326900913109355]"
Fabiolalaan,"[51.191753399999996, 4.714754849999999]"
Floris Primsstraat,"[51.195846632195575, 4.733757516907634]"
Frans Masereelstraat,"[""FOUT, geen straat gevonden""]"
G. Gezellelaan,"[""51.1685108"", ""4.7390465""]"
Gaspar Schetzstraat,"[51.19142533124095, 4.743326050087053]"
Gilliam,"[51.186552891771306, 4.730887826826044]"
Grensstraat,"[51.16768508164442, 4.708356233110832]"
Groenstraat,"[51.19010922067659, 4.742027153187495]"
Hanegoor,"[51.15777756289863, 4.745377783005282]"
Hanekam,"[51.20443575, 4.721829100000001]"
Hansbriel,"[51.163715046681006, 4.751936189787965]"
Hazelaardreef,"[51.17231783691309, 4.720159980836305]"
Hazenpad,"[51.172427202208674, 4.790809497081056]"
Hazenstraat,"[51.17430935, 4.78901875]"
Heibloemlaan,"[51.168763872192635, 4.717739483630311]"
Heibos,"[51.18380182611648, 4.734421720624099]"
Heidelaan,"[51.169384431061424, 4.712747955563737]"
Heiduinen,"[51.188659200000004, 4.6996075]"
Heirbaan,"[51.202545982826656, 4.734681597484143]"
Hendrik Consciencestraat,"[51.19363328298452, 4.720433893430282]"
Herentalse steenweg,"[51.175982143841026, 4.778956414837691]"
Herenthoutse steenweg,"[51.16560071062329, 4.74616917414635]"
Herman Vanspringellaan,"[51.19831799098008, 4.718514715882325]"
Hermeslaan,"[51.173288549999995, 4.74036457131664]"
Hertestraat,"[51.20761525, 4.724402899999999]"
Het Hoog,"[51.165907059254025, 4.758371963697822]"
Het Park,"[""FOUT, geen straat gevonden""]"
Het Putteken,"[51.16643725180982, 4.733769971797805]"
Hoevepad,"[51.19450889929832, 4.721906763830029]"
Hoevestraat,"[51.19317669183035, 4.723540051646098]"
Hofeinde,"[51.19735498677161, 4.760826313045803]"
Hoogveldstraat,"[51.19418410534034, 4.740583377055496]"
Hooidonk,"[51.170279654067016, 4.709059565736175]"
Houtstraat,"[51.19703210850284, 4.732324821547473]"
Hoveniersstraat,"[51.191202560364296, 4.721030652143088]"
Hügerlaan,"[51.173347150000005, 4.7803787]"
Iepenweg,"[51.193378936992886, 4.731433239305233]"
