Straat,Coordinaten
7de Liniestraat,"[50.9402271, 4.6467615]"
A. de Spoelberchlaan,"[50.9594569, 4.6250673]"
Albert Marnefstraat,"[50.9590087, 4.6104745]"
Ambachtstraat,"[50.9445775, 4.642405]"
Aspergeveld,"[50.9744128, 4.6569656]"
Assent,"[50.9611136, 4.6136773]"
Beekstraat,"[50.9464783, 4.6262623]"
Beethovenweg,"[50.9827114, 4.6318343]"
Berkenhof,"[50.9438713, 4.649727]"
Berkenlaan,"[50.9430993, 4.648479]"
Bertrodestraat,"[50.9325059, 4.6508401]"
Bessemhoefweg,"[50.9846189, 4.6656334]"
Beverdijk,"[50.9788505, 4.6115938]"
Biesbeemden,"[50.973969, 4.6643266]"
Binnenbeekweg,"[50.989978, 4.6151462]"
Bisschoppenhof,"[50.9450877, 4.644475]"
Bloemersweg,"[""FOUT, straat in foute gemeente gevonden""]"
Boekweitstraat,"[50.9610366, 4.6359169]"
Bosveld,"[50.9595501, 4.6202688]"
Bosweg,"[50.980303, 4.6144282]"
Bremweg,"[50.9612072, 4.6116062]"
Breughelwijk,"[50.9718605, 4.6334162]"
Broekstraat,"[50.9708802, 4.639653]"
Brugstraat,"[50.96043, 4.6573839]"
Bukenstraat,"[50.9436077, 4.6426603]"
Caubergstraat,"[50.9527991, 4.6597508]"
Damweg,"[50.9827971, 4.602262]"
De Costerstraat,"[50.9569513, 4.6390512]"
Den Amer,"[50.9421204, 4.6413649]"
Dennenweg,"[50.9789157, 4.6222688]"
Deugenietstraat,"[50.9452897, 4.642186]"
Dijkstraat,"[50.9580373, 4.6389308]"
Donkstraat,"[50.9619383, 4.6186041]"
Dorpsstraat,"[50.9433486, 4.6428488]"
Dreef,"[50.9802785, 4.5934216]"
Eikeblok,"[50.9419852, 4.6475879]"
Eikeblokplein,"[50.9431982, 4.647219339994008]"
Eikestraat,"[50.9867488, 4.6086528]"
Eksterstraat,"[50.9717817, 4.6422579]"
Elisabeth Willemslaan,"[50.9581977, 4.6353036]"
Elleveldweg,"[50.9578538, 4.6133373]"
Erwteveld,"[50.9655273, 4.6689601]"
Gebr. Janssensstraat,"[50.958589, 4.6058972]"
Gebr. Persoonsstraat,"[50.945436, 4.6426943]"
Gerzevien,"[50.9800807, 4.6265544]"
Geveldestraat,"[50.956912, 4.6210234]"
Goltfuslaan,"[50.9742989, 4.6366426]"
Grensstraat,"[""50.92704091438399"", ""4.6522116309198305""]"
Groenstraat,"[50.9538534, 4.6685415]"
Grootveld,"[50.9604252, 4.6144697]"
Grote Appelstraat,"[50.9832668, 4.6299679]"
Grote Baan,"[50.960322, 4.6279456]"
H. Geestweg,"[""50.938143432884445"", ""4.660863108139401""]"
Haachtse straatje,"[50.960092, 4.6717658]"
Haardbos,"[50.9693406, 4.639545]"
Hambosstraat,"[50.946065, 4.671673]"
Hansbrugweg,"[50.9866345, 4.6396019]"
Heesterveld,"[50.9829568, 4.6185819]"
Heideveld,"[50.9769428, 4.6216443]"
Heike,"[50.9628199, 4.6272707]"
Heistraat,"[50.9556136, 4.6114826]"
Hoekweg,"[50.9824922, 4.6226244]"
Hollaken,"[50.9872238, 4.5942482]"
Hoogdonk,"[50.9900922, 4.6105585]"
Hoogveld,"[50.97364, 4.6432159]"
Hooiberg,"[50.9815962, 4.5963212]"
Houtheide,"[50.9805717, 4.6056835]"
Hulsterenveld,"[50.9821691, 4.611591]"
Ijzerwegstraat,"[50.9444507, 4.6636193]"
J. Gansemansstraat,"[50.9604913, 4.607385]"
J. Nuytsstraat,"[50.9588462, 4.6084841]"
J.B. Woutersstraat,"[50.9584534, 4.608983]"
Jennekensstraat,"[50.9717461, 4.6241587]"
Kapellemansdijk,"[50.9853889, 4.660109]"
Kapelleweg,"[50.9453128, 4.6675533]"
Kasteeldreef,"[50.951131, 4.6672851]"
Kattegatweg,"[50.9470664, 4.6746193]"
Keerbergenbroek,"[50.9875878, 4.6194693]"
Keerbergsesteenweg,"[50.9856161, 4.6435063]"
Kelfsstraat,"[50.9502849, 4.6799975]"
Kerkeblok,"[50.9593713, 4.6345679]"
Kerkhoflaan,"[50.9536802, 4.6818161]"
Kerkweg,"[50.9388908, 4.6450423]"
Kesterveldweg,"[50.9498469, 4.6747571]"
Ketelstraat,"[50.9256764, 4.6439226]"
Klapgat,"[50.9775245, 4.6362704]"
Klein Eikeblok,"[50.941076100000004, 4.6511852264354125]"
Klein Terbankstraat,"[50.9433674, 4.6620695]"
Kleine Appelstraat,"[50.9812941, 4.6266003]"
Kloosterstraat,"[50.9745875, 4.6401766]"
Koekelberg,"[""50.985849345414124"", ""4.623834725086064""]"
Korte Weg,"[50.9596396, 4.6222769]"
Kouterstraat,"[50.944587, 4.6526741]"
Kouterweg,"[50.938819, 4.6602092]"
Kraneveld,"[50.973235, 4.6705607]"
Krekelberg,"[50.9831866, 4.629804]"
Kruineikestraat,"[50.9472272, 4.6423278]"
Kruineikeweg,"[50.9480812, 4.6409672]"
Kwaadbunder,"[50.9617538, 4.6131195]"
Lange Kant,"[50.9753495, 4.6284135]"
Langerheide,"[50.9758578, 4.6228431]"
Leeuweriksstraat,"[50.9714386, 4.6439001]"
Leiweg,"[50.9337074, 4.6695348]"
Lijsterstraat,"[50.9707643, 4.6424273]"
Lindenstraat,"[50.9482002, 4.6832241]"
Lipsestraat,"[50.9430839, 4.6449023]"
Lipseweg,"[50.9426837, 4.6454489]"
Lombaardenlaan,"[50.9769668, 4.6415492]"
Loofweg,"[50.9739347, 4.654752501730736]"
Looshof,"[50.9722724, 4.6380694]"
M. Francisstraat,"[50.9599827, 4.6079181]"
Markt,"[50.9768722, 4.6381519]"
Martelarenlaan,"[50.9577699, 4.6760033]"
Melkerijweg,"[50.984623, 4.6201012]"
Mercatorlaan,"[50.9716681, 4.6320737]"
Merelstraat,"[50.9733922, 4.6403985]"
Miereberg,"[50.9820124, 4.6297507]"
Moermanshof,"[50.9787756, 4.6342003]"
Moesbroek,"[50.9538281, 4.656088]"
Molenveld,"[50.9757813, 4.6354713]"
Moorter,"[50.9749618, 4.6262404]"
Mortelstraat,"[50.9355331, 4.6440902]"
Mothoek,"[""50.9315899"", ""4.64322535""]"
Motteweg,"[50.9373629, 4.6397475]"
Neerstraat,"[50.9632931, 4.6184881]"
Neysetterstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Nieuwstraat,"[50.9601892, 4.6336575]"
Ol. de Spoelberchstraat,"[""50.96209240124167"", ""4.610542648393084""]"
Oud-strijderslaan,"[50.9755442, 4.6231113]"
Oude Tildonkseweg,"[50.95670473344735, 4.676597909289405]"
Paddenpoelstraat,"[50.96140571236217, 4.6080587815987935]"
Papendriesweg,"[50.935679657559724, 4.65850840792806]"
Pastoor Lahayestraat,"[50.96191834440339, 4.607395950857312]"
Pastoor Lambertzdreef,"[50.944512457530216, 4.64399664058719]"
Pastoriestraat,"[50.95634045, 4.67904175]"
Peerschat,"[50.95709170294987, 4.644937827891968]"
Peestraatje,"[50.9440163829029, 4.652387652289409]"
Peltheide,"[50.97710333170469, 4.630850677188172]"
Petrus Mertensweg,"[50.97717552532269, 4.638719525236587]"
Plantsoenbosstraat,"[50.940055328345665, 4.652401772769463]"
Pleinkensstraat,"[50.963226107230604, 4.622180910176266]"
Populierenlaan,"[50.94407586273504, 4.651615163174243]"
Postweg,"[50.9455977923126, 4.637340475200379]"
Poverstraat,"[50.975901066691215, 4.650443824222202]"
Provinciesteenweg,"[50.96656874999999, 4.6125971]"
Puttebosstraat,"[50.94065855295126, 4.679309058700866]"
Puttekomheide,"[50.98705711814882, 4.618384949187536]"
Remi Van de Sandelaan,"[50.97332070141847, 4.635379649173346]"
Rijmenamsesteenweg,"[50.9829254, 4.614453]"
Roostweg,"[50.98409456437179, 4.644014134315324]"
Saffraan,"[50.980690364894095, 4.623603159791955]"
Sas,"[""FOUT, straat in foute gemeente gevonden""]"
Scharent,"[50.97500021053587, 4.672433117454156]"
Schonenberg,"[50.98130721107968, 4.602554845857037]"
Schoonbroek,"[50.97343570046738, 4.617416409105985]"
Schorisgat,"[50.96875140258788, 4.633977968482046]"
Sint-Adriaanstraat,"[50.98099359730739, 4.621169780264433]"
Sint-Adriaanveld,"[50.98165097267255, 4.6190016328765555]"
Sint-Annaveld,"[50.978865487153975, 4.629947514825878]"
Sint-Hubertusdreef,"[50.9582661837304, 4.677742860388007]"
Sint-Remigiusweg,"[50.97831175129122, 4.637321201703716]"
Spetstraatje,"[50.96353088437907, 4.620344223676016]"
Spoorstraat,"[50.9375843180102, 4.674831958526125]"
Sportveld,"[50.9612599, 4.645874050000001]"
Spreeuwestraat,"[50.971848139349866, 4.6433590706670005]"
Stampendonk,"[50.97375106596689, 4.622676724184512]"
Standonkstraat,"[50.95919072402181, 4.673697321105635]"
Stationsstraat,"[50.97201525549781, 4.624030024295543]"
Steenakker,"[50.9717879336668, 4.6284369179542635]"
Struisellaan,"[50.94318917013683, 4.650809040445356]"
Ter Bist,"[50.98005990591988, 4.633032121264153]"
Terbankstraat,"[50.94145822064214, 4.6621190624113105]"
Terheydenlaan,"[50.96409318795751, 4.6109472559464]"
Terwilgenstraat,"[50.95836932730351, 4.6453454670978545]"
Tuinwijk,"[50.96065047113784, 4.606533050212534]"
Tweestappenweg,"[50.979617051810784, 4.619897242019573]"
Vaartdijk,"[50.94707464440211, 4.644914050215051]"
Veeweideweg,"[50.98393185455294, 4.623116499995092]"
Vekedries,"[50.9748599391901, 4.637645973876411]"
Vekestraat,"[50.97529382625893, 4.637993538919994]"
Verhaegenlaan,"[50.973787159853906, 4.634033295401719]"
Vijfeikenstraat,"[50.93755815075744, 4.651332336171798]"
Vijfhoekweg,"[50.98195667984213, 4.61325910175292]"
Vijverbos,"[50.95309027741711, 4.638552060267464]"
Vijverweg,"[50.98298319689608, 4.6150372010517815]"
Vingerstraat,"[""50.957907414644616"", ""4.60536006298012""]"
Vinkstraat,"[50.95656685, 4.66202335]"
Voetemstraat,"[50.93412831526911, 4.667940257025472]"
Voordestraat,"[50.954638962721006, 4.676896608801775]"
Vossenberg,"[50.98352300166798, 4.596983358760098]"
Wakkerzeelsebaan,"[50.94146925, 4.6824755499999995]"
Wakkerzeelsestraat,"[50.957101416085195, 4.652261701856552]"
Walemhoefweg,"[50.98787455120309, 4.635931156755973]"
Walenstraat,"[50.94832357693005, 4.682870539013756]"
Waterstraat,"[50.94436364230754, 4.677931879020103]"
Weggevoerdenstraat,"[50.95797760509621, 4.640337548730993]"
Weistraat,"[50.97273537343612, 4.660666651485057]"
Werchtersesteenweg,"[50.97258312132475, 4.659908926141004]"
Wespelaarsesteenweg,"[50.9751505857142, 4.638960025876244]"
Wijgmaalsesteenweg,"[50.94301510060222, 4.681880581750725]"
Wijngaardweg,"[50.98457805715773, 4.621944592082738]"
Wilde Heide,"[50.9816401, 4.65404985]"
Wilgen,"[50.94492577759361, 4.684321467055386]"
Woeringstraat,"[50.942395539910684, 4.643340757280928]"
XIde Linielaan,"[50.96160929960738, 4.631070789082248]"
Zagerijweg,"[50.97940353781001, 4.637328101605102]"
Zandweg,"[50.974159518112, 4.651710793655595]"
Zoellaan,"[50.97586400342939, 4.6255937517016585]"
Zuiddijk,"[50.9473977, 4.6409487]"
