Straat,Coordinaten
't Lo,"[51.2296153, 5.5374938]"
Abdijstraat,"[51.2526658, 5.5474242]"
Acacialaan,"[51.2741424, 5.4780804]"
Achel Statie,"[51.274678, 5.4739645]"
Achelpoort,"[51.2520114, 5.5413831]"
Achterhoek,"[51.2439507, 5.5284046]"
Altaarhoeve,"[51.2554667, 5.5558633]"
Ambachtstraat,"[51.23038, 5.5275819]"
Anna Steenselsstraat,"[51.2454469117166, 5.547981523666868]"
Asbroekpad,"[51.2694624, 5.540149]"
Augustinessenstraat,"[51.250274, 5.541175]"
Azalealaan,"[51.2563439, 5.4848163]"
Balenhoek,"[51.23461053898778, 5.5433290586995385]"
Bandel,"[51.2463604, 5.4768879]"
Bedrijfsstraat,"[51.2458318, 5.5142782]"
Beekweg,"[51.2483846, 5.4879022]"
Begoniastraat,"[51.260934601787504, 5.481333081824501]"
Bergeind,"[51.249989, 5.4816992]"
Berkenstraat,"[51.27236037838823, 5.472619155002405]"
Bernard Kempplein,"[51.2508998, 5.538849]"
Beukenlaan,"[51.2738872, 5.4720007]"
Beukenootje,"[51.2743356, 5.4715286]"
Beverbeek,"[51.2723128, 5.5235191]"
Beverbeekse Heide,"[51.2991508, 5.491073]"
Beverbekerdijk,"[51.2791437, 5.5093164]"
Bevrijdingsstraat,"[51.242148, 5.5342701]"
Bien,"[51.250617, 5.4719767]"
Bienderhaag,"[51.2456212, 5.470781]"
Bienderveld,"[51.2441638, 5.4709178]"
Binnenheide,"[""FOUT, geen straat gevonden""]"
Bleekstraat,"[51.2523913, 5.4815927]"
Boskerkhofweg,"[51.2621161, 5.5075903]"
Bosstraat,"[51.2480809, 5.5158118]"
Bremstraat,"[51.2771145, 5.4762498]"
Brouwersstraat,"[51.2516154, 5.5452136]"
Budelpoort,"[51.2526484, 5.5494419]"
Buitenheide,"[51.2709679, 5.4514306]"
Burg,"[""51.2526674"", ""5.5448952""]"
Catharinadal,"[51.2522196, 5.4844536]"
Cederstraat,"[51.269936, 5.4766579]"
Chrysantenpad,"[51.2551277, 5.4833928]"
Collegestraat,"[51.23455695, 5.5425897]"
De Bauwelkens,"[51.2764413, 5.4894562]"
De Beersen,"[""FOUT, geen straat gevonden""]"
De Congo,"[51.2362167, 5.5235376]"
De Eilandjes,"[51.2521371, 5.4935139]"
De Giskens,"[51.2306891, 5.5331857]"
De Hoeven,"[51.2284182, 5.5379032]"
De Hoort,"[""FOUT, geen straat gevonden""]"
De Kempkens,"[51.2486241, 5.5395174]"
De Kiekoet,"[51.253096, 5.5077942]"
De Kluis,"[51.2990737, 5.4890697]"
De Leonaerdtslaan,"[51.2516933, 5.4822012]"
De Schutshoeven,"[51.2543522, 5.5104218]"
De Stel,"[51.2746688, 5.472386]"
De Vork,"[51.2846133, 5.4668329]"
De Zonberg,"[51.2708937, 5.5089561]"
De oude Weier,"[51.2752139, 5.4965303]"
Deken Dolsstraat,"[51.2542142, 5.5459084]"
Den Holdert,"[51.2583271, 5.544162]"
Dennenstraat,"[51.2751379, 5.4774967]"
