Straat,Coordinaten
25ste-Linielaan,"[50.87735799033515, 3.30764793426224]"
Aardappelstraat,"[50.89175535123697, 3.300455207140129]"
Abdijstraat,"[50.852409735461485, 3.3042549095274287]"
Abtsulstraat,"[50.88607618709925, 3.2824372383930496]"
Acacialaan,"[50.83862280577564, 3.304662368083359]"
Afspanningsstraat,"[50.867363637963535, 3.3117775120465187]"
Albert Vandammestraat,"[""FOUT, geen straat gevonden""]"
Albrecht Rodenbachlaan,"[50.84837191391459, 3.3035948859219904]"
Amerikalaan,"[50.8577099040197, 3.326174413337639]"
Amerikastraat,"[50.85744107649891, 3.3249488790470876]"
Andries Pevernagestraat,"[50.85385528694199, 3.3076493392316095]"
Arendsstraat,"[50.85645801174654, 3.3189362167895244]"
Asselstraat,"[50.86987822793186, 3.296456637340132]"
Ballingenweg,"[50.85571435, 3.31149225]"
Banhoutstraat,"[50.82311562845156, 3.324525727660163]"
Barzestraat,"[50.8933586240593, 3.285212056949948]"
Bavikhoofsestraat,"[50.865729835209535, 3.3066750023152562]"
Bavikhovedorp,"[50.875316920414384, 3.3111100095278823]"
Beeklaan,"[50.85755272710716, 3.3211361627411837]"
Begonialaan,"[50.8877722, 3.29058165]"
Beiaardlaan,"[50.87761928439445, 3.294519232884109]"
Belokenstuk,"[50.88075160218813, 3.308962437023197]"
Beneluxlaan,"[50.82454632602327, 3.324113197036416]"
Berkenlaan,"[50.84612125818345, 3.3057533249873656]"
Beukenlaan,"[50.88612788981385, 3.2943200939560002]"
Beverhoek,"[50.869252288739446, 3.3242883033390824]"
Beversestraat,"[50.86096863460076, 3.3167959394801403]"
Bijenetersstraat,"[50.85390013704944, 3.329762302444907]"
Bistierland,"[50.8515265494892, 3.3273595866514163]"
Blauwhuisstraat,"[50.892304441345495, 3.29482223623641]"
Bleekput,"[50.85203672740359, 3.3188969391810534]"
Blokkestraat,"[50.82382183461441, 3.3253787853087697]"
Boekweitstraat,"[50.835305204520076, 3.317922039088751]"
Boerderijstraat,"[50.832297749999995, 3.2940595999999998]"
Bosdreef,"[50.82941791751221, 3.311621285744954]"
Boskant,"[50.82933316655277, 3.3107148766737335]"
Boterpotstraat,"[50.85842260364099, 3.315890245941979]"
Broekplein,"[50.85473992830643, 3.3239509605267408]"
Broelkaai,"[50.8583322, 3.3094364499999998]"
Broelstraat,"[50.86414004525016, 3.3067793268177126]"
Brouwerijstraat,"[50.828682351532436, 3.3175157308912397]"
Brouwerspark,"[50.83036601859064, 3.3171354234714334]"
Brugsesteenweg,"[50.891822592560764, 3.270326604775922]"
Brugsestraat,"[50.882538415484255, 3.2924499037993082]"
Bruyelhof,"[""FOUT, geen straat gevonden""]"
Bruyelstraat,"[50.87569605119094, 3.3112467810689]"
Bruyelvoetweg,"[50.87817488935767, 3.3164640064742845]"
Burgemeester Brabantstraat,"[50.86018463106797, 3.3141037899057193]"
Burgemeester Bruneellaan,"[50.880583882634056, 3.2945797745156318]"
Burgemeester Lanneaustraat,"[50.85785851256657, 3.320685620449066]"
Cantecleerstraat,"[50.831220349999995, 3.3201083000000002]"
Chrysantenlaan,"[50.887908350000004, 3.2917363]"
Dahlialaan,"[50.885522540420766, 3.293649182584726]"
Damweg,"[50.862933223689176, 3.3153251910595287]"
Darmstraat,"[50.87280724222628, 3.2762174647414692]"
De Sterre,"[50.831546586353355, 3.308651492127965]"
De Stip,"[50.8598448820899, 3.323492054799873]"
De Teerlink,"[50.84943383469202, 3.3158984016726554]"
Deerlijksesteenweg,"[50.85770093532772, 3.329011483966476]"
Deerlijksestraat,"[50.85958035, 3.320435]"
Dennenhof,"[50.84657366980833, 3.3083446021275704]"
Dennenlaan,"[50.8454647, 3.3063931]"
Distelbosstraat,"[50.87763598513307, 3.2959626562935873]"
Doornhoutstraat,"[50.878639099999994, 3.30592185]"
Drieshoek,"[50.86749748825046, 3.297739921209284]"
Duivenstuk,"[50.86961399511701, 3.3104908525244277]"
Dwarsstraat,"[50.87409948924593, 3.3160277035013936]"
Eenhanastraat,"[""FOUT, geen straat gevonden""]"
Eerste Aardstraat,"[50.89072442897304, 3.3172011911369323]"
Eierstraat,"[50.860862314267635, 3.306515176887977]"
Eikenstraat,"[50.83690256137176, 3.3180952614144843]"
Eiktronk,"[50.836645204335525, 3.3388679214351473]"
