Straat,Coordinaten
A. Vivaldilaan,"[50.92103536596911, 5.333068006886049]"
Aardbergstraat,"[50.951830921304214, 5.27020571922554]"
Aartsbisschop Graulsstraat,"[50.86032040859774, 5.384899571897477]"
Abdis de Gaverstraat,"[50.90667811702499, 5.318789368611725]"
Abdis de Goorstraat,"[""FOUT, geen straat gevonden""]"
Abdis de Mombeekstraat,"[50.90579380989784, 5.320948822154312]"
Abdis de Schoonbeekstraat,"[50.90567317810491, 5.319269152096231]"
Abdissenstraat,"[50.94861070191231, 5.251255290409513]"
Abelenstraat,"[50.92457683574881, 5.328827554438925]"
Abraham Orteliuslaan,"[50.9267238722008, 5.354976675759158]"
Acaciastraat,"[50.927478703855314, 5.32463446408019]"
Alan Turingstraat,"[50.93035230255873, 5.319469704339064]"
Albertkanaalstraat,"[50.95788541884815, 5.300594554574326]"
Albrecht Meulemansstraat,"[50.90996537026331, 5.326352685942357]"
Albrecht Rodenbachstraat,"[50.924706826144586, 5.341017196432887]"
Aldenhovenweide,"[50.9426774, 5.28929505]"
Aldestraat,"[50.930354570143386, 5.33674722915966]"
Alfons Jeurissenstraat,"[50.947850670118946, 5.350238096690051]"
Alkenstraat,"[50.9150419064594, 5.251880395763045]"
Alverbergstraat,"[50.9389787, 5.319539300000001]"
Ambachtsschoolstraat,"[50.9338967, 5.3217012]"
Andreas Alenusstraat,"[50.93511379734557, 5.304776322486727]"
Andreas Vesaliuslaan,"[50.92481098156226, 5.35394410096262]"
André Dumontstraat,"[50.94659237216085, 5.350517612996393]"
Anjelierenstraat,"[50.92965318793387, 5.322752040842993]"
Ankerpad,"[50.9353161, 5.3357466]"
Ankerstraat,"[50.94022852947122, 5.351615883061159]"
Anne Frankplein,"[50.9204657013604, 5.343946213869357]"
Anne Ruttenstraat,"[50.937855903689346, 5.328203017745731]"
Annie M.G. Schmidtstraat,"[50.950258580249695, 5.2745142371699085]"
Armand Hertzstraat,"[50.9343688, 5.3347771]"
