Straat,Coordinaten
Acacialaan,"[51.1307601, 5.3684688]"
Aen den Berg,"[51.1279762, 5.3576112]"
Akkerstraat,"[51.1050477, 5.3698325]"
Alfons Meuwisstraat,"[51.1181393, 5.3629592]"
Astridplein,"[51.1543423, 5.3861147]"
Begijnenstraat,"[51.1076595, 5.3783081]"
Bellensstraat,"[51.1617215, 5.3937018]"
Bergstraat,"[51.143035, 5.3997392]"
Berkendreef,"[51.1665873, 5.3336724]"
Berkenlaan,"[51.1535876, 5.3952973]"
Binnenstraat,"[51.1230214, 5.3736523]"
Bleekstraat,"[51.1563774, 5.3971521]"
Blindemansweg,"[51.1267597, 5.3896624]"
Borgveld,"[51.1507149, 5.3801836]"
Bosbessenstraat,"[51.1221739, 5.3567826]"
Bosstraat,"[51.1601762, 5.3688774]"
Bosveldweg,"[51.1206791, 5.3633257]"
Braambessenstraat,"[51.1186274, 5.3526402]"
Braekenweg,"[51.1164748, 5.3683391]"
Bremstraat,"[51.144606, 5.3616859]"
Broekerstraat,"[51.1158925, 5.3628336]"
Brouwershof,"[51.1470313, 5.3878297]"
Bungalowpark,"[51.0929614, 5.377031]"
Byvoetstraat,"[51.1211596, 5.3686117]"
Castroplein,"[51.1224876, 5.3712121]"
Comansweg,"[51.1172034, 5.3487145]"
Crommertenstraat,"[51.1280499, 5.3639236]"
De Heerdgang,"[51.1333715, 5.3725103]"
De Heergracht,"[51.0891769, 5.3775921]"
De Korte Voor,"[51.1572934, 5.3984728]"
De Vreedestraat,"[51.1418973, 5.3623564]"
Den Rasop,"[51.1302083, 5.3649825]"
Dennenstraat,"[51.1505926, 5.3683265]"
Diestersebaan,"[51.1604501, 5.3909986]"
Diestersedijk,"[51.1151911, 5.3906335]"
Dokter Antoon Beurskensstraat,"[51.1557346, 5.3968754]"
Doktoorsveld,"[51.1525429, 5.3847923]"
Don Boscostraat,"[51.1228358, 5.3663742]"
Dorperloopstraat,"[51.1197335, 5.367828]"
Dorpsstraat,"[51.1225491, 5.3630621]"
Drossaard Clercxstraat,"[51.1563508, 5.3997964]"
Duinenweg,"[51.1228025, 5.3558334]"
Dwarsweg,"[51.1206948, 5.3574518]"
Echelmanstraat,"[51.1443939, 5.3645732]"
Eikelbosstraat,"[51.1710892, 5.4297576]"
Eikendreef,"[51.1359589, 5.3664308]"
Eindhovensebaan,"[51.149224, 5.3650768]"
Ekselsebaan,"[51.1281471, 5.3669639]"
Erfdyk,"[51.1556826, 5.3345409]"
Europawijk,"[51.152949, 5.4043363]"
Fazantendreef,"[51.1718991, 5.3389629]"
Fazantenstraat,"[51.136419, 5.3644377]"
Geerstraat,"[51.1569181, 5.3962491]"
Gemeenteplein,"[""FOUT, geen straat gevonden""]"
Gerard Jehoelstraat,"[51.1544651, 5.404968]"
Gerststraat,"[51.0995663, 5.3714844]"
Goudvinkenlaan,"[51.1667936, 5.4003301]"
