Straat,Coordinaten
Achterstraat,"[50.73884506012146, 5.264621183654314]"
Altenastraat,"[50.73944920868751, 5.242705190154329]"
Arnold Degraeflaan,"[50.75020275, 5.30519405]"
Baron de Stockemlaan,"[50.7531615452368, 5.305902054404114]"
Batsheersstraat,"[50.73673908613575, 5.279950081352213]"
Beekstraat,"[50.74467153101025, 5.301016972469172]"
Beemdstraat,"[50.76948797148453, 5.352768648398862]"
Begijnenpad,"[50.73965555730326, 5.257497745513805]"
Bekstraat,"[50.783765135288526, 5.3126572229487286]"
Bergstraat,"[50.78326455, 5.29306255]"
Beukenstraat,"[50.771133745130044, 5.303256070439617]"
Bielenstraat,"[50.763069875910745, 5.386321171212343]"
Biessemstraat,"[50.741913223371874, 5.254307396434312]"
Bilterlaan,"[50.751000112424876, 5.303491521995382]"
Bosstraat,"[50.745009887533485, 5.314448739390333]"
Bosveldstraat,"[50.75928804993593, 5.270534324104225]"
Bovelingenstraat,"[50.72948976279402, 5.253852798998715]"
Bredeweg,"[50.76818908501057, 5.308123891746328]"
Breedpadstraat,"[50.72832787432836, 5.25150140065595]"
Brugstraat,"[50.7605861, 5.3673743]"
Burgemeester Jef Nevenplein,"[50.74980329099698, 5.3004306288269145]"
Burgemeestersstraat,"[""FOUT, geen straat gevonden""]"
Burggraaf Desmaisièresstraat,"[""FOUT, geen straat gevonden""]"
Cartuyvelstraat,"[50.7563696633851, 5.335510085610955]"
Daalstraat,"[50.77465225827166, 5.274162406356242]"
Darisstraat,"[50.74147151877455, 5.259842981225444]"
Diepestraat,"[50.76415155627806, 5.304195455804601]"
Dikke Weyestraat,"[50.742127671526966, 5.305843512354952]"
Dokter Raymond Gielenlaan,"[50.751335531699844, 5.302552469251911]"
Donkerstraat,"[50.75897635560629, 5.331315233434021]"
Dreefstraat,"[50.740701643289285, 5.258172632433174]"
Dumontlaan,"[50.75472767743855, 5.335578419713288]"
Dumstraat,"[50.772588165820096, 5.355166309353136]"
Elzenhoutlaan,"[50.7347359600743, 5.255702072714572]"
Engelmanshovenstraat,"[50.77029993207963, 5.268116364479918]"
Eskensstraat,"[50.75265202849498, 5.284622225549867]"
Gelindenstraat,"[50.74214009309869, 5.258440209957666]"
Groeneschild,"[50.76445368145264, 5.28583406927481]"
Gutschovenstraat,"[50.7755961, 5.319578]"
Hampstraat,"[50.77333813391141, 5.279719116615961]"
Haspengouwlaan,"[50.753272639406035, 5.327229837706671]"
Heersestraat,"[50.7489634, 5.2995769]"
Hekslaan,"[50.767832995818765, 5.362191416209224]"
Helena Wijnantslaan,"[50.751800341179774, 5.301983919927523]"
Henestraat,"[50.766520648197975, 5.349987362063585]"
Henisdael,"[50.75961794897324, 5.379272878393176]"
Herckenrodestraat,"[50.734802709766434, 5.301324433651128]"
Heurnestraat,"[50.757833408372946, 5.3618705009246925]"
Himpedelstraat,"[50.73895585824398, 5.298671538728571]"
Hoogstraat,"[""FOUT, geen straat gevonden""]"
Hoolstraat,"[50.74577180581548, 5.307056230402662]"
Hopstraat,"[50.759781921366205, 5.33239429385462]"
Horpmaalstraat,"[50.760340496111844, 5.333287785897727]"
Jacobslaan,"[50.761357428453906, 5.331092972441389]"
Jan Odeurslaan,"[50.738388178116374, 5.259678723304405]"
Jan van Mechelenlaan,"[50.73541947412949, 5.2552025304745555]"
Kapelstraat,"[50.73552636891707, 5.292625925095264]"
Kasteel,"[50.76935795, 5.3609654193921195]"
Kasteelstraat,"[50.76202991163551, 5.303381373785046]"
Kerkstraat,"[50.76287765734685, 5.305357619886864]"
Kersenstraat,"[50.765024457292014, 5.307140022595988]"
Keunenlaan,"[50.76124527169699, 5.376345022231833]"
Kiezelstraat,"[50.7625975, 5.272863549999999]"
Klein-Gelmenstraat,"[50.770478827759085, 5.274392933114432]"
Kleine Rauwstraat,"[50.75635858696264, 5.334252626228491]"
Kleine Veldweg,"[50.756710918709686, 5.328268273796134]"
Kleinveldjestraat,"[50.76183494414894, 5.375951781348555]"
Kloosterstraat,"[50.74406217234087, 5.245611334920121]"
Kraanstraat,"[50.77137438710845, 5.323185416355077]"
Kultuurlaan,"[50.748651609825195, 5.30357124904653]"
Langstraat,"[50.76285178287361, 5.378307378220641]"
Lod.Lavkistraat,"[50.77978316733272, 5.371053623701277]"
Lovendal,"[50.76315593645678, 5.308427038130096]"
Luikerstraat,"[50.75073515, 5.33772145]"
