Straat,Coordinaten
's Gravenhagestraat,"[51.04867588291874, 4.704985852258196]"
's Herenweg,"[51.10960601188797, 4.744718146738126]"
't Kapmes,"[51.03856104561908, 4.759877881406719]"
A. De Bruynstraat,"[51.099885099999995, 4.72824785]"
A.Vereeckestraat,"[51.079261898556815, 4.724409350253068]"
Abeelstraat,"[51.051178978676774, 4.780157147923184]"
Acaciastraat,"[51.07397475476775, 4.721847312364469]"
Achter de hoven,"[51.10233716550047, 4.728226329436524]"
Achterheidestraat,"[51.05312751965973, 4.700867925673371]"
Achterheideweg,"[51.034475448480336, 4.7057410543594616]"
Adamstraat,"[51.02939249122636, 4.746596919979446]"
Advokatestraat,"[51.10174316501816, 4.795240090613996]"
Anjerstraat,"[51.10477166258305, 4.720514123409946]"
Arendshof,"[51.10281718161829, 4.731547292255211]"
August Heylenstraat,"[51.101690369801226, 4.733216388537989]"
August Prooststraat,"[51.085996800000004, 4.7218105999999995]"
Averegtenlaan,"[51.0856019647661, 4.717419462133173]"
Baeske Broeckstraat,"[51.03383745, 4.76698405]"
Bareelweg,"[51.03630894096154, 4.667320138945069]"
Beemdekensstraat,"[51.068495804969125, 4.699424845371032]"
Beemweg,"[51.0975043, 4.73144775]"
Beerzelsesteenweg,"[""FOUT, straat in foute gemeente gevonden""]"
Begijnendijkse Voetweg,"[51.03092546364856, 4.759407660054268]"
Begoniastraat,"[51.105409372552174, 4.725602916005958]"
Belstraat,"[51.10962204630922, 4.78803419500519]"
Bergebeekstraat,"[51.06180832239309, 4.743898814082072]"
Bergop,"[51.07510740385471, 4.727976876965394]"
Bergskestraat,"[51.08133401185118, 4.705850831677036]"
Bergstraat,"[51.075202861194114, 4.72682314501944]"
Bergvelden,"[51.07733854565882, 4.702851535883325]"
Berkenstraat,"[51.0766941770248, 4.717722902031587]"
Berlaarbaan,"[51.100722510099374, 4.717385639610962]"
Bernum,"[51.0987848, 4.7447637]"
Bernumlaakweg,"[51.08348538347735, 4.741082979305287]"
Berthoutlaan,"[51.08662315, 4.729683850000001]"
Beukelweg,"[51.045618451007435, 4.774509399105291]"
Beukenlaan,"[51.09456625, 4.71245825]"
Bevelsesteenweg,"[51.10788535485348, 4.708027864391705]"
Biekorfstraat,"[51.07324125, 4.70164675]"
Bijenhof,"[51.08242128863122, 4.726570567958863]"
Binderslaan,"[51.02965016169469, 4.756998605859158]"
Binnenweg,"[51.07717616140554, 4.726415881496935]"
Bist,"[51.040610799999996, 4.7662372]"
Blindejennestraat,"[51.03868505, 4.7784267499999995]"
Blokstraat,"[51.05692936890311, 4.755623065515098]"
Blokvioolstraat,"[51.08153155829497, 4.7113087811008905]"
Boekeleslei,"[51.05113153422759, 4.7657242016000545]"
Boektestraat,"[51.06853820721533, 4.7278293294924225]"
Boekweitweg,"[51.03113337594783, 4.740327202354663]"
Bogaardenstraat,"[51.058431772428825, 4.686058466447065]"
Bollostraat,"[51.03620271500016, 4.724891079440081]"
Bonte Wikke,"[51.08509211758964, 4.722771826746188]"
Booischotbaan,"[51.044281924331166, 4.670778071598597]"
Boomgaardstraat,"[51.04670670971317, 4.757488608506664]"
Boonmarkt,"[51.087013413722154, 4.716837742005063]"
Bosdijkweg,"[51.11551796986174, 4.7669788335094685]"
Bosduifweg,"[51.024808803344825, 4.697693576690583]"
Bossestraat,"[51.06916276379428, 4.719897964674799]"
Bosvelden,"[51.07144649032868, 4.71956824485765]"
Bosveldweg,"[""FOUT, geen straat gevonden""]"
Bosweg,"[51.04704652799189, 4.714313673822932]"
Boterstraat,"[51.05013024827753, 4.753275620868477]"
Boudewijnlaan,"[51.073691, 4.70754805]"
Brandstraat,"[51.050225733545524, 4.788218759613439]"
Bredestraat,"[51.038812065910335, 4.707525858918786]"
Breeven,"[51.1060825, 4.7922155]"
Brekelingen,"[51.083176784960465, 4.692019143847662]"
Bremweg,"[51.01692229402982, 4.719845359127807]"
Broekmansstraat,"[51.0410421, 4.7497897]"
Broekstraat,"[51.08432235, 4.72916345]"
Brouwerijstraat,"[51.05241120360333, 4.777245054631825]"
Bruggeneindse Heibaan,"[51.08309430017296, 4.782028252334721]"
Bruggeneindsestraat,"[51.08508597786388, 4.774105768109595]"
Bruulstraat,"[51.08670691818829, 4.681186355418431]"
Buntstraat,"[51.08690170052971, 4.774960660581829]"
Burgerheidestraat,"[51.0531047, 4.7074108500000005]"
Butsestraat,"[51.04766385424003, 4.751724457456863]"
C. Serneelsstraat,"[51.09890967682556, 4.726832929316193]"
Canadadreef,"[51.0557886, 4.68470185]"
Cardijnlaan,"[51.02863420054342, 4.759432758165041]"
Cederstraat,"[51.07923919867081, 4.719864712413669]"
Colibrantstraat,"[51.0704617162199, 4.727733987578528]"
Collegestraat,"[51.071359990293736, 4.701151046620079]"
Cultuurplein,"[51.076117503134995, 4.717868808653887]"
Cuperuslei,"[51.067515639736, 4.720202218286898]"
Dalstraat,"[51.11317134515351, 4.792540909510116]"
De Del,"[51.03778096652066, 4.751520352415907]"
De Loecht,"[51.10572889089325, 4.790922509321246]"
De Vreze,"[51.0638674471214, 4.760005010599058]"
Dekbunderstraat,"[51.1186006, 4.76472845]"
Denis Verschuerenstraat,"[51.10153939580985, 4.722092140778535]"
Dennenlaan,"[51.09442295, 4.70954525]"
Diepenbroekstraatje,"[51.06540679799654, 4.700086134162934]"
Diepestraat,"[51.068371324645405, 4.714485989656189]"
Doelweg,"[""FOUT, geen straat gevonden""]"
Donatuspad,"[51.082907855012415, 4.729279563013258]"
Donatusstraat,"[51.08069133235845, 4.727410304303475]"
Donkenstraat,"[51.014249557849546, 4.710740570183198]"
Dophei,"[51.034758168332594, 4.755286522867142]"
Dorelarelei,"[51.08762649500635, 4.723340874243249]"
Dorpsstraat,"[51.051292676085815, 4.771018181792153]"
Dr.J.Vermylenstraat,"[51.02280772238136, 4.690589952026892]"
Dreef,"[51.03056189811888, 4.692033958555945]"
Drenkstraat,"[51.069080105446666, 4.747519073624333]"
Drie Maagdekensstraat,"[51.05384071977465, 4.744797435922985]"
Driehoekstraat,"[51.111393972845526, 4.70703570002514]"
Drieshoevestraat,"[51.0500050660474, 4.70748122513885]"
Dulft,"[51.10258321149583, 4.725574876186733]"
Echelpoel,"[51.09114415499543, 4.729178683280001]"
Eendenlaan,"[51.10847015918329, 4.801990308480296]"
Eerselstraat,"[51.06894588511893, 4.743754103610672]"
Eglantierstraat,"[51.07487856038083, 4.722427674815277]"
Eikestraat,"[51.0524106, 4.7109942]"
Eindeke,"[51.055095111757645, 4.793534629795486]"
Elsschot,"[51.0379614, 4.76597545]"
Elzenstraat,"[51.05051401143921, 4.776948302779002]"
Engelbert Goossensstraat,"[""51.0136376040304"", ""4.7095724173962905""]"
Engelenweg,"[51.10303266606317, 4.793346820904188]"
Ericaweg,"[51.10254878596139, 4.790194074561535]"
Essestraat,"[51.05168950283708, 4.71092202862839]"
Eugeen Woutersstraat,"[51.07673344569661, 4.726420289068303]"
Fabriekstraat,"[51.09187104344995, 4.812835787650356]"
Fazantweg,"[51.02473845682586, 4.698582271355787]"
Frans Coeckelbergsstraat,"[51.073562382706676, 4.7250644307670635]"
Frekeslei,"[51.05089588386575, 4.7679846666928]"
Galgestraat,"[51.0413043852403, 4.676519314270007]"
Ganzenweg,"[51.10903468974825, 4.803195743860053]"
Gastveld,"[51.0719124, 4.7304705]"
Geelhandlaan,"[51.06484126687781, 4.705946653915884]"
Gerststraat,"[51.08283299187047, 4.73438939005349]"
Gestelsesteenweg,"[51.12043832145234, 4.694280121055711]"
Geuzenstraatje,"[51.06272487579013, 4.703137159989778]"
Gidsenlei,"[51.03247819271869, 4.761040654401882]"
Gildestraat,"[51.10010151478595, 4.795079304808417]"
Gillekenshagen,"[51.125251676002605, 4.761275303657166]"
Glazenstraat,"[51.091729632460336, 4.782309676517962]"
Godinstraat,"[51.10049833969266, 4.814392707064282]"
Gommerijnstraat,"[51.03842196964732, 4.715293732205809]"
Gommerslei,"[51.05112572143463, 4.751261003459169]"
Goorheide,"[""FOUT, straat in foute gemeente gevonden""]"
Goorlei,"[51.041862588936105, 4.734680387900149]"
Goormolen,"[51.027953117815265, 4.7377385227993445]"
Goorvoetweg,"[51.0292733, 4.70161135]"
Goorweg,"[51.032234649565325, 4.749947487126817]"
Graanweg,"[51.10531529578031, 4.789544118239873]"
Grasheideweg,"[51.032130853616046, 4.670706533348349]"
Groenhoek,"[51.10394797103353, 4.719157948677649]"
Groenstraat,"[51.06646144274025, 4.75103246897542]"
