Straat,Coordinaten
Abdijstraat,"[51.135215658463125, 4.337012524002734]"
Acacialaan,"[51.1387205, 4.3499757]"
Adolf Vervlietlaan,"[51.13123715512029, 4.336707247758896]"
Advokaatstraat,"[51.138730249999995, 4.335827800000001]"
Akkerstraat,"[51.139363980979915, 4.33632862726838]"
Annaplein,"[""FOUT, geen straat gevonden""]"
Anny Clerboutstraat,"[""FOUT, geen straat gevonden""]"
Antwerpse steenweg,"[51.146076, 4.33816045]"
Arendweg,"[51.153614493386684, 4.342917862737362]"
Assestraat,"[51.1390045664682, 4.351859173910588]"
Asterlaan,"[51.150867386935545, 4.349510318409714]"
Atletiekstraat,"[51.134129831197555, 4.341454709367198]"
Azaleaweg,"[51.154349355340955, 4.344389307545764]"
Bareelstraat,"[51.14297459420022, 4.339133671627293]"
Begoniaweg,"[51.155271840321994, 4.345584556521522]"
Berkenlaan,"[51.13579115565638, 4.350991588122279]"
Beukenlaan,"[51.1400567266524, 4.346454387615824]"
Bosstraat,"[51.133026799999996, 4.338078400000001]"
Bouwerijstraat,"[51.136097430877456, 4.338962162669828]"
Bredestraat,"[51.150231828583074, 4.340222891189539]"
Bronweg,"[51.1387329, 4.33472295]"
Callebeekstraat,"[51.14316081767318, 4.331598957661632]"
Charlottalei,"[51.146317924965764, 4.340950994252877]"
D. Coppensstraat,"[""FOUT, geen straat gevonden""]"
De Bosschen,"[51.1509769425057, 4.345694255379967]"
Delvauxstraat,"[51.13615692826339, 4.336634322037228]"
Depotstraat,"[51.13223046468905, 4.334370729726717]"
E. Van Nuffellaan,"[51.14549444051916, 4.34592411965225]"
Eikenlaan,"[51.1418865, 4.3457752]"
Emiel Creadolaan,"[51.147618050000005, 4.34436355]"
Essenlaan,"[51.135642399999995, 4.352032100000001]"
Europalaan,"[51.134730841927244, 4.3400511332732155]"
Fr. Huysmanslaan,"[""FOUT, geen straat gevonden""]"
Frans Blocklaan,"[51.14419188618914, 4.3436112387862345]"
Gemeenteplaats,"[51.14381097440117, 4.345057815601565]"
Georges Gilliotstraat,"[51.13337136251409, 4.33995294932268]"
Groenenhoekweg,"[51.147223903471854, 4.352105491459228]"
Halfbunderweg,"[51.14990339568491, 4.34362607892335]"
Heemsdaalstraat,"[51.148283232223754, 4.336726017347242]"
Heiligstraat,"[51.14756409623238, 4.347830229896891]"
Herbekestraat,"[51.155626379428526, 4.3391116832736305]"
Heuvelstraat,"[51.13837749597092, 4.336030507227136]"
Hoofdboslaan,"[51.14839792216203, 4.3506012]"
Hoogstraat,"[51.13410162029737, 4.334650698109551]"
Irisweg,"[51.15378623162194, 4.345813391605897]"
J. De Grooflaan,"[51.14622335, 4.34663735]"
Jan Sanderslaan,"[51.13801382512986, 4.35195704137205]"
Jan Van der Aa Laan,"[51.1486092799034, 4.345958307594447]"
Jos De Hondtlaan,"[51.13242169029936, 4.338010872735844]"
Joseph Roelantslaan,"[""FOUT, geen straat gevonden""]"
K. de Backerstraat,"[51.145281302146216, 4.339382735459655]"
Kastanjelaan,"[51.14025376409471, 4.347474524477011]"
Kerkeneinde,"[51.13636431031794, 4.357020957756764]"
Kerkstraat,"[51.14289677773552, 4.342075884766649]"
Ketinglei,"[51.14405845274456, 4.341051096538685]"
Klaverweg,"[51.15240875943173, 4.34759733472422]"
Kleidaallaan,"[51.13619649114775, 4.355120918166541]"
Kleiputweg,"[51.13947456024931, 4.335295856860402]"
Koekoekweg,"[51.14832373272373, 4.3518209239537375]"
Krokusweg,"[51.15325110452027, 4.346640170153272]"
Kruishoevewijk,"[51.132874029847464, 4.334069369580122]"
Landbouwweg,"[51.146852878804005, 4.349543023907083]"
Leemweg,"[51.155558, 4.34896125]"
Lelielaan,"[51.15004206526303, 4.347907596346568]"
Lijsterlaan,"[51.135897299999996, 4.35010135]"
Lindelei,"[51.145874750000004, 4.34335365]"
Louis De Schepperlaan,"[51.14705815084927, 4.346793389440601]"
Mastbosweg,"[51.152727277685855, 4.349304996272461]"
Meidoornlaan,"[51.1379151492341, 4.350156299256575]"
