Straat,Coordinaten
's-Herenwegveld,"[50.902568596913454, 4.681311113815047]"
't Nonneke,"[50.90212445, 4.6274109]"
Aardeweg,"[50.89785972552628, 4.641201822112868]"
Aarschotseweg,"[50.89658428548232, 4.687822756444845]"
Acacialaan,"[50.89661497004395, 4.68292077895566]"
Akkerweg,"[50.90997925928645, 4.671698218148624]"
Albert Devuestraat,"[50.9025304, 4.650360271096508]"
Anjelierenlaan,"[50.90478669570219, 4.622604964161539]"
Arnoudt Rulenslaan,"[50.88520785058922, 4.665562553138951]"
Asseweg,"[50.89969282846425, 4.62206268461452]"
Bachterweg,"[50.901186175427114, 4.618254035585905]"
Baertlaan,"[50.8862857220921, 4.655986618154736]"
Beisemveld,"[50.90330707811126, 4.6174931124246195]"
Belsenakestraat,"[50.915748233367566, 4.674569877371006]"
Bergenstraat,"[50.899032, 4.6812348]"
Bergstraat,"[50.89602403101718, 4.624242790697574]"
Bertemsebaan,"[50.89095804586244, 4.6233674523333]"
Bertemweg,"[""FOUT, geen straat gevonden""]"
Betlehemweg,"[50.90746445, 4.67985555]"
Bieststraat,"[50.888614396998264, 4.670984524470845]"
Bijlokstraat,"[50.898684861544815, 4.682031911996712]"
Binnenhof,"[50.90461795, 4.61864925]"
Binnenstraat,"[50.9045170351894, 4.616363663798294]"
Blakstraat,"[50.930001862509144, 4.672642737045591]"
Blauwe Stap,"[50.91560876446522, 4.6922263633149495]"
Blokstraat,"[50.90270319314233, 4.62712346778653]"
Blokweg,"[50.90743389756944, 4.677289561902105]"
Bodemveldstraat,"[50.89722223149106, 4.652422507449788]"
Boerbemdstraatje,"[50.922855429684674, 4.612928047090424]"
Borneveldstraat,"[50.9109811, 4.68854075]"
Bornput,"[50.89412325, 4.61603575]"
Bosstraat,"[50.92275835, 4.64491615]"
Bovenbergstraat,"[50.89277434656925, 4.615355004335906]"
Brampad,"[50.90129331201708, 4.653684155065122]"
Bremveldstraat,"[50.90444610480243, 4.6646567736299245]"
Broekstraat,"[50.90996415, 4.6169095]"
Broekveldstraat,"[50.90968094792686, 4.674075439149853]"
Brusselsesteenweg,"[50.893224722618946, 4.637890814393836]"
Bukenstraat,"[""50.942744342289636"", ""4.639703153693205""]"
Bunderweg,"[50.93524217052921, 4.623170308151853]"
Clarahof,"[50.9356396, 4.621230300000001]"
Coenraedt Keynslaan,"[50.88528080768837, 4.662099294100788]"
Dalenstraat,"[50.89585325385457, 4.653782966828249]"
De Croyplein,"[50.88669272676397, 4.658724790208006]"
De Wijngaard,"[50.89578816513436, 4.683574456964715]"
Dellestraat,"[50.89797674361237, 4.675981771217449]"
Den Blok,"[50.91026180718323, 4.667886191062742]"
Den Boomgaard,"[50.90122365, 4.680460549999999]"
Den Bremt,"[50.9043405, 4.662455329101686]"
Den Elst,"[50.92191316180158, 4.664757949018369]"
Diependaalweg,"[50.882321233905685, 4.659367231270054]"
Dieriksgroebe,"[50.895469102331475, 4.646455957580005]"
Dorenstraat,"[50.921735500000004, 4.6538804]"
Dorpsplein,"[50.90136952847459, 4.62357238201063]"
Dorpsstraat,"[50.899556459804316, 4.645375354889982]"
Drieskensweg,"[50.92309132945087, 4.642582509624654]"
Drogenbosstraat,"[50.9265013629304, 4.621001523671378]"
Duigemhofstraat,"[50.90880963465787, 4.6542664396636555]"
Duigemstraat,"[50.90613464002832, 4.6524482977497446]"
Duivenstraat,"[50.9174835, 4.619579]"
Eikenberglaan,"[50.886572470004374, 4.640118520511766]"
Eikestraat,"[50.93433663772105, 4.638591377986588]"
Ellestraat,"[50.923338486985024, 4.637183077118762]"
Elststraat,"[50.92136536969816, 4.678133614786253]"
Engelenbosweg,"[50.8835219, 4.667211400000002]"
Filips van Castiliëlaan,"[50.88763479843141, 4.65801790034749]"
Frans Rochettestraat,"[50.89943566639383, 4.6379372532586585]"
Galgenbergstraat,"[""FOUT, geen straat gevonden""]"
