Straat,Coordinaten
Acaciastraat,"[50.9044128, 5.1977759]"
Amandinaweg,"[50.91172748724924, 5.196479517914677]"
Anneke Weemaesweg,"[""FOUT, geen straat gevonden""]"
Bammerveldweg,"[50.92992248560646, 5.157981443510493]"
Bampsstraat,"[50.93601708145223, 5.14673244961309]"
Beckersvaart,"[50.96247892568686, 5.181458250136402]"
Beerbosstraat,"[50.95611791145504, 5.173599033790752]"
Begijnen Beussenveldweg,"[50.91766542222984, 5.1574120318276115]"
Berkenstraat,"[50.938473919545814, 5.135913706604182]"
Beukenstraat,"[50.9047408, 5.19675455]"
Bleke Lenastraat,"[50.944222113347834, 5.158350856061692]"
Bleukweg,"[50.92105105984835, 5.197086542846871]"
Blijkbaan,"[50.941969519672256, 5.170889212831956]"
Boer Bavostraat,"[50.94336059735795, 5.157385667535284]"
Bommerbergweg,"[50.934373590868766, 5.157076998128958]"
Bommerstraat,"[50.9299877849555, 5.148871726163422]"
Bosstraat,"[50.94136540567591, 5.211137468662673]"
Broekstraat,"[50.959179888103506, 5.210926249762965]"
Catharina van Loon,"[50.93297637795269, 5.135669676064672]"
Daelemstraat,"[50.944756619246064, 5.172353593798986]"
Deken Van Herckstraat,"[50.94367319697569, 5.160782514172876]"
Dennenbosstraat,"[50.89573259198718, 5.191831333310202]"
Diepenpoelstraat,"[50.92606289173558, 5.153944525842034]"
Diestsesteenweg,"[50.941117399999996, 5.161294]"
Diestsestraat,"[50.9407700297162, 5.163598949303109]"
Doelstraat,"[50.94211798070765, 5.17218593241276]"
Dokter Vanweddingenlaan,"[50.94026864898553, 5.1638814558601736]"
Donderveldstraat,"[50.95578128017599, 5.199822982874084]"
Dormaelswinningweg,"[50.915482704329946, 5.1519603807654715]"
Dorpsstraat,"[50.938652836439346, 5.134186890228255]"
Dreefstraat,"[50.94064566372386, 5.134138079766726]"
Driespoortweg,"[50.9426324807188, 5.167967213930693]"
Eggelstraat,"[50.92489895, 5.15777645]"
Eiken Venne,"[50.9412342, 5.1392830499999995]"
Eikenstraat,"[50.905991521358494, 5.19893682117294]"
Ekerstraat,"[50.9591500235839, 5.2204410037156865]"
Endepoelstraat,"[50.92782873523929, 5.168444169605107]"
Ganzenhoek,"[50.9370922, 5.1429236]"
Gasterbosstraat,"[50.93986753573521, 5.192766671249895]"
Gebruiksweg,"[50.91778031970062, 5.18385699831813]"
Georges Morrenstraat,"[50.93449043525367, 5.146059679397612]"
Groot-veldweg,"[50.91170563413837, 5.181310821142585]"
Grote Baan,"[50.9457943, 5.13678065]"
Grote Hoolstraat,"[50.93513826027582, 5.160637568098588]"
Grote Kruisstraat,"[50.92215895, 5.1905403]"
Grotestraat,"[50.950343903429086, 5.208157909584023]"
Grotstraat,"[50.95372456017089, 5.21509321555218]"
Guldensporenlaan,"[50.941972529911205, 5.165505273277213]"
Gulkerveldstraat,"[""FOUT, geen straat gevonden""]"
Halbekerstraat,"[50.94582176051248, 5.152314388094852]"
Hasseltsesteenweg,"[50.94318628334834, 5.1730750679540005]"
Hasseltsestraat,"[50.94234885026361, 5.168530388878634]"
Hazenveldweg,"[50.92404312223627, 5.169374733541506]"
Heerlestraat,"[50.95199535885693, 5.201990832151575]"
Heidestraat,"[50.95489415336538, 5.218849541427419]"
Helenastraat,"[50.94431710723611, 5.159828734430572]"
Henri Knutsplein,"[50.94389721145021, 5.165497937517772]"
Herkenrodestraat,"[50.9439769268123, 5.163465192353608]"
Herkkantstraat,"[50.94083361870547, 5.200984614041904]"
Hertenplein,"[""FOUT, geen straat gevonden""]"
Hofstraat,"[50.94017471111572, 5.167574966317855]"
Hondsblokstraat,"[50.94662706930586, 5.175471839039967]"
Hoogbosstraat,"[50.92238511614193, 5.179149734163011]"
Hoogstraat,"[50.958530497390896, 5.195187729225048]"
Houwijkerstraat,"[50.931689118662575, 5.171185117869097]"
Hurbroekstraat,"[50.93293311312183, 5.139017886730298]"
Industrieweg,"[50.945176224318594, 5.1616391700518856]"
Jennifer Jenningsstraat,"[50.94270971484365, 5.1590844189817595]"
Jodestraat,"[50.92256892598503, 5.174725802575347]"
Kalkkuilstraat,"[50.936749531903885, 5.137662595761979]"
Kapelstraat,"[50.9481502790876, 5.207734275822871]"
Kasteelstraat,"[50.948537099999996, 5.1211325]"
Keernestraat,"[50.931486588228914, 5.153465441223281]"
Keibergstraat,"[50.926122230539455, 5.158359570879347]"
Kerkstraat,"[50.9588792209868, 5.187060390418068]"
Kiezelweg,"[50.95894147807367, 5.175971873893937]"
Klein-Grootveldweg,"[50.912265266927996, 5.191099916873709]"
Kleine Hoolstraat,"[50.93713166653446, 5.166735693448651]"
