Straat,Coordinaten
Aarschotsesteenweg,"[51.03924835619638, 4.8572766950486885]"
Achter Kennes,"[51.03371466709904, 4.8287644341459215]"
Achter de Hoven,"[51.05230267799299, 4.882372923898132]"
Achter de Wereld,"[51.031514010913845, 4.859457610421579]"
Asbroek,"[51.06076605, 4.8811525499999995]"
Averbodesesteenweg,"[51.044661542246985, 4.931292838660624]"
Beemdeke,"[51.02732253666047, 4.882075583999677]"
Begijnendijksesteenweg,"[51.02987014319166, 4.812442333831052]"
Beldreef,"[51.04547172643759, 4.949014878123311]"
Beningstraat,"[51.040919573463874, 4.882115048385907]"
Berglaan,"[51.07561245, 4.91066985]"
Bergomselei,"[51.07486616645631, 4.920141374848357]"
Bergomsestraat,"[51.074852527589506, 4.921335649171467]"
Bergomsveld,"[51.07472025380058, 4.922009232481189]"
Bergstraat,"[51.02729935, 4.833791]"
Berkenveld,"[51.04292110587587, 4.948643767346066]"
Binnenblok,"[51.0410058, 4.93270055]"
Binnenheide,"[51.04398297803221, 4.94633889505763]"
Binnenveldstraat,"[51.03821531845917, 4.942185912000235]"
Blauberg,"[""51.0438912"", ""4.9292719""]"
Blaubergsedreef,"[51.04716121988497, 4.931087542333588]"
Blaubergsesteenweg,"[51.046960023338855, 4.910150942041817]"
Bleidenhoek,"[51.0448708900112, 4.906658000727348]"
Boomgaardstraat,"[51.01921904040942, 4.826500665931774]"
Borchtstraat,"[51.06050485, 4.888536350000001]"
Bosstraat,"[51.026704849999994, 4.8449585]"
Bremheide,"[51.04651145249437, 4.93746251189343]"
Broekstraat,"[51.02596168473395, 4.879525653879332]"
Brouwersheide,"[51.0154073, 4.8313605]"
Dagmaalstraat,"[51.0278128, 4.87139415]"
De Schrieken,"[51.038801250000006, 4.90295135]"
Degstraat,"[51.04880505040825, 4.951811354067816]"
Dellenweg,"[51.01536405, 4.8455093]"
Demer,"[51.04585157370951, 4.876784411889544]"
Denstraat,"[51.059799927946024, 4.8853675046037335]"
Dieperdel,"[51.04841061316936, 4.856614073179886]"
Dieperstraat,"[51.052223085041966, 4.8417700624812285]"
Diestsebaan,"[51.076155875422195, 4.915848914215245]"
Dirksland,"[51.0306382, 4.830964278882036]"
Donkstraat,"[51.021991052424866, 4.848686846494509]"
Dooiewerf,"[51.027888898205305, 4.870222758567605]"
Dorp,"[51.0513722476039, 4.878824568475509]"
Drie Eikenstraat,"[51.063173026974965, 4.903397976910105]"
Dries,"[51.0328713070191, 4.89560221688638]"
Eindheuvel,"[""FOUT, geen straat gevonden""]"
Elsschot,"[51.0635162381576, 4.9405379459856436]"
Elzenbroek,"[51.030170346665194, 4.90107052195528]"
Eveneland,"[51.049499450142484, 4.884072262080831]"
G. Vandenheuvelstr.,"[51.02811495670777, 4.834583658906606]"
Galgeven,"[51.03996967527413, 4.933960919757999]"
Gijmelsesteenweg,"[51.024748599999995, 4.89421675]"
Goorbaan,"[51.04547733150759, 4.927153806109414]"
Goorbeek,"[51.08802493601666, 4.93416984356775]"
