Straat,Coordinaten
't Stichelke,"[50.772270318497355, 4.893837811669952]"
Altenaken,"[50.77874165825522, 4.9185681956072935]"
Arthur Putzeysstraat,"[50.774471254184924, 4.888115999780814]"
Autosnelweg E40 Brussel - Luik,"[""FOUT, geen straat gevonden""]"
Babelomstraat,"[50.797963028025386, 4.838840034971657]"
Begijnenblokstraat,"[50.79038505, 4.83303935]"
Begijnenweg,"[50.787158973799244, 4.820850510324106]"
Beukenlaan,"[50.77585595, 4.896601058880309]"
Bleystraat,"[50.7735886, 4.9020641000000005]"
Bleyveldstraat,"[50.772167003780986, 4.908017927687913]"
Blokstraat,"[50.76658667148212, 4.924802243326396]"
Boomgaardstraat,"[50.77510438308045, 4.884435520105778]"
Bosbergstraat,"[50.7852406282994, 4.838655136024168]"
Bosdellestraat,"[50.75066170182258, 4.917322728500069]"
Bostsestraat,"[50.773326999999995, 4.9301730500000005]"
Boterstraat,"[50.7668765026875, 4.921753806940402]"
Bronstraat,"[50.798907400000004, 4.87110665]"
Brouwerij Loriersstraat,"[50.77466236469032, 4.882080493763026]"
Brugstraat,"[50.76876715, 4.9219563]"
Diepestraat,"[50.77340053947542, 4.922901044229503]"
Doelstraat,"[50.77486296179531, 4.887277030058355]"
Doornestraat,"[50.80801895247846, 4.862039522036327]"
Drogenbergstraat,"[50.788908186362576, 4.8305405608195455]"
Dumontstraat,"[50.77614710525532, 4.887233156916209]"
Elst,"[50.76804482959908, 4.888198547415783]"
Ernest Ourystraat,"[50.774335853741384, 4.892814577047617]"
Fabriekgang,"[50.774760050626575, 4.883555495510405]"
Frans Huon-plein,"[50.77613465, 4.8839175]"
Gaatstraat,"[50.778344742039344, 4.824941518331325]"
Gasthuisstraat,"[50.774320130935656, 4.887232838256155]"
Geldenakenstraat,"[50.75474750668235, 4.914156495980511]"
Gemeenteplein,"[50.77376960938723, 4.887591628660814]"
Goetsenhovenstraat,"[50.7656521, 4.9383277]"
Hauthem,"[50.7850332, 4.868633]"
Henri Dotremontstraat,"[50.77406239061381, 4.885808170929671]"
Hoelenbergstraat,"[50.78550975734255, 4.839897378859743]"
Hoogstraat,"[50.76968394038417, 4.919903327191222]"
Houtmarkt,"[50.77335902585816, 4.8876563703815386]"
Huzaarstraat,"[50.76471256854504, 4.923250210221039]"
Jongensschoolstraat,"[50.76788560265256, 4.925414006755398]"
Jules Lowetlaan,"[50.77213899638808, 4.9046247548110475]"
Kalverstraat,"[50.77517861552934, 4.887784830832532]"
Kapitalenveldstraat,"[50.75685065, 4.9471570499999995]"
Kapittelbergstraat,"[50.804128329320946, 4.873263661062328]"
Kappendaalveldstraat,"[50.75363302459903, 4.950147073410699]"
Kauterhof,"[50.77951128145639, 4.870802016002238]"
Kerkstraat,"[50.76545013971588, 4.918612169902669]"
Kerselaarstraat,"[50.7899715848484, 4.83491619821596]"
Kessongracht,"[50.746036581470804, 4.925381792491915]"
Keulenstraat,"[50.78292154792178, 4.82974552042148]"
Klein Overlaar,"[50.7824536, 4.9019387]"
Kleinveldstraat,"[50.7575682690893, 4.918766031766457]"
Kloosterstraat,"[50.779467170566114, 4.900767586245537]"
Kluisveldstraat,"[50.769945669754335, 4.892636538613776]"
Koning Albertlaan,"[50.77349693451854, 4.893845603930852]"
Koningin Astridstraat,"[50.77719907771602, 4.893060350063591]"
Korenstraat,"[50.76700808079842, 4.919314382919615]"
Kumtichsesteenweg,"[""FOUT, geen straat gevonden""]"
Kwadestraat,"[50.78066162932868, 4.901282583155406]"
Lange Grachtstraat,"[50.78278377405275, 4.89797665672475]"
Lummenstraat,"[50.76395687007834, 4.9186513631952975]"
Maagdenblokstraat,"[50.77143842844311, 4.891010049820212]"
Meerstraat,"[50.784937049999996, 4.822437799999999]"
Meisjesschoolstraat,"[50.7658687, 4.91900315]"
Melkstraat,"[50.765811634225564, 4.920531971523369]"
Moerasstraat,"[50.789036068902355, 4.835511828474149]"
Molenstraat,"[50.792409794712036, 4.8435560630382]"
Mutsaardstraat,"[50.7662930061196, 4.832336509624411]"
Nerm,"[50.771444, 4.8714773]"
Oud-Strijdersstraat,"[50.7758217758079, 4.890406458827106]"
Overhemstraat,"[50.78762743584914, 4.825087473718265]"
Paardskerkhofstraat,"[50.78991336498384, 4.825705793387009]"
Pachthofclaesstraat,"[50.76429168760161, 4.918685849375632]"
Paenhuysbeekstraat,"[50.76904963955625, 4.918915984694516]"
Pastorijstraat,"[50.773597860394396, 4.889711438437036]"
Persstraat,"[50.7995290541279, 4.865591817547759]"
Piepelbergstraat,"[50.79804836240395, 4.879041172366714]"
Pietrainstraat,"[50.763094976283035, 4.919988243294742]"
Processieweg,"[50.78693312432334, 4.838504439142863]"
René Hendrickx-straat,"[50.78649956927575, 4.839428535037817]"
Residentie Das,"[""FOUT, geen straat gevonden""]"
Reugelstraat,"[50.78898195776084, 4.90215797698312]"
Ridder Iwein I-straat,"[50.7845323, 4.84187575]"
Ridderstraat,"[50.79718029305714, 4.874562851200388]"
Rommersom,"[50.7807756, 4.9155066]"
Schoorbroekstraat,"[50.77581921631137, 4.838337774390822]"
Sint-Jansstraat,"[50.800947550000004, 4.8801956]"
Sint-Niklaasstraat,"[50.76513898119711, 4.9180549972922485]"
Slachthuisstraat,"[50.775076773774195, 4.8990325868174684]"
St.-Ermelindisstraat,"[50.787522670993305, 4.83687411484934]"
St.-Laurentiusstraat,"[50.7879208513943, 4.840301502697031]"
St.-Rochusstraat,"[50.76818276483226, 4.9221539456462535]"
Stationsstraat,"[50.7738164, 4.8984153500000005]"
Stoopkensstraat,"[50.77870474937917, 4.892765514865737]"
Tiensestraat,"[50.77443007230675, 4.892721254248442]"
Tommestraat,"[50.77091766693653, 4.891734776532509]"
Tramstraat,"[50.785388758477, 4.842729118080443]"
Turfstraat,"[50.8018626138065, 4.877477919816662]"
Valleistraat,"[50.77336029962157, 4.875007212198078]"
Vroentestraat,"[50.77608615436781, 4.898642680387867]"
Walestraat,"[50.772808850000004, 4.886705]"
Waversesteenweg,"[50.789500831746764, 4.857381629321358]"
Wijngaardstraat,"[50.7775317, 4.8916068]"
Zavelkuilstraat,"[50.77572828541985, 4.904937700967006]"
Zavelputtenstraat,"[50.77851829783048, 4.885499328208164]"
