Straat,Coordinaten
Acacialaan,"[50.764669312935325, 4.455788642194649]"
Albert Biesmanslaan,"[50.7676191, 4.474493150000001]"
Albert I laan,"[50.76027644544733, 4.456561185308278]"
Albert Rowiesstraat,"[""FOUT, geen straat gevonden""]"
Albert Vanlaethemstraat,"[50.7598229, 4.46908105]"
Alexis Mousinstraat,"[50.766103394158485, 4.477098931441257]"
Amerikalaan,"[50.76635746093002, 4.458493448249858]"
Baron Jacques de Dixmudestraat,"[""FOUT, geen straat gevonden""]"
Baron de Man d'Attenrodestraat,"[50.7658572, 4.4703598499999995]"
Begonialaan,"[50.763117550000004, 4.4693187]"
Berenweg,"[50.77734430002969, 4.444516686720704]"
Bergstraat,"[50.7709568848119, 4.478336699008302]"
Berkewegel,"[50.76161916426598, 4.460697850895424]"
Beukenlaan,"[50.76312994257137, 4.495263700722971]"
Blijde Inkomstlaan,"[50.76231513322221, 4.500698857384507]"
Blokveldstraat,"[50.771744100103206, 4.460410542958524]"
Booglaan,"[50.76510104609633, 4.49710808309018]"
Boomgaardlaan,"[50.76595028102372, 4.498974391443295]"
Borchvijverweg,"[50.76781845, 4.47609505]"
Borreweg,"[50.768241700000004, 4.4748366]"
Bosduivenweg,"[""FOUT, geen straat gevonden""]"
Braambospad,"[""FOUT, geen straat gevonden""]"
Bremmenweg,"[""FOUT, straat in foute gemeente gevonden""]"
Brigadierweg,"[50.753069477196775, 4.430399827077326]"
Broederlijkheidstraat,"[50.75580332339648, 4.488999312781241]"
Brugstraat,"[50.76342483048574, 4.459960746083449]"
Brusselsesteenweg,"[50.77540132237502, 4.4597264478498]"
Bundersdreef,"[50.775760900556854, 4.426136379377346]"
Charles Coppensstraat,"[50.761661544836564, 4.471611923085911]"
Charles Melottestraat,"[50.76149064976431, 4.463325150072716]"
Delleblokweg,"[50.75981668002995, 4.471691481220777]"
Denappelweg,"[""FOUT, geen straat gevonden""]"
Druivenlaan,"[50.769269925651976, 4.46002365165424]"
Duboislaan,"[50.765158087777266, 4.4296510939907385]"
Désiré Vandervaerenstraat,"[50.766490471640836, 4.475113804859852]"
Edgard Sohiestraat,"[50.771319993782946, 4.47707477671993]"
Edmond Vandervaerenstraat,"[50.773195894763944, 4.465190307066936]"
Eendrachtlaan,"[50.7651243, 4.48962845]"
Emile Vandenbroeckstraat,"[50.766885175036684, 4.475059385887884]"
Engelselaan,"[""FOUT, geen straat gevonden""]"
Ernest Claeslaan,"[50.77212144353477, 4.474161998779948]"
Europalaan,"[50.76541948922221, 4.501090612636068]"
Fazantenlaan,"[50.76238027944131, 4.496299849131216]"
Felix Sohiestraat,"[50.769726502204584, 4.473361269723916]"
Felix Timmermanslaan,"[50.7705843604106, 4.474301638076361]"
Fernaasstraat,"[50.761041040842755, 4.473934797907541]"
Forendijs,"[50.76196733912021, 4.504739286902515]"
Gemeenteplein,"[50.76771605839416, 4.472543026959153]"
Geneesheerstraat,"[50.763469094760104, 4.476372498334161]"
Generaal Lemanstraat,"[50.7559534578634, 4.471206456162723]"
Georges Huynenstraat,"[50.7620377912023, 4.459454567236462]"
Gladiolenlaan,"[50.76202883365375, 4.463325344980765]"
Groenendaalsesteenweg,"[50.768105332338145, 4.445502531917583]"
Groenlaan,"[50.761900114406814, 4.50060302233735]"
Guillaume Dekleermaekerstraat,"[""FOUT, geen straat gevonden""]"
Guldensporenlaan,"[50.75639927701283, 4.473549119205699]"
Hazendreef,"[50.753205534800266, 4.474452766177828]"
Henri Caronstraat,"[50.76770528816468, 4.473464453858169]"
Herman Teirlincklaan,"[50.7713026, 4.47415475]"
Hertenlaan,"[50.77737665, 4.45366785]"
Hoefijzerlaan,"[50.76112812401871, 4.501638508899165]"
Hoeilaartseweg,"[50.75387586077013, 4.483287666359407]"
Hoevelaan,"[50.76757842643936, 4.499116204896265]"
Hoge Heide,"[50.761994784338484, 4.480471203082783]"
Hortensialaan,"[50.761814882351025, 4.458188592198704]"
Hutdelle,"[50.75653423443232, 4.475887926549701]"
Hyacintenlaan,"[50.76091985091684, 4.458209457196996]"
Ijzerstraat,"[50.7594844, 4.46650885]"
Ildefonse Vandammestraat,"[50.76618078276746, 4.450291146989614]"
J. B. Blommaertstraat,"[""FOUT, geen straat gevonden""]"
J. B. Charlierlaan,"[50.76657882181359, 4.4635646286117066]"
J. B. Deridderstraat,"[50.76348487984511, 4.473587434711974]"
J. B. Devisstraat,"[50.76610193953159, 4.464066136977028]"
J. B. Michielsstraat,"[50.764428137497426, 4.467971772538082]"
Jachtlaan,"[50.7661867779993, 4.501996982620679]"
Jan Baptist Denayerstraat,"[50.761501567829384, 4.47724062981031]"
Jan Lindtsstraat,"[50.777906155015955, 4.46419747293197]"
Jan van Ruusbroecpark,"[50.76560528465499, 4.473511726747267]"
Jean Velgestraat,"[50.76322485, 4.4582009]"
Jezus-Eiksesteenweg,"[50.77615266183076, 4.475893501850276]"
Joannes Ruysbroeckweg,"[""FOUT, geen straat gevonden""]"
Joseph Denayerstraat,"[50.76963624194723, 4.471623895119456]"
Joseph Jolystraat,"[50.76719256813443, 4.47183443972001]"
Joseph Kumpsstraat,"[50.76466011447289, 4.505036184782144]"
Josephinedreef,"[50.7415552, 4.433083549999999]"
Josse Biesmansstraat,"[50.77050877255321, 4.467718813349644]"
Jules Delcordestraat,"[50.768633194203346, 4.463643997914639]"
Kapelstraat,"[50.7697339, 4.4822874]"
Karrenbergstraat,"[50.768295497224344, 4.457890228840386]"
Kasteelstraat,"[50.76606656573622, 4.465204743957217]"
Keizersberg,"[50.7695516406435, 4.477878254046632]"
Keizerstraat,"[50.774052864090315, 4.478767078591996]"
Kellenborrestraat,"[50.764520563930496, 4.485372446855568]"
Kelleveldweg,"[50.76347878849128, 4.487773575659506]"
Kerkstraat,"[50.76746325547145, 4.471008773807408]"
Klein Vuurgatstraat,"[50.77732891914691, 4.473710122124237]"
Kloosterweg,"[50.7657195, 4.4365423]"
Knipsterweg,"[50.7593771955472, 4.4725137489819335]"
Koedaalstraat,"[50.77104316864182, 4.483530666086593]"
Koldamstraat,"[50.76850434876659, 4.476915846737745]"
Kolenbranderslaan,"[50.766378957382265, 4.49235807969702]"
Kortestraat,"[50.7784212, 4.47558465]"
