Straat,Coordinaten
't Chringhene,"[50.99618987974849, 3.0930451229634635]"
Adelson Vermanderstraat,"[50.980825418801324, 3.083391927338695]"
Ajoy Van Deurenstraat,"[50.996904869182515, 3.1190585420506616]"
Akkerstraat,"[50.976707112129425, 3.0707705772978096]"
Albert Claudestraat,"[50.97197165, 3.1082282]"
Amersveldestraat,"[51.00105146685172, 3.0360806539003806]"
Azaleastraat,"[50.98103905, 3.0855871500000003]"
Bakkerijstraat,"[50.97995759089907, 3.085726791036235]"
Begoniastraat,"[50.98225381915416, 3.0852600743671585]"
Bergdal,"[50.997332882507024, 3.1072337298769637]"
Bergstraat,"[50.98978420814858, 3.05080759592566]"
Berkenstraat,"[50.99224465, 3.09714185]"
Beukenstraat,"[50.99255457122599, 3.099244776275556]"
Beverenstraat,"[50.974615400000005, 3.10359665]"
Blauwvoetstraat,"[50.97592692073866, 3.087468988832892]"
Bollestraat,"[50.98468244975652, 3.12376623825946]"
Bosstraat,"[50.994739041190954, 3.127807077716179]"
Brasstraat,"[50.99041595617125, 3.1417004605253736]"
Breemeerschstraat,"[50.97351013490703, 3.0733334511321386]"
Bruggesteenweg,"[50.97760985, 3.1189076499999997]"
Bruggestraat,"[50.9909084, 3.1171396]"
Burgemeester Lievenspad,"[50.995593647031235, 3.0950338076160664]"
Cantecleerstraat,"[50.97639986801523, 3.071181082045944]"
Christian De Duvestraat,"[50.97097239570608, 3.1085921908593694]"
Clemens Carbonstraat,"[50.99578732170312, 3.098590714743041]"
Corneel Heymansstraat,"[50.97170375449233, 3.1117447875567503]"
De Meibloeme,"[50.9804807, 3.0774431]"
Delaeystraat,"[51.00110718539217, 3.0361834920643975]"
Diksmuide Boterweg,"[51.00606084329563, 3.0945403845839627]"
Diksmuidesteenweg,"[50.957276050000004, 3.0820033000000002]"
Driewegenstraat,"[50.99766117135016, 3.0848914653802297]"
Drogenbroodstraat,"[51.00010013647419, 3.0483016928190416]"
Engelshofstraat,"[51.00002954190415, 3.1341939555804204]"
Geitestraat,"[50.99595800688371, 3.0410535802693133]"
Gitsbergstraat,"[50.9966225, 3.0956500499999997]"
Gravenwegel,"[50.96720346967486, 3.052899398135721]"
Grijspeerdstraat,"[51.010785500000004, 3.08141575]"
Grote Hazewindstraat,"[50.98519056579858, 3.056428958166527]"
Grote Noordstraat,"[51.005666140978725, 3.066657026390994]"
Grote Stadenstraat,"[50.983589171296416, 3.060191887441043]"
Gudrunstraat,"[50.997434941135374, 3.108321664741885]"
Guido Gezellestraat,"[50.98007875445089, 3.083885663492351]"
H.Sacramentstraat,"[""50.996457323760204"", ""3.0968166976673066""]"
Hagebroekstraat,"[50.9989618545723, 3.1093919619833907]"
Hardenburg,"[50.999141508917, 3.0338718697977165]"
Hazelstraat,"[51.001654193730445, 3.1026068575381327]"
Heistraat,"[51.00562379869399, 3.1384649255178325]"
Henri Dunantstraat,"[50.97372121099758, 3.113138940676296]"
Hillebosstraat,"[""FOUT, geen straat gevonden""]"
Hillemolenstraat,"[51.00277115, 3.0293840999999997]"
Hogestraat,"[50.98507849298804, 3.0682028921900044]"
Honingstraat,"[51.009363598647376, 3.0915797776663094]"
Honzebrouckstraat,"[50.9711091104763, 3.1074331693950064]"
Hugo Verrieststraat,"[""50.98201888569977"", ""3.0832505697722583""]"
Ieperstraat,"[""50.96899101334512"", ""3.068201981622407""]"
Inkelstraat,"[50.997947508587, 3.034040936234739]"
Jacob van Maerlantstraat,"[50.999392571128844, 3.107474574547118]"
Jan van Halewynstraat,"[50.99980026559207, 3.1094429887920856]"
Johny Thiostraat,"[50.97823002419501, 3.0857950540023618]"
Jules Bordetstraat,"[50.9725279, 3.10985315]"
Kandelaarstraat,"[""50.98224049149466"", ""3.0976723214574875""]"
Kapellestraat,"[50.99669691745221, 3.0964776616483305]"
Kard. Cardijnstraat,"[50.98081865225577, 3.0840857982581467]"
Kasteelstraat,"[50.98005153396788, 3.0746070986899743]"
Katelynestraat,"[50.97405536367152, 3.090503459099167]"
Kerelstraat,"[50.9761419, 3.0885277500000003]"
Kerkebrugstraat,"[50.98441358167505, 3.042544719109456]"
Kerkstraat,"[50.98052210318498, 3.082359275858234]"
Klauwaertstraat,"[50.974696082900174, 3.088949433841645]"
Kleine Hazewindstraat,"[50.99052930573838, 3.0404085315064324]"
Kleine Noordstraat,"[50.99034268228527, 3.0677414036701895]"
Kleine Stadenstraat,"[50.97741767257655, 3.071327947646099]"
Klijtgatweg,"[51.00559540466166, 3.1354917600299896]"
Klinkestraat,"[""FOUT, geen straat gevonden""]"
Knapenstraat,"[50.975693217781064, 3.0878229599905165]"
Koningstraat,"[""50.9732106"", ""3.0745749""]"
Koolskampstraat,"[50.99429541624057, 3.123192820641646]"
Korenstraat,"[50.98065632640069, 3.072565442340831]"
Kortemarkstraat,"[50.98783801503993, 3.0575981582019347]"
Kruiskalsijdestraat,"[50.99736811858985, 3.117133032169311]"
Leenbosstraat,"[51.008717568303055, 3.0711155282853637]"
Leliestraat,"[50.9828789, 3.0847825999999996]"
Lepelstraat,"[50.98366387278034, 3.0893939528010734]"
Lichtervelde Binnenweg,"[51.00899503503032, 3.1157822798907007]"
Liebeekstraat,"[""50.97852705706923"", ""3.120955217724109""]"
Lindenstraat,"[50.9931483, 3.0968218]"
Marie Curiestraat,"[50.97156823720583, 3.1090768177996413]"
Marktplaats,"[50.978567299999995, 3.0814009999999996]"
Meiboomstraat,"[50.965164532066304, 3.0783024630737126]"
Mgr. Verfailliestraat,"[50.98145846173317, 3.083926726372011]"
Middenstraat,"[51.00017407135569, 3.1072602794934463]"
Molenstraat,"[50.98224323435194, 3.0974882745591223]"
Nelestraat,"[50.973785302091656, 3.089637952714466]"
Nieuwkerkestraat,"[50.97610591572677, 3.0805223405627347]"
Nieuwplaats,"[50.99687779415472, 3.0972137535755797]"
Noordabeelstraat,"[51.00927821816334, 3.0788620499431403]"
Ogierlandestraat,"[50.99884486490244, 3.110398853112184]"
Olieslagerijstraat,"[""FOUT, geen straat gevonden""]"
Ommegangstraat,"[50.983163267041505, 3.0726383623126727]"
Ondankstraat,"[50.9803007, 3.0872619]"
Onledestraat,"[51.00591736541585, 3.1251400996665835]"
Oude Gentstraat,"[51.00570386279239, 3.0645867956572994]"
Oude Rozebekestraat,"[50.97645866138969, 3.076515336132711]"
Oude Torhoutstraat,"[50.99522191011133, 3.0298423961148857]"
Pelikaanstraat,"[50.978173086865695, 3.088273206241296]"
Peter Benoitstraat,"[50.98258427842111, 3.082859772904396]"
Plataanstraat,"[50.99294715, 3.09553745]"
Populierstraat,"[50.99215465, 3.0959931000000003]"
Priamusplein,"[50.99526965, 3.09830905]"
Processiestraat,"[50.96885597133444, 3.0441044697195205]"
Reynaertstraat,"[50.977319701755206, 3.075336825152265]"
Rodenbachstraat,"[50.976524698063166, 3.0881730429239522]"
Rodolf Callewaertstraat,"[50.99500578854486, 3.101610494787023]"
Roelandstraat,"[50.9752431135227, 3.0892413272617616]"
Roeselarestraat,"[50.96411248702062, 3.0939261793909973]"
Roger Deceuninckstraat,"[50.975752948180464, 3.1095893593775332]"
Roibaardstraat,"[50.99999845000001, 3.0329026]"
Rozenstraat,"[50.98084729316036, 3.0864973142649434]"
Schoolstraat,"[50.97947908752936, 3.077944941513663]"
Schuddebeurzestraat,"[50.972575433419024, 3.0468386920786448]"
Singellaan,"[50.99617211545533, 3.099972001125452]"
Sint-Elooistraat,"[50.99874884537455, 3.1075123003086964]"
Spanjaardstraat,"[""50.99497035973537"", ""3.0323575123699182""]"
Spoorwegstraat,"[51.00475268105857, 3.1247393630449545]"
St. Tillostraat,"[50.99833664096942, 3.107392417056196]"
Stationsstraat,"[50.99825172700237, 3.1079193466777144]"
Stevenistenstraat,"[50.99972135647955, 3.1112326840760742]"
Stoomtuigstraat,"[50.98384443185131, 3.120982684367654]"
Ter Kerst,"[50.9918529, 3.129475990495207]"
Theresia Vancanneytstraat,"[50.9982237, 3.0983817499999997]"
Tibeertstraat,"[50.97617300794899, 3.072915316411192]"
Tijlstraat,"[50.9734416, 3.08838925]"
Torhoutstraat,"[50.99726458556624, 3.096046475187617]"
Tulpenstraat,"[50.981311000000005, 3.0865305]"
Turkeyenstraat,"[51.00989387300418, 3.1032967704389023]"
Uilenspiegelstraat,"[50.97457654890228, 3.0875512588330416]"
Van Arteveldestraat,"[50.97497688158053, 3.089817770303678]"
Veldstraat,"[50.98185231997284, 3.0755701581717365]"
Vierstraat,"[50.99675097299025, 3.041836923949672]"
Vikingstraat,"[50.97525587842129, 3.087111053951753]"
Vleterstraat,"[50.99728038658178, 3.127991323751901]"
Voskensstraat,"[50.9777254, 3.08391145]"
Warden Oomstraat,"[50.977535814345316, 3.0820874262527527]"
Wilgenstraat,"[50.99322689553258, 3.0984096033516733]"
Wulfhoekstraat,"[50.967090482580694, 3.0606107183351154]"
Yokkerstraat,"[50.97856547279703, 3.0557283315404726]"
Zouavenstraat,"[50.97894843696854, 3.073584583513926]"
