Straat,Coordinaten
A. Van Looplein,"[51.06236706041305, 4.823365846623749]"
Aarschotsebaan,"[51.03821683095782, 4.7901283284106935]"
Amerveldstraat,"[51.057037474899424, 4.801240177626765]"
Anjerstraat,"[51.07049351914998, 4.800282945016146]"
Bedrijvenstraat,"[51.08328029445112, 4.810189340108297]"
Beekstraat,"[51.05573055325638, 4.838117034370541]"
Beemdenstraat,"[51.07299175419348, 4.786607448573102]"
Bertelsbroekstraat,"[51.06609785, 4.79004495]"
Binnengoor,"[51.06137866251738, 4.861386746102545]"
Blokstraat,"[51.06938116547751, 4.827637433265848]"
Booischotsestraat,"[51.0512774362692, 4.796325567017972]"
Booischotseweg,"[51.0619583, 4.7875019]"
Borgerhoutstraat,"[51.07734085, 4.79290655]"
Bosmansstraat,"[51.05870985103995, 4.828498111875171]"
Bospleinstraat,"[51.06758545748004, 4.820668814202869]"
Boterheidestraat,"[51.03918772273537, 4.7984212621042035]"
Branddijk,"[51.0627073697558, 4.862526311123224]"
Bremstraat,"[51.065304874294924, 4.86271341824938]"
Broedersstraat,"[51.04276366848832, 4.806832548307843]"
Broekdreef,"[51.06414538318896, 4.818186757789615]"
Brouwerijstraat,"[51.07705012668074, 4.784085201766551]"
Bruggeneindse Heivelden,"[51.07841130745111, 4.783473562750727]"
Bruiersveld,"[51.03907632202176, 4.801827466842008]"
Bruulstraat,"[51.07028031513086, 4.799577902998245]"
Bundersstraat,"[51.06165545583241, 4.84228318094358]"
Ceulemansstraat,"[51.07617418310301, 4.807749591664057]"
Conservenstraat,"[51.06065212419352, 4.8210532182951855]"
Corbeillestraat,"[51.06320512069598, 4.823181308353258]"
De Briel,"[51.05058321928259, 4.801456073614362]"
De Schrans,"[51.04319852633166, 4.810158268778148]"
Dennendijk,"[51.059888410440095, 4.854111858313191]"
Donkenstraat,"[51.0501440178544, 4.808963056136508]"
Doodsbroekstraat,"[51.0763283161174, 4.786168304711112]"
Door Van Dijckstraat,"[51.05671345541759, 4.832493177697216]"
Dreef,"[51.06249990097474, 4.837752204310507]"
Eikenbroekstraat,"[51.076062128614105, 4.77842554607687]"
