Straat,Coordinaten
'S Gravendriesschelaan,"[51.1338869, 3.0309699]"
Aartrijkestraat,"[51.1240827, 3.0314765]"
Abdijstraat,"[51.0960653, 3.0091646]"
Achterstraat,"[51.1284566, 3.0332844]"
Akkerbeekstraat,"[51.1306295, 3.0177859]"
Alfons Pierlootstraat,"[51.1306633, 3.0221857]"
Arthur Coussensstraat,"[51.0868607, 3.0219866]"
Asstraat,"[51.1048038, 3.0133482]"
August Vermeylenstraat,"[51.1343707, 3.0213829]"
Bekegemstraat,"[51.1462141, 3.042819]"
Bekeputstraat,"[51.1119899, 3.0367252]"
Belleboslaan,"[51.1323083, 3.0301514]"
Bergstraat,"[51.0763653, 3.0088873]"
Berkenlaan,"[51.135286, 3.0275045]"
Beukendreef,"[51.1062557, 3.0051867]"
Bevrijdingsweg,"[51.160169, 3.0349892]"
Biezestraat,"[51.1200865, 3.0097963]"
Blindenstraat,"[51.0829006, 3.0402014]"
Boomgaardstraat,"[""51.10614669669544"", ""3.03815070014244""]"
Boomplein,"[51.1286318, 3.0188712]"
Bosstraat,"[51.1541429, 3.058626]"
Boudewijn Vandervennetstraat,"[51.1310793, 3.0223635]"
Bourgognedreef,"[51.1436356, 3.0234878]"
Boussemareweg,"[51.1244938, 3.0091712]"
Brouwerijstraat,"[51.091987, 3.0070672]"
Bruggestraat,"[51.1318941, 3.0355283]"
Daliastraat,"[51.1260613, 3.0288222]"
Diksmuidebaan,"[51.0854729, 3.0573282]"
Dokter Bruwierlaan,"[51.0909186, 3.0159166]"
Doornhoekstraat,"[51.1526203, 3.0565155]"
Dorpstraat,"[51.1588628, 3.0505639]"
Dr.Bruwierplein,"[51.0926719, 3.0121549]"
Duinestraat,"[51.1604587, 3.0521477]"
Dwarsstraat,"[51.0885707, 3.0586902]"
Eernegem-Markt,"[51.1295864, 3.0263655]"
Eernegemstraat,"[51.1103603, 3.0120143]"
Eikenlaan,"[51.1317977, 3.0302042]"
Emiel Coolslaan,"[51.1318731, 3.0256062]"
Engelstraat,"[""51.1000295"", ""3.0303418""]"
