Straat,Coordinaten
A19,"[50.87254495, 2.92278355]"
ABC-straat,"[50.849226624523, 2.8854714879161802]"
Aalmoezeniersstraat,"[50.847986290240065, 2.891294137864942]"
Aardestraat,"[50.848782650000004, 2.87880505]"
Abdijmolenstraat,"[50.8122294723785, 2.865855345981274]"
Abdijstraat,"[50.81707504730567, 2.876987610567296]"
Abelestraat,"[50.84125191538598, 2.826424746055103]"
Acacialaan,"[50.856418678235535, 2.8967174558043007]"
Adriaansensweg,"[50.85351591073216, 2.857888650249088]"
Ambachtenstraat,"[50.85124848989362, 2.894244709340375]"
Anjelierenlaan,"[50.84830173003219, 2.8689999608415135]"
Appèlstraat,"[50.848930550000006, 2.8801510500000003]"
Aquapad,"[50.854860949045104, 2.9049436132473403]"
Aquastraat,"[50.854128432783014, 2.904647718649589]"
Armentierseweg,"[50.810175699999995, 2.89142085]"
Arsenaalstraat,"[50.8457911, 2.88615625]"
Astridpark,"[50.85277375, 2.884881983069298]"
Augustijnenstraat,"[50.85487158987085, 2.8704926679215137]"
Aurorastraat,"[50.85427554611707, 2.906986018157623]"
Azalealaan,"[50.84629432496941, 2.8741031393278034]"
Bardoncstraat,"[50.8527706, 2.9049661]"
Bargiestraat,"[50.885479212827505, 2.8733474461434545]"
Barmstraat,"[50.89669919528291, 2.862129169966025]"
Bartierstraat,"[50.81756752256311, 2.8793929910338973]"
Basculestraat,"[50.855578877450526, 2.8908331689863607]"
Beeldenplein,"[50.85602775, 2.8861087999999997]"
Begijnenbosstraat,"[50.854352510169285, 2.9312852473644644]"
Begijnenstraat,"[50.84882105, 2.87169565]"
Belijnstraat,"[50.84289801093935, 2.8658505659415816]"
Bellepoortpad,"[50.84794578335011, 2.8819554858411]"
Bellestraat,"[50.85226068361962, 2.8228155609316268]"
Belletstraat,"[50.85419910647255, 2.8714269527639518]"
Bellewaardebeekpad,"[50.86143005601733, 2.8962932977460003]"
Bellewaardestraat,"[50.848652924273324, 2.942836859012095]"
Beluikstraat,"[50.850911329928046, 2.879667802778607]"
Berkenwijk,"[50.82222205, 2.8303184000000003]"
Bernikkewallepad,"[50.81170944447151, 2.9178363957689126]"
Bernikkewallestraat,"[50.81287017174334, 2.9123611715193216]"
Beukenhorstweg,"[50.84338401313756, 2.957378267185157]"
Beukenlaan,"[50.857364844283936, 2.8961351112363616]"
Beurzestraat,"[50.84590745, 2.89105235]"
Bierboomstraat,"[50.80700661440817, 2.9367371177329864]"
Bijlanderpad,"[50.842184179320036, 2.876828358775946]"
Bikschotestraat,"[50.89785838048262, 2.885728232501895]"
Binnenweg,"[50.896734352724636, 2.8425069805891248]"
Bisdomstraat,"[50.841479621349016, 2.862673827499872]"
Blauweleliestraat,"[50.85388809555663, 2.8846411849942393]"
Blauwepoortstraat,"[50.8310549799847, 2.911958868346585]"
Blauwhofdreef,"[""FOUT, geen straat gevonden""]"
Blekeriestraat,"[50.85098915187329, 2.8929430297382095]"
Blindeliedenstraat,"[50.847189753850586, 2.886702282766199]"
Bloemendale,"[50.89759309536717, 2.851730507385783]"
Bloemenstraat,"[50.851439850000006, 2.892952]"
Blomfieldpad,"[""FOUT, geen straat gevonden""]"
Blérotstraat,"[50.80698981369694, 2.860658392359582]"
Boezingepoortstraat,"[50.85274706939292, 2.883416665738513]"
Boezingestraat,"[50.890843784166734, 2.840513358909151]"
Bollemeersstraat,"[50.885159699999996, 2.8140513]"
Bollingstraat,"[50.85192048190101, 2.89063181210242]"
Bolwerkstraat,"[50.84665958725309, 2.898978660346737]"
Boomgaardstraat,"[50.849692899999994, 2.88493495]"
Boterstraat,"[50.8504844, 2.883982]"
Boudewijnlaan,"[50.853421714971496, 2.8614226731777688]"
Bourgondiëpad,"[50.88379431732886, 2.821609931151316]"
Bourgondiëstraat,"[50.883642706304336, 2.8208076783246168]"
Brakkestraat,"[50.85394532076726, 2.885621997307449]"
Breugheldreef,"[50.861150093536175, 2.870975607847447]"
Breydelhofstraat,"[50.868566986475656, 2.8454635924702836]"
Briekestraat,"[50.86692678659006, 2.8965960692678396]"
Brielenstraat,"[50.86259594381811, 2.841797549696]"
Brouwerijweg,"[50.88154969632487, 2.824231607441732]"
Brugseweg,"[50.8595804, 2.8967323]"
Brugstraat,"[50.80433173328011, 2.9138825820568575]"
Bukkersstraat,"[50.84515790115163, 2.8914449457294893]"
Burchtstraat,"[50.849847062259734, 2.885564676606202]"
Burggraafstraat,"[50.84737440206192, 2.889262518338528]"
Canadalaan,"[50.84021554986605, 2.9378209317310104]"
Capronstraat,"[50.85098080338886, 2.875594716944286]"
Capucienenstraat,"[50.84563004417245, 2.8691150694884704]"
Cartonstraat,"[50.85328222966866, 2.887101344084308]"
Casselstraat,"[50.852354044433824, 2.8102154933324153]"
Cichoreistraat,"[50.80608938181458, 2.939994987180586]"
Citadelstraat,"[50.848566500000004, 2.89931295]"
Colaertplein,"[50.8482307662657, 2.878645599871772]"
Coomansstraat,"[50.85072245, 2.8846727999999997]"
Coombspad,"[50.847345551568566, 2.8827387168680145]"
Crescendostraat,"[50.84359855466187, 2.872432991152655]"
D'Hondtstraat,"[50.85010483797417, 2.8875536774333694]"
Dambrestraat,"[""FOUT, geen straat gevonden""]"
De Bolaan,"[50.8882995, 2.81212105]"
De Brouwerstraat,"[50.85292460661977, 2.884287464389623]"
De Busscherestraat,"[50.8520033, 2.8672373999999996]"
De Clerckstraat,"[50.85280253269509, 2.86786363284392]"
De Montstraat,"[50.8474375, 2.88411665]"
Dehaernestraat,"[50.848318557779464, 2.885462633238897]"
Dehemlaan,"[50.86073294214965, 2.889614141710292]"
Dehempad,"[""FOUT, geen straat gevonden""]"
Dekemelelaan,"[50.895714450575696, 2.8618276763951487]"
Delaerestraat,"[50.85294171434988, 2.885463178441963]"
Depatinstraat,"[50.81780531318128, 2.8748789320811716]"
Diamantstraat,"[50.85421505647739, 2.893573590988257]"
Dikkebusseweg,"[50.81811078357487, 2.824370607774768]"
Dikkebusvijverdreef,"[50.821984362707994, 2.8478235961814704]"
Dikkebusvijverpad,"[50.84448655, 2.8695002]"
Diksmuidestraat,"[50.85421736018841, 2.886604665457055]"
Diksmuidseweg,"[50.86978605, 2.87330505]"
Doorgangstraat,"[50.84919410300169, 2.8792946150675323]"
Driegoenstraat,"[50.841011732683604, 2.7981540960434756]"
Driekoningenpad,"[""FOUT, geen straat gevonden""]"
Driemolenstraat,"[50.8525467238463, 2.9060393135588685]"
Drietorenweg,"[50.86927383361896, 2.843099887455907]"
Duivenstraat,"[50.85793612198994, 2.893423376942096]"
Dunantlaan,"[50.85396285500573, 2.8595976113278363]"
Eekhofstraat,"[50.806417132950266, 2.918511339581929]"
Eigenheerdstraat,"[50.850541083962014, 2.8782401276506455]"
Eikenlaan,"[50.857942559889906, 2.896437419611745]"
Eiland,"[50.84688493292152, 2.8811618136398347]"
Elverdingestraat,"[50.852036254883245, 2.881136910588244]"
Elzendammestraat,"[50.88546931284683, 2.784719936607744]"
Elzenwallestraat,"[50.81632121729357, 2.8663136791110206]"
Esplanade,"[50.847956544469575, 2.8791998305149837]"
Europalaan,"[50.831858883247016, 2.876728287028204]"
Fabiolalaan,"[50.8543933611095, 2.863504841516209]"
Faunapad,"[50.85624906379658, 2.902948918527447]"
Faunastraat,"[50.85585249858603, 2.9031460256529646]"
Fazantenlaan,"[50.84772740698275, 2.8643826407737953]"
Fiersstraat,"[50.8506221, 2.87757285]"
Florastraat,"[50.85563203290937, 2.904944451752731]"
Fochlaan,"[50.84987214428215, 2.8761399824042395]"
Frenchlaan,"[50.85221759741836, 2.892358665930122]"
Frezenbergstraat,"[50.83863859295373, 2.8633056293250605]"
Galgestraat,"[50.86098987871316, 2.7790365258984537]"
Gasthuisstraat,"[50.875477995399116, 2.791968989941729]"
Geelgorslaan,"[50.8440273, 2.8624861999999998]"
Gevangenisstraat,"[50.85073882811218, 2.888409567783715]"
Gezelleplein,"[50.8499987, 2.8904908]"
Gezellestraat,"[50.855731034622046, 2.826103747008332]"
Gildenstraat,"[50.851763770700515, 2.894873595673074]"
Goesdamstraat,"[50.849779850000004, 2.8754131999999997]"
Goossensstraat,"[50.85297997237862, 2.8648569518464817]"
Goudenpoortstraat,"[50.84852004722711, 2.8883193382420043]"
Goudenvioolstraat,"[50.850173950000006, 2.8862111]"
Graafschapstraat,"[50.84197500949359, 2.8644098683461365]"
Grachtstraat,"[50.84982155247851, 2.875792086539429]"
Grasmuslaan,"[50.84452812926934, 2.8647285121094135]"
Grenadiersstraat,"[50.92187898532097, 2.832801103583784]"
Griettensstraat,"[50.85315168115863, 2.870692691797553]"
Grimminckstraat,"[50.84532729454565, 2.891073809484838]"
Groenejagerstraat,"[50.822605241952786, 2.8362677770022207]"
Groenestraat,"[50.8669802093501, 2.90145824476556]"
Groezeweg,"[50.8536057, 2.82863205]"
Grote Branderstraat,"[50.85091343878007, 2.7931677283769085]"
Grote Markt,"[50.851210050000006, 2.8862186600536095]"
Haiglaan,"[50.852152776257206, 2.875684552256395]"
Hallebaststraat,"[50.80913123425455, 2.8306876527126503]"
Hamiltonpark,"[50.84443609265104, 2.88194800230121]"
Hanebroekweg,"[50.88273285048505, 2.821710777293064]"
Harpestraat,"[50.850873699999994, 2.8886789]"
Hazenbilk,"[50.82238724839649, 2.8350307046775094]"
Hazewindstraat,"[50.8477257, 2.8437019]"
Heidestraat,"[50.88566651034548, 2.8247882175226087]"
Heilige-Geestbosweg,"[50.82294805299521, 2.8579027070800724]"
Heilige-Geeststraat,"[50.85449445, 2.88703635]"
Helakker,"[50.8568266298726, 2.8706208943447993]"
Hemelrijkstraat,"[50.88892472406571, 2.907995386411285]"
Herejanstraat,"[50.8517593, 2.8814939]"
Herenthagestraat,"[50.83445161598212, 2.964364495536014]"
Hoge Akkerweg,"[50.85205996601455, 2.8342438733101036]"
