Straat,Coordinaten
Acaciaplein,"[50.92352074415486, 3.2578512328431066]"
Albrecht Rodenbachstraat,"[""50.92479883858928"", ""3.2575866849986594""]"
Anemonenstraat,"[50.926924195701005, 3.250771603823802]"
Anzegemse route,"[50.90806775, 3.2626672]"
Bakkersstraat,"[50.91076942931393, 3.2486964267614864]"
Beelshoek,"[50.91938588814745, 3.290265898815054]"
Beenhouwersstraat,"[""50.91332477873935"", ""3.2503069729671417""]"
Beneluxstraat,"[50.9096972379036, 3.2644078418153923]"
Berkenstraat,"[50.927317057697344, 3.2448886712011773]"
Beukendreef,"[50.92077056875756, 3.2463027201517196]"
Bilkstraat,"[50.94079608607034, 3.2368376454180066]"
Boerderijstraat,"[50.90681575, 3.25721155]"
Bollewerpstraat,"[50.9224669, 3.26237525]"
Bosviooltjesstraat,"[50.92793409468358, 3.2470142395135673]"
Boterbloemstraat,"[50.92575445, 3.2488091]"
Bouwke,"[50.933317049132356, 3.262553920899465]"
Bremstraat,"[50.92733279060764, 3.251445030081773]"
Brigandsstraat,"[50.9117307889318, 3.2596324389381226]"
Broekhoek,"[50.91527742572667, 3.2580279541128205]"
Brouwershof,"[50.92045126840502, 3.2596260011080447]"
Bruggestraat,"[50.946900930404816, 3.247518291527137]"
Bruinbeekstraat,"[50.9242709629303, 3.242004171397549]"
Camiel Verhammestraat,"[50.928101277619206, 3.2450073214324675]"
De Hoogte,"[50.93657739496645, 3.247204658284999]"
De Montblancplein,"[50.92409699871802, 3.2500724846284905]"
De Ring,"[50.9323368, 3.25264985]"
Deefakkerstraat,"[50.93757087819258, 3.2639886439349928]"
Doelstraat,"[50.921956390541006, 3.2490793042869544]"
Dokter Lauwersstraat,"[50.92349238343156, 3.2430825477584646]"
Doornroosjestraat,"[50.92789888106333, 3.2482440276239775]"
Dossestraat,"[50.93688329830972, 3.2542102950905094]"
Dovenetelstraat,"[50.92721719411992, 3.2468286298984377]"
Duikerstraat,"[50.9039214538281, 3.2483968040090985]"
Edelweissstraat,"[50.9262678, 3.25056915]"
Elfjulisingel,"[50.92833568909553, 3.2496312916700876]"
Elsstraat,"[50.902215789304755, 3.268307265155863]"
Europastraat,"[50.911669435831946, 3.264363488003511]"
Fortstraat,"[50.91522280459931, 3.2800885022132764]"
Gentstraat,"[50.91067746365622, 3.270427915488764]"
Gistelstraat,"[50.92432714576142, 3.2381345469109997]"
Goudbloemstraat,"[50.927912030180664, 3.249751866804086]"
Gravinnestraat,"[50.92047695502187, 3.254399555759732]"
Groenstraat,"[50.92925834423545, 3.2483947929913306]"
Grote Roeselarestraat,"[50.947192756229214, 3.2467330129821717]"
Guido Gezellestraat,"[50.92191712915506, 3.2548590325297755]"
Haaipanderstraat,"[""50.93759016301798"", ""3.2323324579337274""]"
Handelsstraat,"[50.91519192753944, 3.257677661218509]"
Hazelaarstraat,"[50.925429407155214, 3.24210675028939]"
Heidebloemstraat,"[50.92643004999999, 3.2523766]"
Heirweg-Noord,"[50.93825523108116, 3.2521488603979973]"
Heirweg-Zuid,"[50.908611080962295, 3.2565775236246965]"
Hemelrijkstraat,"[50.90234208056701, 3.252732186411116]"
Hendrik Consciencestraat,"[50.9105676175878, 3.2600025146895497]"
Hilaire Depraeterestraat,"[50.92785996024383, 3.241997180094775]"
Hinnebilkstraat,"[50.922739777945544, 3.2586890993044286]"
Hof van Commerce,"[50.90975249609937, 3.257932136018544]"
Hoppestraat,"[50.92092550930166, 3.260317584424156]"
Hoveniersstraat,"[50.907405693528354, 3.2578714576471834]"
Hugo Verrieststraat,"[50.9222777, 3.2515094]"
Hüllhorststraat,"[50.9121418, 3.2485898]"
Industrielaan,"[50.9303418, 3.2497271]"
Ingelmunsterbosstraat,"[50.9276572, 3.2429399]"
Izegemstraat,"[50.9152631, 3.2488974]"
Jacob van Arteveldestraat,"[50.9226243, 3.243561938986013]"
Jacob van Maerlantstraat,"[50.9259951, 3.2554159]"
Jan Breydelstraat,"[50.9233417, 3.2605146]"
John F. Kennedystraat,"[50.9111695, 3.2668907]"
Jules Vermandelestraat,"[50.9277453, 3.2429451]"
Kanaalstraat,"[50.9126628, 3.2636838]"
Kardinaal Cardijnstraat,"[50.9226304, 3.2479098]"
Keirselaarstraat,"[50.9065929, 3.2746701]"
Ketenstraat,"[50.9130515, 3.252435]"
Klaprozenstraat,"[50.9276332, 3.249306]"
Klaverstraat,"[""50.906540730155385"", ""3.2586025503669984""]"
Kleine Weg,"[50.9295727, 3.2565649]"
Klompenmakersstraat,"[50.9106543, 3.249534]"
Kloosterhof,"[50.9244681, 3.2462777]"
Koetsstraat,"[50.9081555, 3.2586992]"
Koning Boudewijnstraat,"[50.9222794, 3.2508842]"
Korenbloemstraat,"[50.9262939, 3.2492904]"
Kortrijkstraat,"[50.9078495, 3.2611354]"
Kouterstraat,"[50.9225458, 3.2859949]"
Krekelstraat,"[50.9417658, 3.2759313]"
Kruisstraat,"[50.9350461, 3.2534189]"
Kweekstraat,"[50.9030407, 3.281499]"
Lammekensknokstraat,"[50.9341045, 3.2611361]"
Lampettenstraat,"[50.9307553, 3.2706792]"
Leeuwebekstraat,"[50.927401, 3.248841]"
Leeuwerikenstraat,"[50.9105535, 3.2542504]"
Lendeledestraat,"[50.8984404, 3.2651574]"
Lenteakkerstraat,"[50.9221664, 3.2773749]"
Leon Bekaertstraat,"[50.9384485, 3.265023]"
Lijnwaadstraat,"[50.9116095, 3.275337]"
Lijsterstraat,"[50.9107936, 3.2519818]"
Lindenstraat,"[50.9273163, 3.2438994]"
Loodgietersstraat,"[50.9136724, 3.2484239]"
Lysbrugstraat,"[50.9146771, 3.2656269]"
Maandagstraat,"[50.9245501, 3.2510365]"
Madeliefjesstraat,"[50.9264238, 3.2492844]"
Mandelbeekstraat,"[50.9223514, 3.241489]"
Mandelstraat,"[50.9175992, 3.2676856]"
Mandenmakersstraat,"[50.9119919, 3.2475062]"
