Straat,Coordinaten
't Groentje,"[50.93547834227371, 3.1922028958734185]"
16de Linie-Regimentsstraat,"[50.931051999999994, 3.2149981]"
9de Liniestraat,"[50.9331553843671, 3.1888178433121745]"
Aartshertogin Isabellastraat,"[50.90192303327204, 3.1993213730391914]"
Abelestraat,"[50.92159007704175, 3.1892700993367114]"
Aimé Behaeghestraat,"[50.93825035710763, 3.190807461147607]"
Albrecht Rodenbachstraat,"[""50.92545641567369"", ""3.2341872394064235""]"
Ambachtenstraat,"[50.91993411042755, 3.1796045392070473]"
Anjelierenlaan,"[50.90832790913797, 3.2134357563262164]"
Anne Frankstraat,"[50.93013850204334, 3.2178058456175926]"
Ardooisestraat,"[50.932677313783614, 3.2106146250781618]"
Arenbergstraat,"[50.91081533517824, 3.2228325609665958]"
August Vermeylenstraat,"[50.92323159463439, 3.2296857697187007]"
Azalealaan,"[50.90863137305209, 3.2163648707313084]"
Baertshof,"[50.92041705363503, 3.2166769541968834]"
Baron de Pélichystraat,"[50.91759027406028, 3.2129855635225133]"
Baronielaan,"[50.91389015, 3.221797241040587]"
Baronstraat,"[50.92685254011242, 3.2193967213240935]"
Beatrijslaan,"[50.90726529892954, 3.2214829370761215]"
Beiaardstraat,"[50.90476936164543, 3.2129109838762777]"
Bellestraat,"[50.92148510600504, 3.1899849392674358]"
Bellevuestraat,"[50.919258066190764, 3.20510742388272]"
Berkenstraat,"[50.91509006925733, 3.184243734303776]"
Bessenstraat,"[50.93476398421105, 3.1923671500874913]"
Beukendreef,"[50.91892303700771, 3.204137352827473]"
Binnenstraat,"[50.94256946862441, 3.1916557056178334]"
Blauwhuisstraat,"[50.91480128401189, 3.2243898660087438]"
Blekerijstraat,"[50.90806519137406, 3.2043181307377266]"
Boomforeeststraat,"[50.91491030407282, 3.223225302671387]"
Boomgaardstraat,"[""50.911289333682426"", ""3.185849777587862""]"
Borstelmakersplein,"[50.9102855, 3.21048695]"
Bosdreef,"[50.9050939315025, 3.1922249848443043]"
Bossebeekstraat,"[50.902130210170185, 3.2145905917409068]"
Boterstraat,"[50.90240981909619, 3.1948843983409754]"
Bremstraat,"[50.9344417, 3.1931098500000004]"
Brielstraat,"[50.93073999003602, 3.175815136986898]"
Brouwerijstraat,"[50.923234354669695, 3.2343039790510826]"
Brugstraat,"[50.921816792085785, 3.216246093720045]"
Buitenstraat,"[50.935436060104024, 3.2036904813309772]"
Burgemeester Vandenbogaerdelaan,"[50.911251136788685, 3.2092217306087107]"
Camiel Ameyestraat,"[50.92104655, 3.2050287500000003]"
Centrumbrug,"[50.92123186096921, 3.215211648122052]"
Ciepenstraat,"[50.9015318002965, 3.2195553661904124]"
Cyriel Tangheplein,"[50.91613214442203, 3.216271945405198]"
Dahlialaan,"[50.9097211135982, 3.212215219082929]"
Dam,"[50.92434724723664, 3.217210978996005]"
De Lanteernstraat,"[50.93659598747503, 3.19378280554236]"
De Nieuwe Wereld,"[50.91191214616459, 3.215302270977572]"
Dennenstraat,"[50.913718600705785, 3.1871725041240606]"
Dirk Martenslaan,"[50.91807744305264, 3.2184274506997625]"
Doelstraat,"[50.9437309204863, 3.229988576408174]"
Droge Janstraat,"[50.91392320954367, 3.2147435715167307]"
Dweersstraat,"[""50.91529776595592"", ""3.213045981414984""]"
Edward Dierickstraat,"[50.913014928886874, 3.225850746573479]"
Egaalstraat,"[50.93469592611487, 3.2057067307993217]"
Eigenhaardstraat,"[50.91064542478854, 3.2157475172888583]"
Eikenstraat,"[50.91462245689834, 3.190518845717423]"
Elckerliclaan,"[50.90479982332445, 3.2233470976473804]"
Elegastlaan,"[50.905872742013415, 3.224569139584522]"
Elf-Julistraat,"[50.93440722132949, 3.18579592595211]"
Emelgemseplein,"[50.92159991248795, 3.2306778170090253]"
Emelgemsestraat,"[50.91772910071025, 3.229225160032847]"
Emiel Allewaertstraat,"[50.89971529295641, 3.192844498745604]"
Emiel Moysonstraat,"[50.92708604056657, 3.228776126584636]"
Emiel Neirynckstraat,"[50.9115401501129, 3.226364776316551]"
Esdoornstraat,"[50.91388197280791, 3.1888398940698166]"
Espenstraat,"[50.91300688737806, 3.1896709815294906]"
Europalaan,"[50.91458314723986, 3.201308358702076]"
Felix Timmermansstraat,"[50.90627528218055, 3.197561034890002]"
Ferdinand Snellaertstraat,"[50.926495794701516, 3.226398641384975]"
Ferdinand Vervaeckestraat,"[50.9304894, 3.21430695]"
Filip de Pillecynstraat,"[50.936040250000005, 3.19039845]"
Forum,"[50.909561611848424, 3.2284440251433115]"
Gapaardstraat,"[""50.9050262"", ""3.1977859""]"
Geitestraat,"[50.898151890430555, 3.1991445983730964]"
Gentseheerweg,"[50.91647792018103, 3.242498166243544]"
Gentsestraat,"[50.916907027116814, 3.2185586280822447]"
Gerard Walschapstraat,"[50.92945002560994, 3.2263727902369146]"
Ghistelstraat,"[""50.93104124842388"", ""3.237419390232278""]"
Graaf de Montblanclaan,"[50.92479163821851, 3.231997286437835]"
Granietstraat,"[50.9259258, 3.21855155]"
Gravenstraat,"[50.92337938237357, 3.2251826773000376]"
Groeningestraat,"[50.911524655498084, 3.215860530900696]"
Groenstraat,"[50.915493, 3.2186470253776216]"
Grote Markt,"[""50.92014655"", ""3.2159863""]"
Gudrunlaan,"[50.9052427, 3.22303515]"
Gudrunplein,"[50.90549435, 3.22337325]"
Guido Gezellestraat,"[50.9256084785437, 3.2208452734425816]"
Haaipanderstraat,"[50.94038705003853, 3.229374139038542]"
Hallestraat,"[""50.91959709024581"", ""3.214604020732356""]"
Haverhuisstraat,"[50.9336371, 3.1876525]"
Hazelaarstraat,"[50.91428138230008, 3.1927300396555514]"
Heer Halewijnlaan,"[50.90684312635572, 3.22366861326963]"
Heibrugstraat,"[50.91845408671758, 3.195691085942331]"
Heilig Hartstraat,"[50.91753040646708, 3.204513684057207]"
Hendrik Consciencestraat,"[50.92449738212687, 3.23461352215274]"
Henri Dewaelestraat,"[50.90099548932497, 3.19311841748816]"
Henri Dunantstraat,"[50.910791883694614, 3.2273326539735065]"
Herman Roelstraeteplein,"[50.92166675, 3.2071593]"
Hertogstraat,"[50.925523996366955, 3.227873679661793]"
Heyestraat,"[50.91190925, 3.208411]"
Hildersstraat,"[50.931693289143006, 3.1980444613535135]"
Hogestraat,"[50.93767438547324, 3.1884732954809376]"
Hollebeekstraat,"[50.90353746393351, 3.1852196537420294]"
Hondekensmolenstraat,"[50.90804589187209, 3.233254261355986]"
Hondsmertjesstraat,"[50.934196043791374, 3.1976100905910423]"
Hondstraat,"[50.920209553068126, 3.2121479234003583]"
Hooghoutstraat,"[50.90571541825823, 3.2385039922556236]"
Hottonstraat,"[50.921203838958, 3.1912328287528915]"
Hoveniersstraat,"[50.91831751264856, 3.206589766175741]"
Hugo Verrieststraat,"[50.92452678671355, 3.218739677431425]"
Hulstsestraat,"[50.908687493485516, 3.237168823859382]"
Hyacintenweg,"[50.90766165, 3.2183885500000002]"
Ieperseweg,"[50.90191995, 3.1774120999999997]"
Ingelmunstersestraat,"[50.923755223239255, 3.231455561911607]"
Italianenlaan,"[50.91790083364202, 3.2299664869002873]"
Izegemsestraat,"[50.94472352770906, 3.2047145974397413]"
Jaagpad,"[""FOUT, geen straat gevonden""]"
Jacob van Arteveldestraat,"[50.898733476015, 3.197517732097887]"
Jan Breydelstraat,"[50.89970875, 3.1956782]"
Jasmijnenstraat,"[50.90907005441291, 3.218473832610807]"
Jonkvrouwstraat,"[50.92376683716048, 3.2237346955065305]"
Jozef Demeulenaerestraat,"[50.92984834449075, 3.2143497255718585]"
Kachtemsestraat,"[50.92835901932738, 3.2121830048400426]"
Kachtemsplein,"[50.93163025, 3.19304745]"
Kanaalstraat,"[50.92879485438912, 3.1758833223530876]"
Kapelstraat,"[""50.9243556184038"", ""3.2227874351328247""]"
Kapucijnenlaan,"[50.92275029029382, 3.195628991745322]"
Kardinaal Cardijnlaan,"[50.91561741663828, 3.2000459505627177]"
Karel de Goedelaan,"[50.90306036904497, 3.195926182469144]"
Kastanjestraat,"[50.91493085063672, 3.1878217230638715]"
