Straat,Coordinaten
't Rot,"[50.92507415, 4.5701809]"
Aarschotsebaan,"[50.94891885929894, 4.614605208960127]"
Acacialaan,"[50.92276045, 4.52390505]"
Ahornbomenlaan,"[50.9320324481199, 4.556050984088687]"
Alleenstaand huis,"[""FOUT, geen straat gevonden""]"
Assentstraat,"[50.946813998231946, 4.613113701967303]"
Assentveldweg,"[50.95222658645174, 4.604443588636561]"
August Meysstraat,"[50.92957746137646, 4.547254231524097]"
Balkestraat,"[50.92671606155035, 4.589230244983753]"
Beekstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Beemdstraat,"[50.954732955632856, 4.561678900381622]"
Begijnenstraat,"[50.96001056179798, 4.55247517082207]"
Begijnenwegel,"[50.963410112002926, 4.5535818587482675]"
Bergezijpestraat,"[50.9631403, 4.5259427500000005]"
Bergstraat,"[50.92959079916988, 4.548325274357943]"
Binnenhof,"[50.93286967565068, 4.542550271804257]"
Binnenveldstraat,"[50.921292416977444, 4.5648789613840774]"
Biststraat,"[50.920322299999995, 4.5601261]"
Bogaertstraat,"[50.91984930482006, 4.568628626720561]"
Bogaertweg,"[50.917881428322765, 4.570167505954481]"
Bosstraat,"[50.94817270042555, 4.594983771381016]"
Bosveldweg,"[50.936812240023734, 4.616139993940646]"
Broekstraat,"[50.95159394234486, 4.517902065889243]"
Brouwerijstraat,"[50.948256174208026, 4.54894829144803]"
Bukenhof,"[50.939087205801656, 4.61757558348362]"
Bukenstraat,"[50.944698724225766, 4.6152282221486525]"
Bulsomstraat,"[50.93843690991048, 4.537262218914591]"
Bulsomwegel,"[50.938715981526926, 4.533751479391269]"
Bunderweg,"[50.93315621609743, 4.588795525737202]"
Caemberg,"[50.958017831292864, 4.556575959047737]"
Casemierstraat,"[50.92326820025953, 4.554621786706112]"
Cellebroedersweg,"[50.95898913524552, 4.558481683318522]"
Claermansweideweg,"[""FOUT, geen straat gevonden""]"
Daallaan,"[50.92895127965622, 4.544768393517353]"
De Meeswegel,"[50.94190795640477, 4.551563883874146]"
Dijkstraat,"[50.92081632928966, 4.526677801546387]"
Dorpelstraat,"[50.94053919315062, 4.5644769728139085]"
Dorpelweg,"[50.94337702094884, 4.565224306552066]"
Dorpsstraat,"[50.941267680099244, 4.546953482811726]"
Dorpsveld,"[50.92951548878669, 4.538784454534688]"
Dr. Koeckwegel,"[50.91862561242431, 4.561144663139723]"
Dreefstraat,"[50.93482432559976, 4.532075441920821]"
Driesstraat,"[50.92284851912991, 4.570057765493]"
Drieswegel,"[50.94831688957014, 4.52267217730763]"
Duistboslaan,"[50.925815083189306, 4.526994585571653]"
Eekhoornlaan,"[50.931686117360314, 4.562964293584157]"
Egellaan,"[50.92857270099324, 4.56032390464019]"
Fazantendal,"[50.92826045790342, 4.5433382497133765]"
Ferdinand Verstraetenlaan,"[50.9402008, 4.5510369]"
Frans Schoevaersstraat,"[50.926757444536726, 4.573640054819736]"
Frederik Wouterslaan,"[50.94064715516375, 4.551254273271504]"
Frijselstraat,"[50.95829135535074, 4.541946523916666]"
Frijselveldweg,"[50.9601846276868, 4.5325695150344405]"
Geertruideboswegel,"[50.934748150705296, 4.555600136198524]"
Geilroedestraat,"[50.951741139198276, 4.561291581916937]"
Geilroedeweg,"[50.95021578579307, 4.55770649666624]"
Gellenbergwegel,"[""FOUT, geen straat gevonden""]"
Gemeentehuisstraat,"[50.9409198459131, 4.549517356797353]"
Gemeenteplein,"[50.941016950712154, 4.548017076922001]"
Gemeentewegel,"[50.929877869254106, 4.536016618329921]"
Glimwormlaan,"[50.93223206226563, 4.562006952982392]"
Grenswegel,"[50.95091816309562, 4.537156792102517]"
Grevenbergbaan,"[50.91500412165294, 4.539072453372377]"
Groenenwegel,"[50.92459481571432, 4.561434236912304]"
Groenstraat,"[50.92680179217061, 4.535431935161498]"
Groot Blokwegel,"[""FOUT, geen straat gevonden""]"
Grootveldstraat,"[50.92984207718332, 4.5324768261310036]"
Guido Gezellelaan,"[50.94644182355452, 4.559667201252536]"
Gursomstraat,"[50.93034320882642, 4.5632951157413455]"
Haachtsesteenweg,"[50.88961945, 4.427118032107801]"
Hasseltbemde,"[50.94841800815503, 4.529586670759467]"
Hasseltstraatje,"[50.93558314137951, 4.551882765620427]"
Hasseltvoetweg,"[50.93260215, 4.55179565]"
Haverbeemden,"[50.94544757061595, 4.578582608681139]"
Heertbaan,"[50.91996596552112, 4.546040684869215]"
Heidevoetweg,"[50.96429016589694, 4.5238098748844]"
Heideweg,"[50.95630511994563, 4.5704106672237454]"
Hellebosstraat,"[50.941142843999124, 4.522872801596977]"
Hellestraatje,"[50.93900681193882, 4.521370138707728]"
Henkeltassestraat,"[50.94504970080708, 4.5462728683780345]"
Herderveld,"[50.935057900000004, 4.52909865]"
Herentstraat,"[""FOUT, geen straat gevonden""]"
Heystraat,"[50.957456670483865, 4.608006921181934]"
Hinckaertstraat,"[50.928690849999995, 4.526471450000001]"
Hogeheidewegel,"[50.964913755804346, 4.527368604891583]"
Hollestraat,"[50.95360105904112, 4.615842226712139]"
Hoogheidestraat,"[50.95484818636703, 4.537280566898009]"
Hoogheidestraatjeswegel,"[""FOUT, geen straat gevonden""]"
Hubert Tobbackstraat,"[50.95264253070685, 4.579516969174043]"
Humelgemseweg,"[""FOUT, geen straat gevonden""]"
Hunderveld,"[50.962558245905484, 4.5613108431302924]"
Hutstraat,"[50.94574477156885, 4.582014007957195]"
Hutten,"[""FOUT, geen straat gevonden""]"
Hutteweg,"[50.9481017603174, 4.579514118564109]"
Industriestraat,"[50.9569717937429, 4.599586186554987]"
Irislaan,"[50.925185924744255, 4.522092379222771]"
Jagerslaan,"[50.932053415327545, 4.559179750259947]"
Jennekensweg,"[50.96495917716464, 4.555598472735305]"
Kaasdaversweg,"[50.932108032648635, 4.530675096562818]"
Kalkhovenstraat,"[50.9436776, 4.577435749999999]"
Kampelaarstraat,"[50.94981334504853, 4.545784476931863]"
Kampelaarweg,"[50.95261547033263, 4.5470042203475804]"
Kampenhoutsebaan,"[50.95940526360219, 4.521657349661592]"
Kampenhoutsevoetweg,"[50.94218205, 4.53349995]"
Kandriesschestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Kapelstraatje,"[50.92309577228529, 4.531921112115276]"
Kasteellaan,"[50.93523897813265, 4.560091645696378]"
Kattemansbosweg,"[50.964640518581625, 4.52892900820177]"
Kerkeboswegel,"[50.951492075610766, 4.549965681042375]"
Kerkhoflaan,"[50.93535434100813, 4.5460865807201705]"
Kerkstraat,"[50.9413385, 4.548522]"
Kerkwegel,"[50.93032838756719, 4.539271900002674]"
Kerselarebaan,"[""FOUT, geen straat gevonden""]"
Kessehaege,"[50.94468596117361, 4.594873396785951]"
Kleine Heideweg,"[50.93846906647893, 4.608292883640662]"
Kleinveldekensweg,"[50.95632198574099, 4.5451081560897375]"
Kloosterweg,"[50.94229849144107, 4.552852136728446]"
Korte Straat,"[50.91998276417531, 4.562092614234903]"
Kortenbergbaan,"[50.9174008728934, 4.5416053048747065]"
Kosterweg,"[50.92947899736616, 4.541620806664083]"
Kriekelaarstraat,"[50.93856115, 4.546185550000001]"
Krokuslaan,"[50.924829878167166, 4.522684062878984]"
Kruiskensboswegel,"[""FOUT, geen straat gevonden""]"
Kruisstraat,"[50.92150139045004, 4.558795924382743]"
Kuiperswegel,"[50.952112259457536, 4.534895552436317]"
Kutsegemstraat,"[50.92983709191491, 4.532476782052103]"
Kwaedbosweg,"[50.95211656702044, 4.564933951825309]"
Kwerpseweg,"[50.9145417, 4.5640838]"
Laarstraat,"[50.92220946712237, 4.544499123368671]"
Lage Bleuken,"[50.944316300000004, 4.614861400000001]"
Lamanterveldweg,"[50.94629750633307, 4.5447472337021315]"
Lambrechtsstraat,"[50.94630348562568, 4.545897217241979]"
Lange Bosbeek,"[50.940524487043305, 4.604452908896781]"
Lange Kerkweg,"[50.92984035, 4.534308]"
Langestraat,"[50.96275093641847, 4.560205162415515]"
Lauterveldweg,"[50.963724761022505, 4.547467458134127]"
Lauterweg,"[50.951820482335876, 4.547784440762063]"
Lauterwegel,"[50.95974686427974, 4.54356399718019]"
Leibeeklaan,"[50.9294972411505, 4.544390885152467]"
Lellebaan,"[50.92863095, 4.5265451500000005]"
Lelleveldbaan,"[50.926061229309845, 4.53132376476451]"
Lemmekenstraat,"[50.92055395510476, 4.530269777193828]"
Lentelaan,"[50.92915513723549, 4.550292773297812]"
Lepelstraat,"[50.957291273658264, 4.521513364034158]"
Leuvensesteenweg,"[50.93953002513245, 4.61818503408949]"
Liekensstraatje,"[50.943058407097844, 4.5361880620214245]"
Lindeblok,"[50.94750174613144, 4.607152151566733]"
Listerveldwegel,"[50.92677461987867, 4.5626873448325895]"
Liststraat,"[50.924908608684206, 4.5591902043472965]"
Losweg,"[50.95664643692268, 4.532013760669723]"
Loverdal,"[50.927962595242754, 4.534879944866073]"
Maalderstraat,"[50.943905187047285, 4.570501659783636]"
Mechelsesteenweg,"[50.956573881416595, 4.5916068750153585]"
Meerbeekwegel,"[50.96552680547618, 4.5515574501784775]"
Meerlaan,"[50.9288058, 4.54945715]"
