Straat,Coordinaten
't Zand,"[51.00435889627514, 4.364668248907714]"
A.Brouwerstraat,"[""51.00367045"", ""4.3629739999999995""]"
A.Preud'Hommelaan,"[51.010885239046104, 4.337757169982169]"
Acacialaan,"[51.00755265, 4.35824635]"
Albrecht Rodenbachlaan,"[51.01506350278698, 4.368249149926197]"
Alemstraat,"[51.02490619172485, 4.374258308908856]"
Armenbos,"[50.990070409192946, 4.351748616733664]"
Azalealaan,"[51.01537636640708, 4.3500774535661]"
Baanveldstraat,"[51.0115809162231, 4.368872240188739]"
Begonialaan,"[51.016565601389374, 4.348697247486089]"
Berkenstraat,"[51.0137540334714, 4.340252828118413]"
Bessemstraat,"[51.02636202919366, 4.327721373679946]"
Birrebeekstraat,"[50.997087942520636, 4.354872267753733]"
Boneveldstraat,"[51.01548369964773, 4.352664451379955]"
Bormstraat,"[51.01570219603687, 4.33909155424469]"
Bosbeekstraat,"[50.99870305, 4.3550284]"
Bosstraat,"[50.97100707166175, 4.356842188593901]"
Brandhofstraat,"[50.9945269, 4.3700506]"
Bredestraat,"[51.0077937, 4.3834167]"
Brigandsstraat,"[""FOUT, geen straat gevonden""]"
Broekstraat,"[51.0166593, 4.3362188]"
Brugstraat,"[51.0102307, 4.3335074]"
D.Teniersstraat,"[""51.001287337938074"", ""4.364181056924948""]"
De Houtzagerij,"[51.0126832, 4.363296]"
Diepestraat,"[""FOUT, geen straat gevonden""]"
Dom Verhaegenstraat,"[""FOUT, geen straat gevonden""]"
Donkereham,"[50.9978357, 4.3647184]"
Dorpstraat,"[51.0145614, 4.3348519]"
Dreefstraat,"[51.0139711, 4.3413786]"
E.Hullebroecklaan,"[""FOUT, geen straat gevonden""]"
Echelputstraat,"[51.0115659, 4.3728184]"
Ernest Claesstraat,"[51.0130199, 4.3693034]"
Espenbosweg,"[51.0079804, 4.3471703]"
Evert Larockstraat,"[51.0132032, 4.3673105]"
Fazantenlaan,"[51.0017989, 4.3580824]"
Ferdinand Van Guchtstraat,"[51.015545, 4.3386447]"
Gemeenteplein,"[51.0141779, 4.3358793]"
Grasmussenstraat,"[51.0032128, 4.3610367]"
Grote Kouterweg,"[51.0110902, 4.3372297]"
Grotstraat,"[51.0128411, 4.3346445]"
Guido Gezellelaan,"[51.0136661, 4.3694504]"
Haaksdonkweg,"[51.0024296, 4.3721491]"
Haas,"[50.9743945, 4.3526096]"
Halfbunderstraat,"[51.0071232, 4.3712156]"
Hendrik Van de Venstraat,"[51.0155983, 4.3704055]"
Hogerheistraat,"[51.0024596, 4.3467379]"
Hombeekseweg,"[51.0116132, 4.3728167]"
Hoogveldseweg,"[""FOUT, geen straat gevonden""]"
