Straat,Coordinaten
Alfred De Taeyestraat,"[51.21663314025928, 3.615525571773631]"
Antwerpse Heirweg,"[51.180244400973926, 3.6308162593426556]"
Aveschoot,"[51.194318956083855, 3.6305002540837155]"
Azaleastraat,"[""FOUT, geen straat gevonden""]"
Bandam,"[""FOUT, straat in foute gemeente gevonden""]"
Bardelare,"[51.18390836295952, 3.635645582697192]"
Beekstraat,"[51.217608575824976, 3.648507200808505]"
Beeling,"[""FOUT, geen straat gevonden""]"
Bentillestraat,"[51.24587277844653, 3.6020972154806845]"
Berkenlaan,"[51.1822443758381, 3.6330222854060503]"
Beukenlaan,"[51.18358418801692, 3.627918744533705]"
Bisschopslag,"[51.17968351118925, 3.6360966979443927]"
Bloemstraat,"[51.191074119676074, 3.629303907681559]"
Bommelsdreef,"[51.20587093668187, 3.6622576502613624]"
Boslucht,"[51.18534772051914, 3.62819160772137]"
Boterstraat,"[51.18994835, 3.63074195]"
Draailingpad,"[51.22861183810539, 3.6131190710534304]"
Duivelsstraatje,"[51.242308274091435, 3.6108249445957057]"
Eeklostraat,"[51.18512081617834, 3.6114188575050834]"
Eikenlaan,"[51.182396047857615, 3.6299580662544177]"
Eindeken,"[51.2168563113246, 3.5987577592900775]"
Galgestraat,"[51.21656338741308, 3.590316692964878]"
Gentstraat,"[51.19387230311666, 3.6372441703740024]"
Gentweg,"[51.185927371206, 3.649381352186574]"
Goochelaar,"[51.2096415919715, 3.6543718733048904]"
Gravenstraat,"[51.246516580450624, 3.6078707395067426]"
Gravin Mad. d'Alcantaralaan,"[""FOUT, geen straat gevonden""]"
Hauweelstraat,"[51.19212941255313, 3.63033884634813]"
Heerdreef,"[51.179636870444035, 3.626387529604325]"
Heidestraat,"[51.17468906304495, 3.659311170353863]"
Heihoek,"[51.18559564695318, 3.6336485687612923]"
Heihoekse Kerkwegel,"[51.19384785966973, 3.6321050880314454]"
Heinestraat,"[51.22980879853527, 3.6323336299185196]"
Hippoliet Van Peenestraat,"[51.21672282976837, 3.6114372429481905]"
Hoge Zandweg,"[51.172755921958505, 3.615974505448647]"
Jacobetswegel,"[51.20806009949087, 3.651277975259222]"
Kaprijkstraat,"[""FOUT, geen straat gevonden""]"
Kasteeldreef,"[51.194086248631024, 3.626877231129476]"
Kattelare,"[51.198867007763006, 3.6037581086398163]"
Kerkakkerstraat,"[51.19271666287964, 3.6311185456602675]"
Kerkstraat,"[51.20059174964888, 3.639832455410751]"
Kerzelaarstraat,"[""FOUT, geen straat gevonden""]"
Ketsebroek,"[51.20127131549291, 3.6099984593588763]"
Kleemstraat,"[51.226580439097624, 3.5960019380306525]"
Kleine Zuidstraat,"[51.21656589066664, 3.6101550862883394]"
Koeistraat,"[51.21013441398149, 3.6236052453470124]"
Koekoekstraat,"[51.20379477784595, 3.624604692345265]"
Koer,"[51.195031253989995, 3.634694450932256]"
Krommeveldstraat,"[51.205729649999995, 3.6406922]"
Landstraatje,"[51.22756515298519, 3.600182761351218]"
Ledestraat,"[51.18287279977142, 3.636552446702775]"
Lembeke-Dorp,"[51.19496334788803, 3.6317106368497116]"
Lorkenpad,"[51.18309034506982, 3.6315204689425804]"
Madeliefjesstraat,"[51.2154978, 3.6088289999999996]"
Melkerij,"[51.217917383256555, 3.613346806958697]"
Menstraat,"[51.190083408354006, 3.6206261920840515]"
Moerstraat,"[51.237986250000006, 3.5937192]"
Molenstraat,"[51.23719318562903, 3.6168017223785593]"
Molenstraatje,"[""FOUT, geen straat gevonden""]"
Nieuwstraat,"[51.19354760947643, 3.6252367315718717]"
Ongereehoek,"[51.19225154601502, 3.645546360148206]"
Oosteeklostraat,"[51.18664922281782, 3.6546073280322378]"
Oosteeklowegel,"[51.17249994493924, 3.663437040935286]"
Oosthoek,"[51.206375773633575, 3.649479620302344]"
Ooststraat,"[51.22606860075803, 3.647651602967977]"
Plein,"[51.218658714655724, 3.61768221302564]"
Rijselbospad,"[""FOUT, geen straat gevonden""]"
Rinkerstraat,"[51.245456618139634, 3.6043353207812916]"
Ruiffelaarswegel,"[51.20091236327106, 3.6308726195768846]"
Rysselhofstraat,"[51.231949050000004, 3.60561065]"
Schampstraat,"[51.19166716585077, 3.631509854417329]"
Scheutbos,"[51.180737949999994, 3.61878865]"
Singel,"[51.17211330759047, 3.662831505801274]"
Smissestraat,"[51.24820366083647, 3.611711722655484]"
Sportstraat,"[51.19175508765892, 3.6360583002235267]"
Standaertsdreef,"[51.215632716455765, 3.652050594902856]"
Stationsstraat,"[51.21896379821827, 3.624872138133073]"
Stroomstraat,"[51.229032580477295, 3.638386601913334]"
Suikerstraat,"[51.19131569697649, 3.632516290249765]"
Tragelstraat,"[51.18253065242444, 3.640863140454121]"
Vaartstraat,"[51.211731723369624, 3.624532212737169]"
Varenpad,"[51.182528227522766, 3.6286581257339066]"
Veld,"[51.2175641547289, 3.6199585962829315]"
Vlottestraat,"[""51.21617083914693"", ""3.582439976852142""]"
Voorstraat,"[51.21846826993773, 3.6161807837471436]"
Vrijheidsstraat,"[51.216683583529154, 3.607910108416242]"
Vroenhoek,"[51.2067762520441, 3.6578395801118724]"
Vrombautstraat,"[51.202830133419965, 3.6246854486506326]"
Vrouwstraat,"[51.21969989962855, 3.6231015955964483]"
Warande,"[51.18167055600437, 3.6347860111305246]"
Wauterstraat,"[51.22064915661984, 3.6440512614173057]"
Westermolenstraat,"[51.194308951972516, 3.616641817720838]"
Weststraat,"[51.18955266340501, 3.660168400994751]"
Windgatstraat,"[51.18732715516827, 3.613804535514948]"
Wiskenstraatje,"[51.22837285612584, 3.59190379846343]"
Wulfhoekstraat,"[51.217873809164445, 3.604140675580265]"
Zuidstraat,"[51.21377637581019, 3.596887777645878]"
