Straat,Coordinaten
't Meulke,"[51.13577220720446, 5.8073643938722945]"
22 Augustusstraat,"[51.1762144, 5.7321731]"
Aan de Maas,"[51.15248032512367, 5.826724368245827]"
Aan de Zaagmolen,"[51.13465044592163, 5.803044639332532]"
Agropolis Park,"[51.146189537274495, 5.827015740601382]"
Baekhoven,"[51.128761444136586, 5.800696016712715]"
Basdonkstraat,"[51.13773704250386, 5.707852401893495]"
Batvendijk,"[51.13022147709016, 5.7188350898439815]"
Beekbeemden,"[""FOUT, geen straat gevonden""]"
Beekstraat,"[51.13039284159543, 5.807546789457155]"
Bekerstraat,"[51.166776691637075, 5.769834168934693]"
Belestraat,"[51.14665576294438, 5.7147844952321565]"
Bellevuestraatje,"[51.1257465821835, 5.793058812205437]"
Berkenstraat,"[51.17101084697799, 5.733818462078479]"
Bettestraat,"[51.140504725524394, 5.739630088404571]"
Bijhoevenweg,"[51.150248301779946, 5.798730496789943]"
Binnenweg,"[51.14798556356145, 5.7257012703289565]"
Bisschop Ruttenstraat,"[51.13178320257529, 5.809487550820459]"
Bomerstraat,"[51.1530548, 5.7403294]"
Bongertestraat,"[51.12608863069879, 5.797045898738488]"
Borgstraat,"[51.15067033187242, 5.823368087235995]"
Bosstraatje,"[51.146357309079285, 5.811413118460943]"
Bosweg,"[51.13908114572881, 5.787300345957817]"
Bouwensstraat,"[51.1694382, 5.7403841]"
Brandstraat,"[51.15407398603406, 5.7238824707781015]"
Bredenreinstraat,"[51.1712006972491, 5.747328603137667]"
Breeërsteenweg,"[51.14587650233695, 5.715820820021606]"
Breivinstraat,"[51.17961911944777, 5.719965522398429]"
Brenjersstraat,"[51.13659559315543, 5.736857503530193]"
Broekstraat,"[51.14929398050899, 5.719090777251545]"
Bruldijk,"[51.14464615224527, 5.820524294112935]"
Colbersstraat,"[51.18095681569397, 5.738312621700281]"
Congostraat,"[51.13765584496537, 5.793928031744361]"
Daalstraat,"[51.1342848485693, 5.809402339497376]"
Dalerweg,"[51.135967606988544, 5.816464831092668]"
De Belder,"[51.12413001003335, 5.794519467100563]"
De Gaard,"[51.150385935414164, 5.823817543388356]"
Dekkerstraatje,"[51.18304350907682, 5.7272478140618635]"
Dennebosstraat,"[51.14507354969151, 5.778322278020254]"
Diekerstraat,"[51.14179315643365, 5.7108337173229655]"
Dikke Linde,"[51.1228292202392, 5.796278766077257]"
Dolenweg,"[51.15056002528189, 5.778225192845516]"
Donkerdijk,"[51.16207635655961, 5.714833256366599]"
Donkstraat,"[51.128214139756174, 5.794389910744007]"
Doorslagstraat,"[51.162629538062205, 5.744570085267256]"
Dorpsplein,"[51.145623838949184, 5.741602639416924]"
Dorpsstraat,"[51.15128487386494, 5.823104316114616]"
Draaiweg,"[""FOUT, geen straat gevonden""]"
Driessenstraat,"[51.1451844, 5.7628113]"
Drietak,"[51.14293603638535, 5.786347507115349]"
Dwarsstraat,"[51.135962214099344, 5.801616642337739]"
Eikelenbosstraat,"[51.181458805434836, 5.7035403240390075]"
Enkestraat,"[51.17288713083884, 5.724382694552891]"
Esserstraat,"[51.14906951132442, 5.738639237573865]"
Eygenweg,"[51.12655150091281, 5.766762929404855]"
Fabrieksstraat,"[51.15134673970749, 5.814325544908506]"
Fiejestraat,"[51.17831138912838, 5.740766212672394]"
Fosheistraat,"[51.174569449620215, 5.723688940855561]"
Geerenstraat,"[51.16545649681836, 5.729826993194316]"
Geistingen,"[51.1328028, 5.8089472]"
Goorterhuisjesstraat,"[51.15068567261681, 5.743579132368597]"
Goorterstraat,"[51.1534356675581, 5.756229146627066]"
Goortweg,"[51.14569442423812, 5.739473875701459]"
Gremelsloweg,"[51.126598756999975, 5.7606949034416495]"
Grensstraat,"[51.13986076475605, 5.789633968899263]"
Greuwkensstraat,"[51.17013448684055, 5.741602166879943]"
Greuwkensveld,"[51.171070776321265, 5.742273210080104]"
Groezenstraat,"[51.16498725885615, 5.76211013278628]"
Grootbeersel,"[51.17812564361454, 5.765049023759173]"
