Straat,Coordinaten
't Molentje,"[51.339426102053075, 3.315156531468499]"
't Vaartje,"[51.33623225, 3.2934627]"
't Walletje,"[51.31812395405982, 3.292357573732339]"
Aaishove,"[51.31292083161964, 3.250125484199699]"
Abelendreef,"[51.32356493515675, 3.303630685306576]"
Abraham Hansplein,"[51.346840159897866, 3.286011222139629]"
Acacialaan,"[51.342114954011805, 3.2736827276382083]"
Acht-Meilaan,"[51.34050934598457, 3.2657968101897312]"
Albatrosstraat,"[51.34109064796128, 3.2423151978058082]"
Albertlaan,"[51.3434934, 3.2903884999999997]"
Albertplein,"[51.35492885, 3.2989858279081137]"
Albrecht Rodenbachstraat,"[""51.335462164592606"", ""3.240426365035838""]"
Alfred Verweeplein,"[51.34355360025902, 3.2897089473790255]"
Alice Colinplein,"[51.35133865, 3.3166355999999997]"
Amazonepad,"[51.35114537051062, 3.32063821182753]"
Amerikapad,"[51.3521722, 3.3040838]"
Anemonenlaan,"[51.3430304, 3.2562937]"
Ankersteek,"[51.3295247, 3.2465809]"
Anna Bochplein,"[51.3425194, 3.2795525]"
Antoine Bréartstraat,"[51.354581, 3.2967567]"
Apollo XI-laan,"[51.3365557, 3.3023438]"
Appelzakstraat,"[51.3590297, 3.3231004]"
Arcadelaan,"[51.3425724, 3.2716105]"
Armand Heinspad,"[51.3372086, 3.2806716]"
Asterstraat,"[51.3407086, 3.2744831]"
Astridlaan,"[51.355136, 3.3168339]"
Astridplein,"[51.3405327, 3.2631285]"
August Beernaertstraat,"[51.3417659, 3.2441487]"
August Dansestraat,"[51.3460948, 3.2883009]"
Azalealaan,"[51.3456489, 3.2743824]"
Badersstraat,"[51.3389672, 3.243099]"
Bakboord,"[51.3315109, 3.2445005]"
Bakkersstraat,"[""FOUT, geen straat gevonden""]"
Bayauxlaan,"[51.3473389, 3.2785301]"
Begoniapad,"[51.3425501, 3.2783958]"
Beiaardlaan,"[51.3425996, 3.2731356]"
Bergdreef,"[51.3446153, 3.2648517]"
Berkenlaan,"[51.3485747, 3.3095753]"
Beukendreef,"[51.3219831, 3.3072683262855147]"
Bevrijdingslaan,"[51.349362, 3.2936091]"
Bezembinderspad,"[""FOUT, geen straat gevonden""]"
Biezenmaat,"[51.3138645, 3.2509018]"
Bijenhof,"[51.3510262, 3.3271413]"
Binnenhof,"[51.3484499, 3.2962525]"
Blancgarinstraat,"[51.3503166, 3.2876295]"
Blauwe Zeedistel,"[51.336973, 3.2988599]"
Blauwvoetlaan,"[51.3363971, 3.2325313]"
Blinckaertlaan,"[51.3463382, 3.3141465]"
Bloelozedijk,"[51.3153817, 3.3238168]"
Bloemenlaan,"[51.3369994, 3.3005677]"
Bocheldreef,"[51.3434821, 3.2634407]"
Boei,"[51.3307595, 3.2414381]"
Bondgenotenlaan,"[51.3360242, 3.2395646]"
Boomgaarden,"[51.3226974, 3.3067184]"
Bosduivenlaan,"[51.3479373, 3.3080542]"
Boslaan,"[51.3461446, 3.3138766]"
Bosmannenstraat,"[51.3490139, 3.3287399]"
Bosrankstraat,"[51.3147926, 3.3091267]"
Boterbloemstraat,"[51.3155843, 3.3060989]"
Boudewijnlaan,"[51.3424808, 3.2888532]"
