Straat,Coordinaten
Baaistraat,"[50.87850949796505, 5.046076196289462]"
Bauwelstraat,"[50.893908004040306, 5.0362569650619475]"
Beekstraat,"[50.883749249999994, 4.995819450000001]"
Blijstraat,"[50.916000116172825, 5.026545287155838]"
Borgelke,"[50.91037235995936, 5.011415146653031]"
Borgveld,"[""50.913326850000004"", ""5.0500453""]"
Bosstraat,"[50.87561584748068, 5.012741438997353]"
Boterbergstraat,"[50.91695695156045, 4.994911433760353]"
Braamstraat,"[50.850873869013554, 4.992547049591417]"
Bredestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Commendries,"[50.89778943482672, 5.031869287843169]"
Diestsestraat,"[50.91565905527024, 5.064659010848371]"
Doddelbergstraat,"[50.892944871199354, 4.976358089034881]"
Donk,"[50.89405155, 5.02706835]"
Donkelstraat,"[50.89160964920476, 5.034124222786545]"
Dorp,"[50.916376549999995, 5.00394985]"
Dorpsplein,"[50.90871117394602, 5.061718673239367]"
Dorpsstraat,"[50.8775499, 5.04566135]"
Driesstraat,"[50.86572386389056, 5.003779922997454]"
Eindestraat,"[50.91533779373338, 4.977711522037406]"
Gelbergenstraat,"[50.87716323677781, 5.021618838974568]"
Gelemanstraat,"[50.9093744, 5.0826719]"
Gravenbos,"[50.925139058835676, 5.002619067376908]"
Groenstraat,"[50.90695890042698, 5.048271230864178]"
Groothuisstraat,"[50.86804732800309, 5.044512244516935]"
Grootveldstraat,"[50.86625325, 4.988100599999999]"
Grote Vreunte,"[50.91323722792786, 5.01034568597728]"
Halensebaan,"[50.918344489818544, 4.986015520407836]"
Hanenstraat,"[50.8965558497913, 5.0277320053329975]"
Heerbaan,"[50.88133359372836, 4.98659081903034]"
Heerstraat,"[50.89607103360109, 5.0543268354959885]"
Heidebosstraat,"[50.903196916505415, 5.08874639217628]"
Heidebosweg,"[50.86750845374074, 5.026989899983834]"
Heidestraat,"[50.90658079751664, 5.083002127874505]"
Helstraat,"[50.84906543194626, 4.997033901423102]"
Hemelrijkstraat,"[50.90490055, 5.01941145]"
Herrebeekstraat,"[50.859694969751246, 5.00306713459819]"
Hoefstraat,"[50.878160822870626, 4.982685443048706]"
Hoekstraat,"[50.90773623247739, 5.057623912579682]"
Hoeledensebaan,"[50.8893045, 5.02945555]"
Hollestraat,"[50.8995292, 5.02672715]"
Hoogemeyer,"[50.897086670985665, 4.9943185942004655]"
Ingeveld,"[50.9070442, 5.00471555]"
Kapelstraat,"[50.86082070985153, 5.040461390375577]"
Kazemelkstraat,"[50.894487166519745, 5.01633489156567]"
Kerkeweg,"[50.88635285681635, 4.994733448381144]"
Kerkplein,"[50.868010299999995, 4.98612265]"
Kerkstraat,"[50.89509337270915, 5.012096912979308]"
Kersbeek-Dorp,"[50.88914607988484, 4.994330087881776]"
Kiezelstraat,"[50.86052257522171, 5.050794461630352]"
Klein Kempenseweg,"[50.922398560340625, 4.99006695789885]"
Kleinveld,"[50.908278899691325, 5.069048097449742]"
Klipgaardestraat,"[50.9182119, 4.9862901]"
Kluisdelweg,"[50.88328515829657, 5.059486336747256]"
Koningsstraat,"[50.883546188080196, 5.030333039445633]"
Krawatenstraat,"[50.91147221971419, 5.049807188086577]"
Langstraat,"[""FOUT, geen straat gevonden""]"
Langstreepstraat,"[50.897454964519156, 4.974330045246847]"
Lapstraat,"[50.91574423015651, 5.063440911494349]"
Leedsevroente,"[50.904656140433836, 5.015658995171471]"
Leidriesstraat,"[50.86231479105328, 5.031253353145076]"
Liefkensrode,"[50.92269935, 5.04458625]"
Lindestraat,"[50.92025205, 5.07455995]"
Loyaertsweg,"[50.890179244120596, 5.0162042178145185]"
Merelnest,"[50.885432949999995, 5.0608352]"
Meyenberg,"[50.9027692985423, 5.009488768751249]"
Miskom-Dorp,"[50.896595929163496, 5.012367293597095]"
Molenbergstraat,"[50.90863731576207, 5.062452839556936]"
Molenstraat,"[50.915140540805915, 5.010471920901998]"
Mounstraat,"[50.90830795019366, 5.068325454807095]"
Nachtegaalstraat,"[50.89038053853033, 5.057791919492735]"
Neerlintersesteenweg,"[50.86396068453063, 4.991841104237093]"
Nieuwstraat,"[50.87601168163325, 4.9897688466569985]"
Oude Diestsestraat,"[50.919093620571225, 5.00618593618368]"
Oude Heerbaan,"[50.88418824577607, 4.992927539232885]"
Oude Schansstraat,"[50.90681784513685, 5.066337828891981]"
Oude Tiensestraat,"[50.90469487050084, 4.998454408545745]"
Oudestraat,"[50.87055701210836, 5.042065238190127]"
Overstraat,"[50.917361295727844, 5.0137277244860465]"
Paddepoel,"[50.85602888266191, 4.994850587290725]"
Paenhuysweg,"[50.89377278235726, 5.064033538238867]"
Parelstraat,"[50.91792941349584, 4.999921991843392]"
Plasstraat,"[50.90759205298699, 5.012955509443988]"
Plugestraat,"[50.88111315465225, 5.042587481137786]"
Potaardestraat,"[50.89318303608077, 4.981708133201342]"
Pottelbergstraat,"[50.85822322040785, 5.0125991174277775]"
Putstraat,"[50.84833271026027, 4.99915463586335]"
Rattenborgstraat,"[50.910839792682836, 5.015571253814366]"
Rectorijstraat,"[50.87922495902152, 5.033759543350782]"
Reyserevreun,"[50.90883194501213, 5.027254170539707]"
Rigelstraat,"[50.9160698963014, 5.074949694084044]"
Ruekebosstraat,"[50.85692603937818, 4.991175243247157]"
Sanestraat,"[50.887677505306584, 5.061284917129364]"
Schansstraat,"[50.90511375, 5.0763919]"
Scherpendries,"[50.90589611501013, 5.005212831345639]"
Schipbroekstraat,"[50.91766619064438, 5.027915264113765]"
Schoolstraat,"[50.9077380137338, 5.060851826943281]"
Schotsebosweg,"[50.88312955673188, 5.002020050223781]"
Slagveldweg,"[50.8888534729209, 4.99529582241904]"
St. Annaveld,"[50.917731410369655, 5.006851396682471]"
Steenbergstraat,"[50.919072634448256, 4.998045007414037]"
Stokstraat,"[50.848032035344644, 4.996462261040717]"
Strostraat,"[50.877155331350274, 5.0294679806348945]"
Struikstraat,"[50.91502190226907, 5.081369572942344]"
Talenstraat,"[50.904384359986324, 5.011354909274383]"
Terbeck,"[50.894218922652016, 4.996404634229576]"
Tiensebaan,"[50.89891266325664, 4.982539867416115]"
Tiensesteenweg,"[50.899479400000004, 4.973069949999999]"
Tiensestraat,"[50.89476085087091, 5.041622813857614]"
Tolkamerstraat,"[50.918938735069254, 4.992751768587675]"
Tomstraat,"[50.87603126320868, 5.041137663242643]"
Uilstraat,"[50.84836541658088, 4.992501366394568]"
Vaanstraat,"[50.87062639445374, 5.009733935363563]"
Vissestraat,"[50.88699199689813, 5.033319946695148]"
Voetweg,"[50.8991581, 4.980354838984993]"
Voorbosweg,"[50.898373142907204, 5.030382011149516]"
Welvaartstraat,"[50.87980395666344, 5.03827089384]"
Windmolenstraat,"[50.89867586777303, 4.984640173500832]"
Winkelstraat,"[50.862639865175574, 5.05757372642925]"
Winkelveldstraat,"[50.86645821358273, 5.050297821649309]"
Wittebos,"[50.90083407140414, 5.003867995022537]"
Wittebosstraat,"[50.86498892341703, 5.0245590603955]"
Zandbergstraat,"[50.862947810831514, 4.984384907845816]"
Zandrodestraat,"[50.8912358683957, 5.071008118355992]"
Zandstraat,"[50.86773637974525, 5.011946615872768]"
Zuurbemdesteenweg,"[50.86795495664699, 4.98214204217356]"
