Straat,Coordinaten
Abdijdreef,"[50.88633069700909, 4.546842831395578]"
Acaciastraat,"[50.91023298131782, 4.601467029212718]"
Achterenbergstraat,"[50.877810197388236, 4.5406760537308335]"
Alfons Dewitstraat,"[50.88238488869445, 4.585967292136154]"
Annonciadenstraat,"[50.876007036298844, 4.568483545928672]"
Arthur De Coninckstraat,"[50.88533029201542, 4.5216375687793]"
Balkenstraat,"[50.92279434967002, 4.593796194820713]"
Ballingstraat,"[50.87636521860787, 4.579442793529895]"
Bankstraat,"[50.88006417811672, 4.564587071688954]"
Banmolenstraat,"[50.89957090300485, 4.545386974878351]"
Bareeldreef,"[50.88898330939242, 4.542586752422171]"
Beekstraat,"[50.884645881350615, 4.542738180457989]"
Bergstraat,"[50.88681275989776, 4.6009062663682]"
Berkenstraat,"[50.90869681118894, 4.605985296410079]"
Blockmansstraat,"[50.88904300191312, 4.540913145764033]"
Blokstraat,"[50.87762499632877, 4.571425894174689]"
Boeyendaalstraat,"[50.87445345271942, 4.574738760882464]"
Boogstok,"[50.89278036251271, 4.538946858023018]"
Bosstraat,"[""50.8836624969257"", ""4.535362589141017""]"
Broekhoven,"[50.881733949543026, 4.53200428285494]"
Broekstraat,"[50.88862907929112, 4.588057949461768]"
Brouwerijstraat,"[50.88568272670364, 4.5405023883029445]"
Bruulstraat,"[50.90740095031374, 4.585577361038137]"
Burg. Van Kelfstraat,"[50.885235573467526, 4.589840993297898]"
Camiel Schuermanslaan,"[50.884477200000006, 4.5399513]"
Campanilehof,"[50.89389385504641, 4.5421744107605635]"
Colombastraat,"[50.88215141667986, 4.54519785531286]"
Constant Cludtsstraat,"[50.883007941323854, 4.58926627155033]"
Craenenplein,"[50.88673621810419, 4.539196062541749]"
Curegemstraat,"[50.902610686719434, 4.548409886981844]"
Dalemstraat,"[50.882190713123414, 4.578799855348079]"
De Costerstraat,"[50.873861842066425, 4.570627768461634]"
De Helftwinning,"[50.8804633, 4.532636050000001]"
De Inger,"[50.89848145641702, 4.552170483501932]"
Dekenijstraat,"[50.902798490764205, 4.5591314821561895]"
Dennenlaan,"[50.90911055, 4.60192525]"
Derde Schoof,"[50.85684315, 4.5542266]"
Diepeweg,"[50.86025241953895, 4.565109521518788]"
Diestbrugstraat,"[50.90051420487113, 4.598659513949899]"
Doelstraat,"[50.86077773329291, 4.557038883054595]"
Donkerstraat,"[50.91155171888595, 4.607740322259952]"
Dorenbaan,"[50.9053471, 4.556968149999999]"
Dorpelstraat,"[50.8710907, 4.54455475]"
Dorpsplein,"[50.90345975221965, 4.558157364683431]"
Dorpsstraat,"[50.88953680106863, 4.602784740552643]"
Dr. V. De Walsplein,"[50.88609202998698, 4.538866210613054]"
Dreef,"[50.90054567848652, 4.553134615443119]"
Driesstraat,"[50.87795085665646, 4.549753381059345]"
Driewilgenstraat,"[""FOUT, geen straat gevonden""]"
Edegemstraat,"[50.89015749418023, 4.5396184941802336]"
Eekhoornstraat,"[50.880377023647554, 4.537732536103724]"
Eikenstraat,"[50.90753337129871, 4.601165675550358]"
Elisabethlaan,"[50.887327601975585, 4.531596495476381]"
Elzenbroek,"[50.88083385340693, 4.536497121751379]"
Elzenstraat,"[50.90958309308294, 4.606463285003857]"
Engelbert Moensstraat,"[50.879871900120385, 4.5917615556497475]"
Engelenstraat,"[50.89064297066334, 4.538692199281957]"
Engerstraat,"[50.8977101534584, 4.551116044082346]"
Erpsestraat,"[50.8908099282556, 4.533994626524011]"
Europastraat,"[50.8770485, 4.574899200000001]"
Everbergstraat,"[50.8975461908609, 4.553589223322228]"
Everslaan,"[50.869367618631614, 4.534849772707899]"
Fazantenlaan,"[50.870233026249274, 4.532141935005823]"
Florenbeemd,"[50.88226965, 4.54234495]"
Frans Maeshof,"[""FOUT, geen straat gevonden""]"
Frans Mombaersstraat,"[50.90040407550718, 4.547673407350132]"
Galgenstraat,"[50.873811274048585, 4.5445172493123005]"
Galgenveldstraat,"[50.9066447532037, 4.585599226242227]"
Gansheidestraat,"[50.88379552802208, 4.596695236158794]"
Gemeentebroek,"[50.88055921871098, 4.535624705872441]"
Gemeentehuisstraat,"[50.87582310409375, 4.569294813008901]"
Gemeenteplein,"[50.87748507746324, 4.569578929533454]"
Goedestraat,"[50.88837890753982, 4.59799117693772]"
Grensstraat,"[50.857014731119556, 4.556536627963875]"
Grevenbos,"[50.882014, 4.610816937347914]"
Grintstraat,"[50.86957344487566, 4.605661033698864]"
Groenstraat,"[50.88060697833219, 4.552339307244877]"
Grote Hoeve,"[50.88298608303034, 4.528492012707928]"
Guldendellestraat,"[50.888245574469664, 4.535943429845633]"
Haaggatstraat,"[50.90630824845374, 4.57982256834478]"
Handbooghof,"[50.9040360954914, 4.568947320747385]"
Hazenstraat,"[50.873260661470056, 4.531516357654768]"
Hazewinkel,"[50.87605634821015, 4.537312743995607]"
Heerbaan,"[50.87156814939605, 4.599408783724714]"
Hertog Jan II laan,"[50.89101464785531, 4.545496760642093]"
Heuve,"[50.897743433885736, 4.5480182390475274]"
Heuvelhof,"[50.87527025042779, 4.537875615225596]"
Heuvelstraat,"[50.875990773007906, 4.539098634922296]"
Hoekstraat,"[50.862791298759205, 4.5657446394308945]"
Hof van Graven,"[50.87726940055855, 4.578653402338944]"
Hof van Kersbeek,"[50.87759455391329, 4.552534420654202]"
Hof van Montenaken,"[50.873353334116175, 4.528962217764279]"
Hof van Parcé,"[50.892617214353564, 4.54662650989228]"
Hof van Rotselaar,"[50.87508455946559, 4.569958967065443]"
