Straat,Coordinaten
't Gangske,"[50.842487233450726, 3.235480599875467]"
't Helleke,"[50.79270594225093, 3.242410660440139]"
't Hoge,"[50.80099811350939, 3.284280240073079]"
't Mezennestje,"[50.84847438394383, 3.2516221405836814]"
't Ranke Riet,"[50.846405088813164, 3.2513939870191373]"
't Rode Paard,"[50.784733873769724, 3.29542772434638]"
A14 Kortrijk,"[50.8101916, 3.2754199]"
A14 Rijsel,"[""FOUT, straat in foute gemeente gevonden""]"
A17 Doornik,"[""FOUT, straat in foute gemeente gevonden""]"
Aalbeeksesteenweg,"[50.82314787540438, 3.258825651422204]"
Aalbeeksestraat,"[50.774581737896334, 3.2431119045767707]"
Aalbekekerkstraat,"[50.77952403760992, 3.2285476321464497]"
Aalbekeplaats,"[50.77878178280535, 3.2301023441887633]"
Aardbeziënstraat,"[50.86164586648062, 3.238403575297933]"
Aardweg,"[50.810779591525694, 3.227947045586762]"
Abdijkaai,"[50.83327626987774, 3.2766347559532134]"
Abdijmolenweg,"[50.80547075, 3.24311435]"
Abdijweg,"[50.8021819, 3.24340275]"
Abdis Agnesstraat,"[50.80733006936088, 3.2526974808596627]"
Abdis Erkastraat,"[50.80264481219339, 3.244687665358839]"
Abeeldreef,"[50.850172617997785, 3.2502282183354843]"
Acacialaan,"[50.826649353483475, 3.29085889290492]"
Achterland,"[50.8500207608621, 3.2220629335693265]"
Adolf Bayerlaan,"[50.81191136630609, 3.301306184550392]"
Akkerwindestraat,"[50.830697986300535, 3.236123211570549]"
Albert Caulletwandeling,"[50.81574278240771, 3.2777352780116007]"
Albert Einsteinlaan,"[50.81328186044218, 3.301990376655356]"
Albert Servaeswandeling,"[50.8218354, 3.24481425]"
Albijn Van den Abeelelaan,"[50.82395433596872, 3.247789762257381]"
Albrecht Rodenbachlaan,"[50.84050773039649, 3.2315067063983136]"
Alfred Nobellaan,"[50.81217514952443, 3.3023636295989736]"
Allartbosweg,"[50.77693596148599, 3.2307631213595123]"
Ambassadeur Baertlaan,"[50.80335529629492, 3.294723775218211]"
Ameyepad,"[50.827163439180445, 3.231984104276752]"
Amsterdamspoortje,"[50.833664142860364, 3.2593348585669535]"
Andreas Vesaliusstraat,"[50.80457574831196, 3.2296353096635455]"
André Demedtslaan,"[50.78577738051173, 3.2415595089060276]"
André Devaerelaan,"[50.82035148801647, 3.2802445134398477]"
André Potteaustraat,"[50.831613700000005, 3.2395370999999997]"
Anna Bijnslaan,"[50.79644170833343, 3.2957877029229055]"
Anne Frankstraat,"[50.81457299879888, 3.254920742241953]"
Antoon Herbertstraat,"[50.811488759121666, 3.2564526555485562]"
Antoon Van Dycklaan,"[50.840977436179585, 3.27461606991888]"
Antoon Van Liedekerkeweg,"[50.844446587047756, 3.2390115000303314]"
Antoon Van Vlienderbekestraat,"[50.7699381547221, 3.2355695522729913]"
Antoon Vander Plaetsestraat,"[50.81633635, 3.26763595]"
Apollostraat,"[50.79953670035535, 3.2209641317325794]"
Arenastraat,"[50.79708169210578, 3.2207397220389855]"
Argendaalpad,"[50.77076944820511, 3.3015259351190522]"
Argendaalstraat,"[50.77585079596889, 3.302088308994491]"
Arke van Noëpad,"[50.8484201534532, 3.2482210771663786]"
Arthur Vanwildemeerschstraat,"[50.86992575411231, 3.241629242516845]"
Asterlaan,"[50.816636349999996, 3.2857213]"
Aubettepad,"[50.783625372702026, 3.2779957905951296]"
Aubettestraat,"[50.79097973358449, 3.2905690858817604]"
Avondzonweg,"[50.841635165399175, 3.2746370495773442]"
Azalealaan,"[50.81726425, 3.2814999499999997]"
Baaistraat,"[50.80832097869035, 3.3006170100259915]"
Bad Godesberglaan,"[50.80794365, 3.3007759500000002]"
Baggaertshof,"[50.827262950000005, 3.2718401462803843]"
Baldewijn Steverlynckstraat,"[50.79838816740742, 3.2890178099211402]"
Baliestraat,"[50.804603054817896, 3.2422660362170133]"
Baljuwpad,"[50.77970922958048, 3.280646187164077]"
Baljuwstraat,"[50.78083243112336, 3.2797419925420797]"
Ballingstraat,"[50.76539645084905, 3.312629327490296]"
Barakkenpad,"[50.82166379781743, 3.231090785324741]"
Barbes Reke,"[50.82327084984478, 3.274986750191464]"
Barend Van Orleystraat,"[50.8041238, 3.2579701500000002]"
Baron J. de Bethunestraat,"[50.80718665510776, 3.2305859747686325]"
Beekjufferstraat,"[50.837709462163346, 3.224011789118471]"
Beeklaan,"[50.81396679663583, 3.295286199349374]"
Beekstraat,"[50.81761243707, 3.286067761060905]"
Beekweg,"[50.76590172873551, 3.2643770430687815]"
Beeldhouwerslaan,"[50.83367601595056, 3.2858895639898904]"
Beerbosstraat,"[50.7699725168131, 3.3158674792732286]"
Begijnhof,"[50.828293450000004, 3.2681895499999998]"
Begijnhofpark,"[50.8284796944186, 3.2689244116390848]"
Begijnhofstraat,"[50.82838470595092, 3.267242541748515]"
Beginnestraat,"[50.796379906375755, 3.237667224896553]"
Begoniapark,"[50.76388435, 3.25880745]"
Beheerstraat,"[50.82946309484734, 3.2562720016653683]"
Beiaardstraat,"[50.86749610581131, 3.225708441417353]"
Belfaststraat,"[50.82891775304924, 3.2595386226962058]"
Bellegemkerkdreef,"[50.775688200000005, 3.28219235]"
Bellegemplaats,"[50.77779175451949, 3.2796679830236566]"
Bellegemsestraat,"[50.7775015616784, 3.287971649600296]"
Bellegemseweg,"[50.772457669308025, 3.2630024139050064]"
Bellepad,"[50.77380853502874, 3.280697449175457]"
Beneluxlaan,"[50.80383319888815, 3.275471511761386]"
Beneluxpark,"[50.80002887167521, 3.283895797501735]"
Benoîts Poortje,"[50.829771349999994, 3.26862115]"
Bergstraat,"[50.77641410917912, 3.2366766525365622]"
Berkendreef,"[50.8376826921648, 3.2730974337044416]"
Berkenlaan,"[50.82661339354545, 3.291692803999406]"
Bersacques Poortje,"[50.829575649999995, 3.267934]"
Bessenlaan,"[50.83795186113803, 3.275592895421017]"
Beukenlaan,"[50.82735724588876, 3.2908627263079473]"
Beukenstraat,"[50.83031060836017, 3.2266150540309595]"
Beverlaai,"[50.82207013956522, 3.2656896009711054]"
Beverlaaihof,"[50.819987240907686, 3.2595602319065824]"
Biezenpad,"[50.8275464318135, 3.2320469858300016]"
Bijstert,"[50.77315655, 3.2321847999999997]"
Bindersstraat,"[50.806826900000004, 3.24125565]"
Binnenstraat,"[50.78504583092283, 3.255985303025925]"
Bissegembospad,"[50.83304575, 3.2295651000000003]"
Bissegemplaats,"[50.82343924773843, 3.2268884122300894]"
Bissegemsestraat,"[50.828296187435235, 3.237167266413777]"
Blauwbloemstraat,"[50.806561625242864, 3.2417810949108246]"
Blauwhuisstraat,"[50.8084283, 3.2409286]"
Blauwkasteelstraat,"[50.76797015849282, 3.2156758086785113]"
Blauwpoort,"[50.83924767724558, 3.253992353439279]"
Blauwpoortpad,"[50.838501424955545, 3.2536585255002777]"
Blauwvoetlaan,"[50.827146549999995, 3.2211436]"
Blekerijstraat,"[50.830513447943815, 3.22770015286778]"
Blekersstraat,"[50.82699431335489, 3.254553459285042]"
Bloemistenstraat,"[50.822814030003, 3.263639455513775]"
Bobijnstraat,"[""FOUT, geen straat gevonden""]"
Boekweitstraat,"[50.811516510873574, 3.2873094630351116]"
Boerderijstraat,"[50.82062629427133, 3.2730245636418234]"
Boerenhol,"[50.82818035, 3.2691731500000003]"
Boevekerke,"[50.802692309802396, 3.295225600671606]"
Boezingestraat,"[50.8140073011735, 3.275493691380309]"
Bohemenberg,"[50.79019541474723, 3.2454882737114255]"
Bondgenotenlaan,"[50.813814276934, 3.274843681684619]"
Boondriesstraat,"[50.809046941669386, 3.242013953233749]"
Boothamersstraat,"[50.80649416438589, 3.2428905894327364]"
Boskariere,"[50.77969275906648, 3.31176623217791]"
Bosstraat,"[50.79544228086626, 3.251045019483865]"
Bosvinkenpad,"[50.757844579269396, 3.2499548504211577]"
Botenkopersstraat,"[50.82743670053248, 3.2543333801551144]"
Bozestraat,"[50.8409438346104, 3.254710519425245]"
Brakelstraat,"[50.80650851439672, 3.2412200323405087]"
Brandelweg,"[50.80793735248514, 3.2482083289347448]"
Brechtendale,"[50.77110420264466, 3.2360466848943163]"
Bredemolenpad,"[50.78199365067694, 3.2943582206394386]"
Bredenmolenweg,"[50.77973617258723, 3.297328593067527]"
Bremlaan,"[50.824999593985005, 3.2938920998641814]"
Broeders Van Dalestraat,"[50.80497506299087, 3.2310240258062586]"
Broelkaai,"[50.830385, 3.2659180037531392]"
Brouwerijpad,"[50.81156820929305, 3.2358686107037054]"
Brouwerijstraat,"[50.82558650514957, 3.232145114653376]"
Brouwtorenstraat,"[50.777055783255456, 3.2787446900906945]"
Brugsesteenweg,"[50.84442158171432, 3.2676331964675605]"
Brugsestraat,"[50.83508439712394, 3.260770093085157]"
Brugstok,"[50.85588005678348, 3.231685044737428]"
Brumierstraat,"[50.77813265, 3.2082093]"
