Straat,Coordinaten
Acaciasstraat,"[50.84976535766561, 4.463804255667764]"
Albert Bechetlaan,"[50.82190070103946, 4.488639501994158]"
Alfons Lenaertsstraat,"[50.856633614644615, 4.476357329202262]"
Amédé Brackestraat,"[50.86290899942727, 4.454383818599948]"
Anemonenlaan,"[50.85437879905106, 4.463471808203632]"
Annecylaan,"[50.86056472816569, 4.4551722553835535]"
Appelbomenoord,"[50.85429605, 4.4790416]"
Armand Fortonlaan,"[50.860897271698164, 4.460963286231513]"
Arthur Blaivielaan,"[50.837508946295976, 4.475231544262303]"
Arthur Dezangrélaan,"[50.86077983934296, 4.474786946328001]"
Asterslaan,"[50.858702554245845, 4.4617341206143575]"
Aucubaslaan,"[50.835978, 4.47870585]"
Baron Albert d'Huartlaan,"[50.82184015, 4.4779125]"
Begijnhofstraat,"[50.861832184886325, 4.454170869781525]"
Begoniaslaan,"[50.859040592430176, 4.462923246292101]"
Berkenlaan,"[50.835588978761635, 4.467496346020788]"
Blauwe Bosbessenlaan,"[50.822592895595285, 4.485354096252238]"
Bloemengaarde,"[50.840185595904316, 4.470089504734933]"
Bloemenlaan,"[50.84082756565398, 4.470264825024546]"
Bloemweidelaan,"[50.848850778520664, 4.469820168785936]"
Bommaertlaan,"[50.84297137610812, 4.470640613088956]"
Boomgaardoord,"[50.855291498631466, 4.478959592808803]"
Boomgaardstraat,"[50.85448801936635, 4.478485381917349]"
Bos van Oppemweg,"[50.83343665, 4.48213625]"
Bosdalgaarde,"[50.8285645, 4.479131000000001]"
Bosdallaan,"[50.824888099999995, 4.47524005]"
Bosduivenlaan,"[50.831807630175014, 4.4761417308332785]"
Bosstraat,"[""50.8591705"", ""4.4600993""]"
Bouvier-Washerstraat,"[50.84875193836149, 4.468222236139464]"
Bremgaarde,"[50.85075580014946, 4.4614006085781455]"
Capucienenlaan,"[50.853141736550526, 4.462602269216049]"
Crocussenlaan,"[50.8351648651219, 4.4805107595709455]"
Cyclamenlaan,"[50.85256940969956, 4.460621687315801]"
Dageraadlaan,"[50.82079560261197, 4.479846759104993]"
Dahliasgaarde,"[50.85076163725, 4.465315931880757]"
Damhertenlaan,"[50.83290946739346, 4.476661465993066]"
Denayerstraat,"[50.8645006, 4.45401635]"
Dennenlaan,"[50.823695747319924, 4.484987536568852]"
Dennenoord,"[50.83913373445982, 4.473247123571468]"
Dominicanessenlaan,"[50.82757788790148, 4.475636734983092]"
Edmond Coppensoord,"[""FOUT, geen straat gevonden""]"
