Straat,Coordinaten
Abelenstraat,"[50.86028005, 3.29231655]"
Aduatiekenweg,"[50.85349495, 3.26816635]"
Albert Vermoerestraat,"[50.86991114676997, 3.2745555881351445]"
Ambroosdreef,"[50.855730734048514, 3.297808422370187]"
August Vermeylenstraat,"[50.86088155, 3.2726547]"
Avondster,"[50.86506614852566, 3.2658416802664463]"
Bavikhoofsestraat,"[50.85897344999999, 3.2969925499999997]"
Beeklaan,"[50.84836418319611, 3.274716335288296]"
Beemdenlaan,"[50.85205718573083, 3.295414937085656]"
Begonialaan,"[50.8502824, 3.2727890000000004]"
Beukenlaan,"[50.8515960235815, 3.275256269472737]"
Bloeiweg,"[50.857654070031366, 3.286488141427229]"
Bloemenhof,"[50.84961067227983, 3.2768782700057906]"
Bloemistenstraat,"[50.862674686724986, 3.2737767049075064]"
Bonaerde,"[50.84274711517087, 3.27861501759124]"
Bondgenotenlaan,"[50.844703239644154, 3.2812082577477826]"
Boomgaardstraat,"[50.8528243, 3.27895415]"
Bosbessenlaan,"[50.849357966777305, 3.27192622068469]"
Brugsesteenweg,"[50.863280101678825, 3.270818686444389]"
Burg. Decoenestraat,"[50.861395456203574, 3.270796198842402]"
Condruzenstraat,"[50.8530437486056, 3.266278739840529]"
Dageraadstraat,"[50.852765399999996, 3.2912863999999997]"
De Mussche,"[50.85739253803532, 3.2924284868418883]"
De Nieuwe Vierschaar,"[50.87122634342687, 3.2455121648218785]"
De Vlaskouter,"[50.85267180050735, 3.286034230035254]"
Doornenstraat,"[50.849796712301966, 3.2936560483837907]"
Dragonweg,"[50.86130944451991, 3.289119977899749]"
Driekoningenweg,"[50.87017531205104, 3.242944965085733]"
Eburonenweg,"[50.85478875, 3.26684575]"
Edelweiss,"[50.85182675888866, 3.2781083375970943]"
Elfde-julilaan,"[50.84917146746352, 3.270698382775679]"
Erf,"[50.84989075, 3.2733426999999997]"
Evariste Carpentierstraat,"[50.85725087895068, 3.2911877880885907]"
Ezelsdreef,"[50.856345291314085, 3.29878305547845]"
Ezelspad,"[50.856108432815155, 3.3000200245171674]"
Gasthuisstraat,"[50.85105768217307, 3.2829998091213093]"
Gasthuisweide,"[50.85036549140388, 3.2826710517072595]"
Gen. Eisenhowerstraat,"[50.85126956324753, 3.285501404939458]"
Goed ter Heulestraat,"[50.846373927758435, 3.27432432806551]"
Gouden Akker,"[50.86168634836799, 3.273293154669192]"
Grasbloem,"[50.8516375, 3.29541175]"
Grashalm,"[50.852143749999996, 3.29490175]"
Graskant,"[50.85218990796076, 3.296852727203822]"
Grasplein,"[50.85244681597905, 3.2959453559801886]"
Grasveld,"[50.853486651275546, 3.2967350279088956]"
Grensstraat,"[50.870909609992715, 3.27444465138369]"
Grenswachtersweg,"[50.856579525750035, 3.297552993360483]"
Groenstraat,"[50.85101904647423, 3.2777343930924103]"
Guido Gezellestraat,"[50.85218575840419, 3.2890167744836796]"
Haantjesstraat,"[50.87270869942473, 3.26559261184764]"
Handboogstraat,"[50.84841034933358, 3.2685722689900385]"
Harelbeeksestraat,"[50.851014899999996, 3.2995026999999997]"
Hazelaarsstraat,"[50.8639643850462, 3.275413795798594]"
Heilig-Hartstraat,"[50.850575080624566, 3.288011014245123]"
Heirweg,"[50.85005442978159, 3.261219785172725]"
Herfstweelde,"[50.85922425, 3.2870137]"
Hoevedreef,"[50.8503683904636, 3.2777827935773303]"
Hoogstraat,"[50.87116655, 3.27187875]"
Hooilaan,"[50.85807984861593, 3.287326414457971]"
Hulstsestraat,"[50.86442143979205, 3.2918743350945117]"
Industrielaan,"[50.85679145, 3.25945745]"
Jaagpad,"[50.8478565, 3.29153245]"
Jan Frans Willemsplein,"[50.86028032754412, 3.2723388277961325]"
Jean-Baptist Davidstraat,"[""FOUT, geen straat gevonden""]"
Kapittelstraat,"[50.85877723574242, 3.292178028575452]"
Kasteelstraat,"[50.856844511620416, 3.277572899858829]"
Katrienwiel,"[50.869575696029756, 3.2436211985838366]"
Kattebelweg,"[50.85458785, 3.2815563500000002]"
Kattekouter,"[50.85498858687941, 3.2806410410126206]"
Katteplein,"[50.85633233612491, 3.2798223284836348]"
Katteput,"[50.8558275941825, 3.2830963208760613]"
Kattestraat,"[50.85807892119852, 3.2758921883884398]"
Kerkstraat,"[50.854117599999995, 3.2872392]"
Kersendreef,"[50.863568066026566, 3.2745614926712423]"
Kiemdreef,"[50.857297216551906, 3.2855789139655256]"
Kleine Ringlaan,"[50.84455641116971, 3.2711223485948953]"
Kleistraat,"[50.85721150715665, 3.2982570923689236]"
Klinkerstraat,"[50.85765125027524, 3.2966907697348318]"
Kloostersteen,"[50.857432037738846, 3.2976021944696554]"
Kongostraat,"[50.84990629979551, 3.264824080649104]"
Koning Albertstraat,"[50.85208410429438, 3.287605111565375]"
Koning Boudewijnstraat,"[50.86747956323961, 3.2770940657527428]"
Koning Leopold III-straat,"[50.85173688105894, 3.2900475141044248]"
Koningin Astridlaan,"[50.8557006, 3.2919888999999998]"
Koningin Elisabethstraat,"[50.850965172459, 3.285893862168999]"
Koolakker,"[50.84454195, 3.2783331]"
Koolkappershoek,"[50.8434667563144, 3.2763826658005453]"
Korenbloem,"[50.864720200824024, 3.2760170381538942]"
Korianderplein,"[50.86069384292951, 3.286232580803133]"
Kortrijksestraat,"[50.84382714209076, 3.2725688537186395]"
Kouterstraat,"[50.85274142937636, 3.2822343701506678]"
Krekelsstraat,"[50.85248907139112, 3.297969609181726]"
Krokussenlaan,"[50.85114622409145, 3.274547800466695]"
Langebeekstraat,"[50.8615251031548, 3.269241468527995]"
Leiemeersdreef,"[50.842901962762646, 3.2815771645110123]"
Leiestraat,"[50.85317738382216, 3.288296189792539]"
Lendeleedsestraat,"[50.873190498042455, 3.2470342431038057]"
Lentedreef,"[50.85855562383524, 3.2851248805377073]"
Lijsterbes,"[50.86081594886064, 3.2750771906888945]"
Lijstergalm,"[50.86160120522427, 3.274369735104097]"
Lijsternest,"[50.86164922331552, 3.275512913061207]"
Lindenlaan,"[50.84893955, 3.277576]"
Loverlaan,"[50.8508665, 3.2724637]"
Luit.-Gen. Gérardstraat,"[50.8468890236171, 3.28920651034612]"
Maaiweg,"[50.860792226325074, 3.2839792414109703]"
Marktplein,"[50.8507858671081, 3.2867718067482077]"
Meersstraat,"[50.85183169042198, 3.299264590307355]"
Meidoorn,"[50.8623579, 3.2933801500000004]"
Meihoek,"[50.8607583, 3.29444565]"
Meikever,"[50.862106749999995, 3.29275045]"
Meiklokje,"[50.861683040854906, 3.2933110721337266]"
Melkweg,"[50.86418314213243, 3.264805937106118]"
Menapiërsstraat,"[50.8528985, 3.2680753]"
Merelhoek,"[50.847907419652735, 3.2721409564899138]"
Mierendreef,"[50.85289195, 3.29947555]"
Mimosalaan,"[50.848881649999996, 3.27201055]"
Molendam,"[50.86748735, 3.2736909]"
Molenput,"[50.8660394178953, 3.2744411773464677]"
Molensteen,"[50.86731435, 3.2726473]"
Molenstraat,"[50.86836124130295, 3.2758326524519985]"
Molenvang,"[50.866564950000004, 3.2728419]"
Molenwieklaan,"[50.868613800000006, 3.2742882]"
Morgenster,"[50.8638988, 3.2665099]"
Morinenstraat,"[50.8527282, 3.2671741]"
Mortierhoekstraat,"[50.860989370673444, 3.2511594594833335]"
Motestraat,"[50.856225943777496, 3.2975274938726926]"
Muldersweg,"[50.86781750759678, 3.276153279683853]"
Muntstraat,"[50.8605656, 3.285942]"
Nachtegaallaan,"[50.863591583521746, 3.2772375762379387]"
Najaarsweg,"[50.86018281802441, 3.284539359894649]"
Najaarszon,"[50.860468499999996, 3.2831886499999996]"
Nerviërsstraat,"[50.85395695601231, 3.266575397922583]"
Nestenplein,"[""FOUT, geen straat gevonden""]"
Nevelstraat,"[50.8604502, 3.2885704]"
Nieuwenhuyse,"[50.85551612376829, 3.276496607573101]"
Noordlaan,"[50.863234148804054, 3.2632936230925647]"
Noordster,"[50.862537599999996, 3.2674884]"
Oogststraat,"[50.858214849999996, 3.28838925]"
Oreganostraat,"[50.8608118, 3.2872493499999997]"
Oudstrijderslaan,"[50.85432841038423, 3.2908382224185364]"
Pachthofweg,"[50.854441912918396, 3.2899737028457925]"
Papaversstraat,"[50.86417561333805, 3.276829981584247]"
Parkwijk,"[50.86355955, 3.27246085]"
Pieter Verhaeghestraat,"[50.86042318371584, 3.2533457005532935]"
Pieter Vinckestraat,"[50.8722735369189, 3.266593313029956]"
Poolster,"[50.86390879845075, 3.2676737565744043]"
Populierenlaan,"[50.859510185155976, 3.2755341013480126]"
Pouckeweg,"[50.85938706825601, 3.2945477287440084]"
Renbaanlaan,"[50.857462223533645, 3.275077395162351]"
Rijksweg,"[50.86840153713511, 3.2800020690609903]"
Ringlaan,"[50.84381349082758, 3.273232348134855]"
Rodekruisplein,"[50.85004191626867, 3.2742726336285766]"
Roeselaarseweg,"[50.8775676251476, 3.270651012475286]"
Roterijstraat,"[50.84549879138066, 3.279614910763986]"
Ruitersweg,"[50.858022000000005, 3.27305385]"
Saffraanweg,"[50.86143226603687, 3.2879659865812405]"
Salieweg,"[50.86107490002767, 3.285851475145257]"
Schaapsdries,"[50.863251238404295, 3.292728424290865]"
Schardauw,"[50.85919216852549, 3.2903701824494624]"
Seizoenweg,"[50.85913428645982, 3.2878919807435265]"
Sint-Katrienplein,"[50.871166281242246, 3.2410358960589676]"
Sint-Katriensteenweg,"[50.86083624898574, 3.2682885239161426]"
Sint-Michielsweg,"[50.86460241640445, 3.272396612210595]"
Sint-Pietersstraat,"[50.864371399999996, 3.2690883]"
Spijker,"[50.85919216852549, 3.2903701824494624]"
Sprokkelweg,"[50.858483522992756, 3.2893362248775246]"
Standaardmolen,"[50.866842273480195, 3.2740539102836306]"
Steenbakkerijstraat,"[50.85376802104093, 3.299526660628532]"
Steenezelstraat,"[50.855787268979235, 3.2996711878187392]"
Steenovenstraat,"[50.85635119501886, 3.295964873605987]"
Steenstraat,"[50.8575537, 3.297717]"
Sterreweg,"[50.8634338124601, 3.2655443280648973]"
Stokerijstraat,"[50.86868116896413, 3.2690872636938377]"
Stormdreef,"[50.85984945, 3.28998355]"
Ter Ferrants,"[50.84916258295648, 3.266168739297504]"
Ter Groenen Boomgaard,"[50.85165634175577, 3.2763950706279403]"
Ter Meulne,"[50.86941023535779, 3.273581468939026]"
Termietendreef,"[50.852786244985154, 3.3002431342526535]"
Tijmweg,"[50.86154218912743, 3.289841373973502]"
Trees Vancayseelestraat,"[50.86956702198175, 3.275347503336536]"
Trevierenstraat,"[50.85325738378608, 3.2670749667322436]"
Twaalfde-Liniestraat,"[50.851038955635985, 3.288162321145104]"
Tweegemeentenweg,"[50.85957796283509, 3.2959347001236963]"
Veldm. Montgomerystraat,"[50.849164084982014, 3.2792852259254652]"
Veldovenstraat,"[""FOUT, geen straat gevonden""]"
Veldweg,"[50.874781291189365, 3.2679932869297104]"
Verbindingsweg,"[50.85638760691941, 3.2929077590933367]"
Vijverhoek,"[50.859527982911246, 3.267853933321584]"
Vlasbloemstraat,"[50.854876921420995, 3.2776286678590685]"
Vlaskapel,"[50.84330155, 3.2801991]"
Vogelzang,"[50.863232937164305, 3.27609217723681]"
Voorjaarsdreef,"[50.85765205, 3.28471595]"
Vruchtendreef,"[50.8572521894645, 3.287367090539983]"
Wandelinglaan,"[50.8730426986589, 3.2500496523126627]"
Waterhoennest,"[50.857879176915, 3.2683543858658486]"
Waterkant,"[50.85833460740429, 3.2680980842810707]"
Waterlelielaan,"[50.85850058436997, 3.2676912412393624]"
Waternimfweg,"[50.857047215044375, 3.268084392824074]"
Waterputstraat,"[50.85764315605644, 3.269077485638141]"
Watertorenstraat,"[50.85603058062253, 3.2684152762985734]"
Watervang,"[50.85887688083218, 3.2685955187575497]"
Waubrechts,"[50.871847752917816, 3.2425756536809875]"
Weggevoerdenplein,"[50.84939938755509, 3.2869127617761627]"
Weidenstraat,"[50.85401330301123, 3.2961390552425547]"
Windmolenlaan,"[50.86915805867256, 3.274330720598612]"
Windweg,"[50.8605617, 3.2897036]"
Winterweg,"[50.8595314, 3.2880347]"
Zomerlaan,"[50.85906225, 3.28611735]"
Zuster Fientjespad,"[50.84973384256972, 3.2852294368802233]"
Zweepstraat,"[50.87701814778137, 3.2701430076748133]"
