Straat,Coordinaten
Aambeeldstraat,"[51.0805528, 5.0312117]"
Achter de Bergen,"[51.10342852490794, 5.028709883845542]"
Akkerrode,"[51.10936603358381, 4.998515806900939]"
Akkerwinde,"[51.08275807302707, 5.03020546865719]"
Averboodse Baan,"[51.0589506029112, 4.994974229518848]"
Bennekensstraat,"[51.10905517046997, 5.003715894204026]"
Bergomseweg,"[51.07361977522977, 4.940453490740716]"
Bergstraat,"[51.103597062069426, 5.009517954679036]"
Berkenlaan,"[51.10737304870958, 5.000164722105026]"
Berthoutstraat,"[51.1052145027068, 4.9960025552497065]"
Besauw,"[51.07923664294066, 5.002533069532063]"
Beustereind,"[51.08444933658936, 5.042657820025833]"
Biezenhoed,"[51.100073627817814, 5.059639747667814]"
Binnenveld,"[51.07151009082881, 4.978981147667835]"
Blaardonk,"[51.088026902793686, 4.957002009086094]"
Boerebeemden,"[51.08853253067992, 5.074245946784555]"
Borgtstraat,"[51.08026971627334, 5.0331356310061555]"
Bremstraat,"[51.107102600000005, 4.99956125]"
Breugelstraat,"[51.10831775206922, 4.997360718275661]"
Broekstraat,"[51.089338061795914, 5.043546852170519]"
Brouwerijstraat,"[51.0732753448129, 4.990987122144927]"
Busschottenstraat,"[51.064215944764214, 4.975073620367658]"
Campaniestraat,"[51.066006385708164, 4.987703242279794]"
De Beemden,"[51.10055846185927, 5.018560802995479]"
De Hegge,"[51.07145822212668, 4.976987498163048]"
De Heuvels,"[51.08458089261013, 5.080947305406522]"
De Hoge Hegge,"[51.07131534934134, 4.9808593768480325]"
De Korenbloem,"[51.0821433, 5.027834800000001]"
De Leeuwerik,"[51.0897016168376, 5.057013735894563]"
De Locht,"[51.090284486765604, 5.059387244514853]"
De Streep,"[51.088081218764835, 5.072279293137313]"
De Vloed,"[51.079197563484506, 5.048129884965031]"
Dennenstraat,"[51.0760341315158, 4.959572485283285]"
Diestse Baan,"[51.05750564044174, 4.996287883362815]"
Dikstraat,"[51.08748378392927, 5.068871007434546]"
Dongenblok,"[51.072398288226346, 4.981108030263739]"
Dwarsstraat,"[51.10053305393191, 5.065749990958553]"
Eikenstraat,"[51.083828720622975, 5.065731863004616]"
Eindakkerstraat,"[""FOUT, geen straat gevonden""]"
Eindhoutdorp,"[51.105468054942534, 5.004097244355133]"
Eindhoutse Heide,"[51.11068132470236, 5.020483455013047]"
Eindhoutseweg,"[51.073573370455385, 4.987294342570603]"
Engstraat,"[51.06973104693521, 4.994097954529008]"
Gastenhuis,"[51.078524384875536, 5.02608007991529]"
Geelsebaan,"[51.088377550000004, 5.0675697500000005]"
Gemeenteheidestraat,"[51.10027849165027, 4.993996243083558]"
Getteken,"[51.06994363877378, 4.981219312597557]"
Gijperstraat,"[51.09140849155494, 5.047757498628279]"
Goorstraat,"[51.095616574847035, 4.995300800651688]"
Grensstraat,"[51.04664446557269, 4.96770399842556]"
Grote Langvoort,"[51.10216762662099, 5.0753743076371105]"
Grote Steenweg,"[51.089704100000006, 4.94729815]"
Haanven,"[51.07134054288118, 4.956834913401785]"
Ham,"[""51.09518227078599"", ""4.995061669479319""]"
Hamsbroek,"[51.097087049831075, 4.9944808885228795]"
Hazelaar,"[51.084023980169775, 5.028369719933055]"
Heieinde,"[51.05639944463702, 4.979087963048457]"
Heikantstraat,"[51.10951451956114, 5.002647438382902]"
Heistraat,"[51.089976554520526, 5.06362338273759]"
Hemeldonk,"[51.09774537504351, 5.0075622692674555]"
Hemelrijk,"[51.06510356709384, 4.996249592570411]"
Herseltseweg,"[51.06795135, 4.9671612]"
Het Vekenblok,"[51.09089985, 5.058525100000001]"
Heustenstraat,"[51.09532959144551, 4.996534950385107]"
Hezemeer,"[51.111502742524735, 5.02780097732816]"
Hoeve den Eik,"[""FOUT, geen straat gevonden""]"
Hoeve van Gemp,"[51.090144254762805, 5.0903250513026785]"
Hofstadstraat,"[51.08645515, 5.062868399999999]"
Holleweg,"[51.104822422253726, 5.020204240547272]"
Hondspatteke,"[51.0707867641427, 4.987273364005717]"
Hoogstraat,"[51.101715538778244, 4.999959476012426]"
Hooidonk,"[51.0558382, 4.9804262]"
Hospesstraat,"[51.080611899999994, 5.02724585]"
Houthoek,"[51.081541511382774, 5.0295660276384995]"
Huiperstraat,"[51.08553747300435, 5.034001025373332]"
Huisbroekstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Hulstsestraat,"[51.070281401240024, 4.966790126387521]"
Huyten,"[51.05613191106835, 4.992059788699931]"
Kabienstraat,"[51.071089933822165, 4.984453820223282]"
Kanaalweg,"[51.1124695530851, 5.026096010564626]"
Kapelleberg,"[51.10488019405293, 5.005866008423828]"
Kapellestraat,"[51.065774993363455, 4.987382301844732]"
Kattestraat,"[51.09796715, 5.0548455500000005]"
Kerkeveld,"[51.07223985, 4.9851997503192695]"
Kerkhofweg,"[51.10531255, 5.0067661999999995]"
Kerkstraat,"[51.07962751313942, 5.020132359105124]"
Klaprozenstraat,"[51.10855048076529, 5.005098616710389]"
Klaverhoeve,"[51.06371943616363, 4.99557806795945]"
Klein Borgtstraat,"[51.07971996600113, 5.041957875984177]"
Klein-Broekstraat,"[51.08766331321304, 5.042942259043964]"
Kleine Langvoort,"[51.0992853871179, 5.077502073460042]"
